sample_index,smiles,y_true,total_seed_count,error_count,error_rate,wrong_seed_list,mean_prob_1_across_seeds,error_type,explanation_seed,explanation_bundle_path,explanation_bundle_valid_macro_f1,explanation_bundle_valid_roc_auc,selected_wrong_prediction,selected_wrong_prob_1
0,Nc1cccc([N+](=O)[O-])c1CO,0,5,5,1.0,0;1;2;3;4,0.6851314502124299,false_positive,2,checkpoints/forest/TDC__AMES/galactica-6.7b__ames__synthesize__seed_2.joblib,0.7713423228716407,0.8385177371464291,1,0.6767835049347272
3,CNC(=O)Oc1ccccc1OC(C)C,1,5,5,1.0,0;1;2;3;4,0.4549761685068656,false_negative,2,checkpoints/forest/TDC__AMES/galactica-6.7b__ames__synthesize__seed_2.joblib,0.7713423228716407,0.8385177371464291,0,0.4487421921330339
4,Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1C,0,5,5,1.0,0;1;2;3;4,0.7340033170499327,false_positive,2,checkpoints/forest/TDC__AMES/galactica-6.7b__ames__synthesize__seed_2.joblib,0.7713423228716407,0.8385177371464291,1,0.7043839383107036
5,Nc1ccc(Cl)cc1Cl,1,5,5,1.0,0;1;2;3;4,0.26574254103403694,false_negative,2,checkpoints/forest/TDC__AMES/galactica-6.7b__ames__synthesize__seed_2.joblib,0.7713423228716407,0.8385177371464291,0,0.2778988914066771
10,N#Cc1cc(I)c(O)c([N+](=O)[O-])c1,0,5,5,1.0,0;1;2;3;4,0.5405291638083516,false_positive,2,checkpoints/forest/TDC__AMES/galactica-6.7b__ames__synthesize__seed_2.joblib,0.7713423228716407,0.8385177371464291,1,0.5522911373255025
17,Cc1ccc([N+](=O)[O-])cc1NO,0,5,5,1.0,0;1;2;3;4,0.5579935031677743,false_positive,2,checkpoints/forest/TDC__AMES/galactica-6.7b__ames__synthesize__seed_2.joblib,0.7713423228716407,0.8385177371464291,1,0.5379310466572171
21,O=[N+]([O-])c1cccc(O)c1,1,5,5,1.0,0;1;2;3;4,0.41764390766085563,false_negative,2,checkpoints/forest/TDC__AMES/galactica-6.7b__ames__synthesize__seed_2.joblib,0.7713423228716407,0.8385177371464291,0,0.4127597204328019
40,Cc1cccc(O)c1N,0,5,5,1.0,0;1;2;3;4,0.7757273950254902,false_positive,2,checkpoints/forest/TDC__AMES/galactica-6.7b__ames__synthesize__seed_2.joblib,0.7713423228716407,0.8385177371464291,1,0.7643115908936916
41,Cc1c(N)ccc(N)c1C,0,5,5,1.0,0;1;2;3;4,0.7213583860622078,false_positive,2,checkpoints/forest/TDC__AMES/galactica-6.7b__ames__synthesize__seed_2.joblib,0.7713423228716407,0.8385177371464291,1,0.7449859564423104
67,CCNc1ccccc1,0,5,5,1.0,0;1;2;3;4,0.518073413595738,false_positive,2,checkpoints/forest/TDC__AMES/galactica-6.7b__ames__synthesize__seed_2.joblib,0.7713423228716407,0.8385177371464291,1,0.5006511755459128
69,O=C(NO)c1ccccc1O,1,5,5,1.0,0;1;2;3;4,0.465171003537999,false_negative,2,checkpoints/forest/TDC__AMES/galactica-6.7b__ames__synthesize__seed_2.joblib,0.7713423228716407,0.8385177371464291,0,0.4563398435267393
70,Nc1c(O)cccc1[N+](=O)[O-],0,5,5,1.0,0;1;2;3;4,0.6776263889276506,false_positive,2,checkpoints/forest/TDC__AMES/galactica-6.7b__ames__synthesize__seed_2.joblib,0.7713423228716407,0.8385177371464291,1,0.6821407878620994
76,Cc1cc(S(=O)(=O)O)c(N)cc1Cl,1,5,5,1.0,0;1;2;3;4,0.42582029930757714,false_negative,2,checkpoints/forest/TDC__AMES/galactica-6.7b__ames__synthesize__seed_2.joblib,0.7713423228716407,0.8385177371464291,0,0.4338098585852736
93,CCc1cccc(CC)c1NC(=O)CO,1,5,5,1.0,0;1;2;3;4,0.45677738589164213,false_negative,2,checkpoints/forest/TDC__AMES/galactica-6.7b__ames__synthesize__seed_2.joblib,0.7713423228716407,0.8385177371464291,0,0.4269166158419761
96,CC(C)C(=O)N(O)c1ccc(Cl)cc1,1,5,5,1.0,0;1;2;3;4,0.3439353185558291,false_negative,2,checkpoints/forest/TDC__AMES/galactica-6.7b__ames__synthesize__seed_2.joblib,0.7713423228716407,0.8385177371464291,0,0.3427354732030168
102,Cc1c(N=O)cccc1[N+](=O)[O-],0,5,5,1.0,0;1;2;3;4,0.6650683084613822,false_positive,2,checkpoints/forest/TDC__AMES/galactica-6.7b__ames__synthesize__seed_2.joblib,0.7713423228716407,0.8385177371464291,1,0.6618275538479277
116,BrCc1ccccc1,1,5,5,1.0,0;1;2;3;4,0.43943324110102494,false_negative,2,checkpoints/forest/TDC__AMES/galactica-6.7b__ames__synthesize__seed_2.joblib,0.7713423228716407,0.8385177371464291,0,0.4487511624640422
126,C=CCc1ccc(O)c(O)c1,1,5,5,1.0,0;1;2;3;4,0.31008190566507865,false_negative,2,checkpoints/forest/TDC__AMES/galactica-6.7b__ames__synthesize__seed_2.joblib,0.7713423228716407,0.8385177371464291,0,0.2840797544815677
136,CCCNc1c([N+](=O)[O-])ccc(Cl)c1C(=O)O,0,5,5,1.0,0;1;2;3;4,0.5211326344376234,false_positive,2,checkpoints/forest/TDC__AMES/galactica-6.7b__ames__synthesize__seed_2.joblib,0.7713423228716407,0.8385177371464291,1,0.5000669536924286
139,CCc1ccc([N+](=O)[O-])cc1,0,5,5,1.0,0;1;2;3;4,0.5267127031053402,false_positive,2,checkpoints/forest/TDC__AMES/galactica-6.7b__ames__synthesize__seed_2.joblib,0.7713423228716407,0.8385177371464291,1,0.5393439057309037
154,Cc1ccc([N+](=O)[O-])c(N)c1,0,5,5,1.0,0;1;2;3;4,0.8320775705115941,false_positive,2,checkpoints/forest/TDC__AMES/galactica-6.7b__ames__synthesize__seed_2.joblib,0.7713423228716407,0.8385177371464291,1,0.8313985366048503
161,CC(C)c1cc(N)cc([N+](=O)[O-])c1N,0,5,5,1.0,0;1;2;3;4,0.586284180785748,false_positive,2,checkpoints/forest/TDC__AMES/galactica-6.7b__ames__synthesize__seed_2.joblib,0.7713423228716407,0.8385177371464291,1,0.5608285354942069
170,CCOP(=O)(NC(C)C)Oc1ccccc1C(=O)OC(C)C,1,5,5,1.0,0;1;2;3;4,0.3632392447763059,false_negative,2,checkpoints/forest/TDC__AMES/galactica-6.7b__ames__synthesize__seed_2.joblib,0.7713423228716407,0.8385177371464291,0,0.3326794192167654
177,Cc1ccc(Cl)cc1[N+](=O)[O-],0,5,5,1.0,0;1;2;3;4,0.5714722610148705,false_positive,2,checkpoints/forest/TDC__AMES/galactica-6.7b__ames__synthesize__seed_2.joblib,0.7713423228716407,0.8385177371464291,1,0.5770555884083657
188,O=[N+]([O-])c1cccc(Cl)c1,0,5,5,1.0,0;1;2;3;4,0.6790983318393126,false_positive,2,checkpoints/forest/TDC__AMES/galactica-6.7b__ames__synthesize__seed_2.joblib,0.7713423228716407,0.8385177371464291,1,0.6769006715341789
191,ONc1ccc(Cl)cc1,0,5,5,1.0,0;1;2;3;4,0.5764245964487618,false_positive,2,checkpoints/forest/TDC__AMES/galactica-6.7b__ames__synthesize__seed_2.joblib,0.7713423228716407,0.8385177371464291,1,0.5775159052390024
192,O=CC(=O)c1ccccc1,1,5,5,1.0,0;1;2;3;4,0.3331744290796156,false_negative,2,checkpoints/forest/TDC__AMES/galactica-6.7b__ames__synthesize__seed_2.joblib,0.7713423228716407,0.8385177371464291,0,0.3262285909702088
197,C=Cc1ccccc1,1,5,5,1.0,0;1;2;3;4,0.2075067956973194,false_negative,2,checkpoints/forest/TDC__AMES/galactica-6.7b__ames__synthesize__seed_2.joblib,0.7713423228716407,0.8385177371464291,0,0.1927537848233949
215,O=[N+]([O-])c1cccc(I)c1,0,5,5,1.0,0;1;2;3;4,0.5416530380517954,false_positive,2,checkpoints/forest/TDC__AMES/galactica-6.7b__ames__synthesize__seed_2.joblib,0.7713423228716407,0.8385177371464291,1,0.5199005980713359
226,O=[N+]([O-])c1c(Cl)cc(Cl)cc1Cl,0,5,5,1.0,0;1;2;3;4,0.6021078902940182,false_positive,2,checkpoints/forest/TDC__AMES/galactica-6.7b__ames__synthesize__seed_2.joblib,0.7713423228716407,0.8385177371464291,1,0.5975047662480993
