sample_index,smiles,y_true,total_seed_count,error_count,error_rate,wrong_seed_list,mean_prob_1_across_seeds,error_type,explanation_seed,explanation_bundle_path,explanation_bundle_valid_macro_f1,explanation_bundle_valid_roc_auc,selected_wrong_prediction,selected_wrong_prob_1
3,O=C(O)CNC(=O)c1ccccc1O,1,5,5,1.0,0;1;2;3;4,0.28969138786048215,false_negative,1,checkpoints/forest/TDC__BBB_Martins/galactica-6.7b__bbb_martins__synthesize__seed_1.joblib,0.7483870967741935,0.8677515899738122,0,0.2927612117169297
9,NS(=O)(=O)c1ccc(C(=O)O)cc1,1,5,5,1.0,0;1;2;3;4,0.33265756813023784,false_negative,1,checkpoints/forest/TDC__BBB_Martins/galactica-6.7b__bbb_martins__synthesize__seed_1.joblib,0.7483870967741935,0.8677515899738122,0,0.3455573838419501
12,CS(=O)(=O)c1ccc([C@@H](O)[C@@H](CO)NC(=O)C(Cl)Cl)cc1,1,5,5,1.0,0;1;2;3;4,0.3942528883031092,false_negative,1,checkpoints/forest/TDC__BBB_Martins/galactica-6.7b__bbb_martins__synthesize__seed_1.joblib,0.7483870967741935,0.8677515899738122,0,0.4158697065596857
16,CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1,1,5,5,1.0,0;1;2;3;4,0.3736656668852995,false_negative,1,checkpoints/forest/TDC__BBB_Martins/galactica-6.7b__bbb_martins__synthesize__seed_1.joblib,0.7483870967741935,0.8677515899738122,0,0.3580835150513026
24,CCN(CC)C(=O)Nc1ccc(OCC(O)CNC(C)(C)C)c(C(C)=O)c1,1,5,5,1.0,0;1;2;3;4,0.36243920828420934,false_negative,1,checkpoints/forest/TDC__BBB_Martins/galactica-6.7b__bbb_martins__synthesize__seed_1.joblib,0.7483870967741935,0.8677515899738122,0,0.3602514094860826
27,CC(C)C(CCCCCC(=O)O)NCc1ccc(F)cc1,1,5,5,1.0,0;1;2;3;4,0.4299966772021372,false_negative,1,checkpoints/forest/TDC__BBB_Martins/galactica-6.7b__bbb_martins__synthesize__seed_1.joblib,0.7483870967741935,0.8677515899738122,0,0.4250628662976455
43,CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1,0,5,5,1.0,0;1;2;3;4,0.6615239684722195,false_positive,1,checkpoints/forest/TDC__BBB_Martins/galactica-6.7b__bbb_martins__synthesize__seed_1.joblib,0.7483870967741935,0.8677515899738122,1,0.6828164293894697
84,N=C(N)NCCCOc1ccccc1,1,5,5,1.0,0;1;2;3;4,0.4177562088203858,false_negative,1,checkpoints/forest/TDC__BBB_Martins/galactica-6.7b__bbb_martins__synthesize__seed_1.joblib,0.7483870967741935,0.8677515899738122,0,0.4080396960548142
89,CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1,1,5,5,1.0,0;1;2;3;4,0.31135715962449984,false_negative,1,checkpoints/forest/TDC__BBB_Martins/galactica-6.7b__bbb_martins__synthesize__seed_1.joblib,0.7483870967741935,0.8677515899738122,0,0.3068623942747736
90,CC(Cc1ccccc1)NO,0,5,5,1.0,0;1;2;3;4,0.5964620622248292,false_positive,1,checkpoints/forest/TDC__BBB_Martins/galactica-6.7b__bbb_martins__synthesize__seed_1.joblib,0.7483870967741935,0.8677515899738122,1,0.6115620810980922
