sample_index,smiles,y_true,total_seed_count,error_count,error_rate,wrong_seed_list,mean_prob_1_across_seeds,error_type,explanation_seed,explanation_bundle_path,explanation_bundle_valid_macro_f1,explanation_bundle_valid_roc_auc,selected_wrong_prediction,selected_wrong_prob_1
5,CC[N+](C)(C)Cc1ccccc1Br,1,5,5,1.0,0;1;2;3;4,0.42929862901144,false_negative,4,checkpoints/forest/TDC__Bioavailability_Ma/galactica-6.7b__bioavailability_ma__synthesize__seed_4.joblib,0.6952380952380952,0.726998491704374,0,0.4012236752865264
27,C=CCc1ccccc1OCC(O)CNC(C)C,0,5,5,1.0,0;1;2;3;4,0.5707669716236081,false_positive,4,checkpoints/forest/TDC__Bioavailability_Ma/galactica-6.7b__bioavailability_ma__synthesize__seed_4.joblib,0.6952380952380952,0.726998491704374,1,0.6029376879990499
37,CC(C)(C)NCC(O)c1cc(O)cc(O)c1,0,5,5,1.0,0;1;2;3;4,0.5694934044702633,false_positive,4,checkpoints/forest/TDC__Bioavailability_Ma/galactica-6.7b__bioavailability_ma__synthesize__seed_4.joblib,0.6952380952380952,0.726998491704374,1,0.5783869315377506
62,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,1,5,5,1.0,0;1;2;3;4,0.38105158418834356,false_negative,4,checkpoints/forest/TDC__Bioavailability_Ma/galactica-6.7b__bioavailability_ma__synthesize__seed_4.joblib,0.6952380952380952,0.726998491704374,0,0.3809783750078188
63,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,1,5,5,1.0,0;1;2;3;4,0.3880069238940392,false_negative,4,checkpoints/forest/TDC__Bioavailability_Ma/galactica-6.7b__bioavailability_ma__synthesize__seed_4.joblib,0.6952380952380952,0.726998491704374,0,0.392856735026179
64,COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCCO,1,5,5,1.0,0;1;2;3;4,0.48899756117810866,false_negative,4,checkpoints/forest/TDC__Bioavailability_Ma/galactica-6.7b__bioavailability_ma__synthesize__seed_4.joblib,0.6952380952380952,0.726998491704374,0,0.4768210479970606
67,CCCc1c2oc(C(=O)O)cc(=O)c2cc2c(=O)cc(C(=O)O)n(CC)c12,0,5,5,1.0,0;1;2;3;4,0.5728282717484199,false_positive,4,checkpoints/forest/TDC__Bioavailability_Ma/galactica-6.7b__bioavailability_ma__synthesize__seed_4.joblib,0.6952380952380952,0.726998491704374,1,0.5791405729592433
77,C#C[C@]1(O)C=C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,1,5,5,1.0,0;1;2;3;4,0.4338813983318598,false_negative,4,checkpoints/forest/TDC__Bioavailability_Ma/galactica-6.7b__bioavailability_ma__synthesize__seed_4.joblib,0.6952380952380952,0.726998491704374,0,0.4441940532780188
78,N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1,0,5,5,1.0,0;1;2;3;4,0.5392566121880831,false_positive,4,checkpoints/forest/TDC__Bioavailability_Ma/galactica-6.7b__bioavailability_ma__synthesize__seed_4.joblib,0.6952380952380952,0.726998491704374,1,0.5594385625412515
91,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,1,5,5,1.0,0;1;2;3;4,0.4522454267984797,false_negative,4,checkpoints/forest/TDC__Bioavailability_Ma/galactica-6.7b__bioavailability_ma__synthesize__seed_4.joblib,0.6952380952380952,0.726998491704374,0,0.4398037928432494
93,CCC(=O)O[C@@H](O[P@](=O)(CCCCc1ccccc1)CC(=O)N1C[C@H](C2CCCCC2)C[C@H]1C(=O)O)C(C)C,1,5,5,1.0,0;1;2;3;4,0.40826940640173764,false_negative,4,checkpoints/forest/TDC__Bioavailability_Ma/galactica-6.7b__bioavailability_ma__synthesize__seed_4.joblib,0.6952380952380952,0.726998491704374,0,0.4322031129761982
96,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3CC[C@@]21C,1,5,5,1.0,0;1;2;3;4,0.4260466188734626,false_negative,4,checkpoints/forest/TDC__Bioavailability_Ma/galactica-6.7b__bioavailability_ma__synthesize__seed_4.joblib,0.6952380952380952,0.726998491704374,0,0.4387102087025648
97,Nc1nc(F)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,1,5,5,1.0,0;1;2;3;4,0.46118509185292095,false_negative,4,checkpoints/forest/TDC__Bioavailability_Ma/galactica-6.7b__bioavailability_ma__synthesize__seed_4.joblib,0.6952380952380952,0.726998491704374,0,0.4735430828068274
101,NS(=O)(=O)c1cc2c(cc1Cl)NC=NS2(=O)=O,0,5,5,1.0,0;1;2;3;4,0.61462964187028,false_positive,4,checkpoints/forest/TDC__Bioavailability_Ma/galactica-6.7b__bioavailability_ma__synthesize__seed_4.joblib,0.6952380952380952,0.726998491704374,1,0.6333377224833859
110,CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1,1,5,5,1.0,0;1;2;3;4,0.44693169137163274,false_negative,4,checkpoints/forest/TDC__Bioavailability_Ma/galactica-6.7b__bioavailability_ma__synthesize__seed_4.joblib,0.6952380952380952,0.726998491704374,0,0.4561233778564682
121,CO[C@@H]1[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@@H](O)[C@H](C)O3)[C@H](N(C)C)[C@H]2O)[C@@H](CC=O)C[C@@H](C)[C@@H](O[C@H]2CC[C@H](N(C)C)[C@H](C)O2)/C=C/C=C/C[C@@H](C)OC(=O)C[C@H]1O,1,5,5,1.0,0;1;2;3;4,0.36753810166512324,false_negative,4,checkpoints/forest/TDC__Bioavailability_Ma/galactica-6.7b__bioavailability_ma__synthesize__seed_4.joblib,0.6952380952380952,0.726998491704374,0,0.3689285191882744
126,NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n1,1,5,5,1.0,0;1;2;3;4,0.43604121339312824,false_negative,4,checkpoints/forest/TDC__Bioavailability_Ma/galactica-6.7b__bioavailability_ma__synthesize__seed_4.joblib,0.6952380952380952,0.726998491704374,0,0.4522433689543709
137,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5C[C@@H](O)[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,1,5,5,1.0,0;1;2;3;4,0.2989872021166825,false_negative,4,checkpoints/forest/TDC__Bioavailability_Ma/galactica-6.7b__bioavailability_ma__synthesize__seed_4.joblib,0.6952380952380952,0.726998491704374,0,0.2930648748270106
138,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5CC[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,1,5,5,1.0,0;1;2;3;4,0.32923307651656486,false_negative,4,checkpoints/forest/TDC__Bioavailability_Ma/galactica-6.7b__bioavailability_ma__synthesize__seed_4.joblib,0.6952380952380952,0.726998491704374,0,0.3422443771268174
148,CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C,1,5,5,1.0,0;1;2;3;4,0.36807292974802436,false_negative,4,checkpoints/forest/TDC__Bioavailability_Ma/galactica-6.7b__bioavailability_ma__synthesize__seed_4.joblib,0.6952380952380952,0.726998491704374,0,0.3538895307662552
150,NC(N)=NCCN1CCCCCCC1,0,5,5,1.0,0;1;2;3;4,0.5766503213246429,false_positive,4,checkpoints/forest/TDC__Bioavailability_Ma/galactica-6.7b__bioavailability_ma__synthesize__seed_4.joblib,0.6952380952380952,0.726998491704374,1,0.5481289880006315
153,CN(C)CCOC1=Cc2ccccc2Sc2ccc(Cl)cc21,0,5,5,1.0,0;1;2;3;4,0.5714984412352478,false_positive,4,checkpoints/forest/TDC__Bioavailability_Ma/galactica-6.7b__bioavailability_ma__synthesize__seed_4.joblib,0.6952380952380952,0.726998491704374,1,0.564207162279909
172,CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@H]2N(CCCCn3cnc(-c4cccnc4)c3)C(=O)O[C@]12C,1,5,5,1.0,0;1;2;3;4,0.33923525387112463,false_negative,4,checkpoints/forest/TDC__Bioavailability_Ma/galactica-6.7b__bioavailability_ma__synthesize__seed_4.joblib,0.6952380952380952,0.726998491704374,0,0.3611608072038701
173,N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O,1,5,5,1.0,0;1;2;3;4,0.42981318236108884,false_negative,4,checkpoints/forest/TDC__Bioavailability_Ma/galactica-6.7b__bioavailability_ma__synthesize__seed_4.joblib,0.6952380952380952,0.726998491704374,0,0.4076951048133733
174,CN(N=O)C(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]1O,1,5,5,1.0,0;1;2;3;4,0.4088778258268994,false_negative,4,checkpoints/forest/TDC__Bioavailability_Ma/galactica-6.7b__bioavailability_ma__synthesize__seed_4.joblib,0.6952380952380952,0.726998491704374,0,0.4196220900234171
201,S=c1nc[nH]c2nc[nH]c12,0,5,5,1.0,0;1;2;3;4,0.5381268156391413,false_positive,4,checkpoints/forest/TDC__Bioavailability_Ma/galactica-6.7b__bioavailability_ma__synthesize__seed_4.joblib,0.6952380952380952,0.726998491704374,1,0.5124569679313297
211,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,1,5,5,1.0,0;1;2;3;4,0.3471748733383599,false_negative,4,checkpoints/forest/TDC__Bioavailability_Ma/galactica-6.7b__bioavailability_ma__synthesize__seed_4.joblib,0.6952380952380952,0.726998491704374,0,0.3432159853094522
212,CO[C@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]1Cc4ccc(O)c5c4[C@@]3(CCN1CC1CC1)[C@H]2O5,1,5,5,1.0,0;1;2;3;4,0.34307760536732157,false_negative,4,checkpoints/forest/TDC__Bioavailability_Ma/galactica-6.7b__bioavailability_ma__synthesize__seed_4.joblib,0.6952380952380952,0.726998491704374,0,0.3323830992745183
257,OC[C@@H]1O[C@@](O)(CO)[C@H](O)[C@H]1O,1,5,5,1.0,0;1;2;3;4,0.46711658302173886,false_negative,4,checkpoints/forest/TDC__Bioavailability_Ma/galactica-6.7b__bioavailability_ma__synthesize__seed_4.joblib,0.6952380952380952,0.726998491704374,0,0.4621726479400588
278,OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1,1,5,5,1.0,0;1;2;3;4,0.42233093260445614,false_negative,4,checkpoints/forest/TDC__Bioavailability_Ma/galactica-6.7b__bioavailability_ma__synthesize__seed_4.joblib,0.6952380952380952,0.726998491704374,0,0.4263004394117177
