sample_index,smiles,y_true,total_seed_count,error_count,error_rate,wrong_seed_list,mean_prob_1_across_seeds,error_type,explanation_seed,explanation_bundle_path,explanation_bundle_valid_macro_f1,explanation_bundle_valid_roc_auc,selected_wrong_prediction,selected_wrong_prob_1
3,CC(=O)Nc1ccc(O)cc1,1,5,5,1.0,0;1;2;3;4,0.19790065373012733,false_negative,1,checkpoints/forest/TDC__CYP2D6_Substrate_CarbonMangels/galactica-6.7b__cyp2d6_substrate_carbonmangels__synthesize__seed_1.joblib,0.801920768307323,0.8264277715565509,0,0.2084287590213555
22,C=CCOc1ccccc1OC[C@@H](O)CNC(C)C,0,5,5,1.0,0;1;2;3;4,0.5715073184988316,false_positive,1,checkpoints/forest/TDC__CYP2D6_Substrate_CarbonMangels/galactica-6.7b__cyp2d6_substrate_carbonmangels__synthesize__seed_1.joblib,0.801920768307323,0.8264277715565509,1,0.5459098505293851
23,CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,1,5,5,1.0,0;1;2;3;4,0.25922571152805396,false_negative,1,checkpoints/forest/TDC__CYP2D6_Substrate_CarbonMangels/galactica-6.7b__cyp2d6_substrate_carbonmangels__synthesize__seed_1.joblib,0.801920768307323,0.8264277715565509,0,0.2528740979119783
29,CCOc1ccc(NC(C)=O)cc1,1,5,5,1.0,0;1;2;3;4,0.37438996972139915,false_negative,1,checkpoints/forest/TDC__CYP2D6_Substrate_CarbonMangels/galactica-6.7b__cyp2d6_substrate_carbonmangels__synthesize__seed_1.joblib,0.801920768307323,0.8264277715565509,0,0.3817601576057396
45,CNC(=O)Oc1cc(C)c(SC)c(C)c1,1,5,5,1.0,0;1;2;3;4,0.34712900196720164,false_negative,1,checkpoints/forest/TDC__CYP2D6_Substrate_CarbonMangels/galactica-6.7b__cyp2d6_substrate_carbonmangels__synthesize__seed_1.joblib,0.801920768307323,0.8264277715565509,0,0.3524647165780419
47,CC(C)c1cccc(C(C)C)c1O,1,5,5,1.0,0;1;2;3;4,0.2892535105173776,false_negative,1,checkpoints/forest/TDC__CYP2D6_Substrate_CarbonMangels/galactica-6.7b__cyp2d6_substrate_carbonmangels__synthesize__seed_1.joblib,0.801920768307323,0.8264277715565509,0,0.2819916299694228
67,FC(F)(F)[C@H](Cl)Br,1,5,5,1.0,0;1;2;3;4,0.27463043456683744,false_negative,1,checkpoints/forest/TDC__CYP2D6_Substrate_CarbonMangels/galactica-6.7b__cyp2d6_substrate_carbonmangels__synthesize__seed_1.joblib,0.801920768307323,0.8264277715565509,0,0.2698283175460952
72,CN(C)S(=O)(=O)CCNC(=O)N(CCCl)N=O,1,5,5,1.0,0;1;2;3;4,0.21630951615933564,false_negative,1,checkpoints/forest/TDC__CYP2D6_Substrate_CarbonMangels/galactica-6.7b__cyp2d6_substrate_carbonmangels__synthesize__seed_1.joblib,0.801920768307323,0.8264277715565509,0,0.2261407639131316
81,ClC(Cl)Cl,1,5,5,1.0,0;1;2;3;4,0.24733349738843818,false_negative,1,checkpoints/forest/TDC__CYP2D6_Substrate_CarbonMangels/galactica-6.7b__cyp2d6_substrate_carbonmangels__synthesize__seed_1.joblib,0.801920768307323,0.8264277715565509,0,0.2499463791281888
85,CN1CCN(CC/C=C2\c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1,0,5,5,1.0,0;1;2;3;4,0.5430542366195178,false_positive,1,checkpoints/forest/TDC__CYP2D6_Substrate_CarbonMangels/galactica-6.7b__cyp2d6_substrate_carbonmangels__synthesize__seed_1.joblib,0.801920768307323,0.8264277715565509,1,0.5455783347980891
