error_type,feature_name,feature_description,sample_count,affected_fraction,mean_harmful_shap_value,mean_abs_harmful_shap_value,mean_raw_value,mean_model_input_value,example_sample_indices
false_negative,estimated_logd_gt_3,Rule flag: estimated logD(7.4) > 3.,48,0.9795918367346939,0.008854500453278047,0.008854500453278047,0.0,-0.5723943812052382,2;4;9;12;15;26;28;44;47;48
false_negative,estimated_logd_ph74,Estimated logD at pH 7.4 from logP and neutral fraction.,41,0.8367346938775511,0.027974638837516115,0.027974638837516115,-0.054927668991237084,-0.8303569523419345,2;4;9;12;26;44;47;48;58;62
false_negative,carbon_atom_count,Carbon atom count.,37,0.7551020408163265,0.01817414730540406,0.01817414730540406,10.18918918918919,-0.868387424626409,2;4;9;12;15;28;44;47;48;62
false_negative,heavy_atom_count,Heavy atom count.,36,0.7346938775510204,0.010959465711248463,0.010959465711248463,14.916666666666666,-0.7995308526459948,2;4;9;12;15;28;44;47;48;62
false_negative,neutral_fraction_ph74,Estimated neutral fraction at pH 7.4.,30,0.6122448979591837,0.01792362558372578,0.01792362558372578,0.053697143008813834,-0.9398958657198254,4;9;12;26;44;48;58;95;98;104
false_negative,labute_asa,Labute approximate surface area as a stable size or volume proxy.,30,0.6122448979591837,0.016566695907008842,0.016566695907008842,83.75288570134184,-0.8948420546422108,2;4;9;12;15;28;44;47;62;74
false_negative,hba,Hydrogen bond acceptor count.,30,0.6122448979591837,0.006000442532325856,0.006000442532325856,2.433333333333333,-0.6780075273812369,2;4;9;12;15;28;44;47;48;74
false_negative,molar_refractivity,Wildman-Crippen molar refractivity.,29,0.5918367346938775,0.015295442637856815,0.015295442637856815,52.851717241379326,-0.9404161811310937,2;4;9;12;15;28;47;62;74;75
false_negative,charged_fraction_ph74,1 - neutral_fraction_ph74.,28,0.5714285714285714,0.013649221203677635,0.013649221203677635,0.9833975618322376,1.0222654204671566,4;9;12;26;44;48;58;95;98;104
false_negative,logp,Wildman-Crippen logP.,27,0.5510204081632653,0.026279977759884207,0.026279977759884207,1.0270585185185186,-1.0548255761520229,2;12;28;44;47;48;62;74;75;161
