sample_index,smiles,y_true,total_seed_count,error_count,error_rate,wrong_seed_list,mean_prob_1_across_seeds,error_type,explanation_seed,explanation_bundle_path,explanation_bundle_valid_macro_f1,explanation_bundle_valid_roc_auc,selected_wrong_prediction,selected_wrong_prob_1
2,CC(=O)Nc1ccc(O)cc1,1,5,5,1.0,0;1;2;3;4,0.26249728501976394,false_negative,4,checkpoints/forest/TDC__CYP3A4_Substrate_CarbonMangels/galactica-6.7b__cyp3a4_substrate_carbonmangels__synthesize__seed_4.joblib,0.7995397008055236,0.8287545787545788,0,0.2581293491164589
4,CC(C)(Oc1ccc(Cl)cc1)C(=O)O,1,5,5,1.0,0;1;2;3;4,0.35215608774910984,false_negative,4,checkpoints/forest/TDC__CYP3A4_Substrate_CarbonMangels/galactica-6.7b__cyp3a4_substrate_carbonmangels__synthesize__seed_4.joblib,0.7995397008055236,0.8287545787545788,0,0.3336512503186156
9,Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,1,5,5,1.0,0;1;2;3;4,0.4137343837393835,false_negative,4,checkpoints/forest/TDC__CYP3A4_Substrate_CarbonMangels/galactica-6.7b__cyp3a4_substrate_carbonmangels__synthesize__seed_4.joblib,0.7995397008055236,0.8287545787545788,0,0.4105037191840772
12,O=C(O)c1ccccc1O,1,5,5,1.0,0;1;2;3;4,0.24239099744962944,false_negative,4,checkpoints/forest/TDC__CYP3A4_Substrate_CarbonMangels/galactica-6.7b__cyp3a4_substrate_carbonmangels__synthesize__seed_4.joblib,0.7995397008055236,0.8287545787545788,0,0.248413350456396
15,C#CCN(C)[C@@H](C)Cc1ccccc1,1,5,5,1.0,0;1;2;3;4,0.42959315448469476,false_negative,4,checkpoints/forest/TDC__CYP3A4_Substrate_CarbonMangels/galactica-6.7b__cyp3a4_substrate_carbonmangels__synthesize__seed_4.joblib,0.7995397008055236,0.8287545787545788,0,0.4292504468627764
26,CC(C)NC[C@H](O)COc1ccc(COCCOC(C)C)cc1,1,5,5,1.0,0;1;2;3;4,0.4616317861725056,false_negative,4,checkpoints/forest/TDC__CYP3A4_Substrate_CarbonMangels/galactica-6.7b__cyp3a4_substrate_carbonmangels__synthesize__seed_4.joblib,0.7995397008055236,0.8287545787545788,0,0.458123943667537
28,CCOc1ccc(NC(C)=O)cc1,1,5,5,1.0,0;1;2;3;4,0.44038135138595075,false_negative,4,checkpoints/forest/TDC__CYP3A4_Substrate_CarbonMangels/galactica-6.7b__cyp3a4_substrate_carbonmangels__synthesize__seed_4.joblib,0.7995397008055236,0.8287545787545788,0,0.4210311255011681
44,CC(C)/N=C(N)\N=C(/N)Nc1ccc(Cl)cc1,1,5,5,1.0,0;1;2;3;4,0.3432320112265253,false_negative,4,checkpoints/forest/TDC__CYP3A4_Substrate_CarbonMangels/galactica-6.7b__cyp3a4_substrate_carbonmangels__synthesize__seed_4.joblib,0.7995397008055236,0.8287545787545788,0,0.3609319534331523
47,NC(=O)OCC(COC(N)=O)c1ccccc1,1,5,5,1.0,0;1;2;3;4,0.46623795492647646,false_negative,4,checkpoints/forest/TDC__CYP3A4_Substrate_CarbonMangels/galactica-6.7b__cyp3a4_substrate_carbonmangels__synthesize__seed_4.joblib,0.7995397008055236,0.8287545787545788,0,0.4538716032289099
48,CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,1,5,5,1.0,0;1;2;3;4,0.3750916491883548,false_negative,4,checkpoints/forest/TDC__CYP3A4_Substrate_CarbonMangels/galactica-6.7b__cyp3a4_substrate_carbonmangels__synthesize__seed_4.joblib,0.7995397008055236,0.8287545787545788,0,0.3692143668683628
58,O=C(N[C@H](Cc1cc(=O)[nH]c2ccccc12)C(=O)O)c1ccc(Cl)cc1,1,5,5,1.0,0;1;2;3;4,0.46296041800033916,false_negative,4,checkpoints/forest/TDC__CYP3A4_Substrate_CarbonMangels/galactica-6.7b__cyp3a4_substrate_carbonmangels__synthesize__seed_4.joblib,0.7995397008055236,0.8287545787545788,0,0.4632062615985791
67,CCN(CC)C(=S)SSC(=S)N(CC)CC,0,5,5,1.0,0;1;2;3;4,0.62135596761275,false_positive,4,checkpoints/forest/TDC__CYP3A4_Substrate_CarbonMangels/galactica-6.7b__cyp3a4_substrate_carbonmangels__synthesize__seed_4.joblib,0.7995397008055236,0.8287545787545788,1,0.6221395461354793
71,CCOC(=O)C[C@@H](SP(=S)(OC)OC)C(=O)OCC,0,5,5,1.0,0;1;2;3;4,0.5370643889882923,false_positive,4,checkpoints/forest/TDC__CYP3A4_Substrate_CarbonMangels/galactica-6.7b__cyp3a4_substrate_carbonmangels__synthesize__seed_4.joblib,0.7995397008055236,0.8287545787545788,1,0.5234328617371582
73,CCC[C@@](C)(COC(N)=O)COC(=O)NC(C)C,0,5,5,1.0,0;1;2;3;4,0.5225194805787092,false_positive,4,checkpoints/forest/TDC__CYP3A4_Substrate_CarbonMangels/galactica-6.7b__cyp3a4_substrate_carbonmangels__synthesize__seed_4.joblib,0.7995397008055236,0.8287545787545788,1,0.5300609382121104
74,COC(F)(F)C(Cl)Cl,1,5,5,1.0,0;1;2;3;4,0.4365270610534985,false_negative,4,checkpoints/forest/TDC__CYP3A4_Substrate_CarbonMangels/galactica-6.7b__cyp3a4_substrate_carbonmangels__synthesize__seed_4.joblib,0.7995397008055236,0.8287545787545788,0,0.4367942864238815
75,CCO,1,5,5,1.0,0;1;2;3;4,0.3104175810292609,false_negative,4,checkpoints/forest/TDC__CYP3A4_Substrate_CarbonMangels/galactica-6.7b__cyp3a4_substrate_carbonmangels__synthesize__seed_4.joblib,0.7995397008055236,0.8287545787545788,0,0.296365949636926
80,ClC=C(Cl)Cl,1,5,5,1.0,0;1;2;3;4,0.45663808095735064,false_negative,4,checkpoints/forest/TDC__CYP3A4_Substrate_CarbonMangels/galactica-6.7b__cyp3a4_substrate_carbonmangels__synthesize__seed_4.joblib,0.7995397008055236,0.8287545787545788,0,0.4420389096293655
91,CC(C)Oc1ccc2c(=O)c(-c3ccccc3)coc2c1,0,5,5,1.0,0;1;2;3;4,0.571071025922141,false_positive,4,checkpoints/forest/TDC__CYP3A4_Substrate_CarbonMangels/galactica-6.7b__cyp3a4_substrate_carbonmangels__synthesize__seed_4.joblib,0.7995397008055236,0.8287545787545788,1,0.562267853899957
95,CNCC[C@@H](Oc1ccccc1C)c1ccccc1,1,5,5,1.0,0;1;2;3;4,0.47254534505423307,false_negative,4,checkpoints/forest/TDC__CYP3A4_Substrate_CarbonMangels/galactica-6.7b__cyp3a4_substrate_carbonmangels__synthesize__seed_4.joblib,0.7995397008055236,0.8287545787545788,0,0.444643697015527
100,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5C[C@@H](O)[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,0,5,5,1.0,0;1;2;3;4,0.7087240861001345,false_positive,4,checkpoints/forest/TDC__CYP3A4_Substrate_CarbonMangels/galactica-6.7b__cyp3a4_substrate_carbonmangels__synthesize__seed_4.joblib,0.7995397008055236,0.8287545787545788,1,0.6855478487337708
104,Oc1nc2cc(Cl)ccc2o1,1,5,5,1.0,0;1;2;3;4,0.32574053744737624,false_negative,4,checkpoints/forest/TDC__CYP3A4_Substrate_CarbonMangels/galactica-6.7b__cyp3a4_substrate_carbonmangels__synthesize__seed_4.joblib,0.7995397008055236,0.8287545787545788,0,0.3272294354795052
107,COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC,0,5,5,1.0,0;1;2;3;4,0.7348844893646187,false_positive,4,checkpoints/forest/TDC__CYP3A4_Substrate_CarbonMangels/galactica-6.7b__cyp3a4_substrate_carbonmangels__synthesize__seed_4.joblib,0.7995397008055236,0.8287545787545788,1,0.743633767280341
115,CC(=O)C[C@@H](c1ccccc1)c1c(O)c2ccccc2oc1=O,1,5,5,1.0,0;1;2;3;4,0.4413289663899608,false_negative,4,checkpoints/forest/TDC__CYP3A4_Substrate_CarbonMangels/galactica-6.7b__cyp3a4_substrate_carbonmangels__synthesize__seed_4.joblib,0.7995397008055236,0.8287545787545788,0,0.4244615159381771
122,COc1cc(N[C@@H](C)CCCN)c2ncccc2c1,1,5,5,1.0,0;1;2;3;4,0.3882417121419538,false_negative,4,checkpoints/forest/TDC__CYP3A4_Substrate_CarbonMangels/galactica-6.7b__cyp3a4_substrate_carbonmangels__synthesize__seed_4.joblib,0.7995397008055236,0.8287545787545788,0,0.3676580898095691
