error_type,feature_name,feature_description,sample_count,affected_fraction,mean_harmful_shap_value,mean_abs_harmful_shap_value,mean_raw_value,mean_model_input_value,example_sample_indices
false_negative,azo_linkage_present,1 if an azo linkage alert is present.,7,1.0,0.006274555723380434,0.006274555723380434,0.0,-0.2679985157046388,9;51;53;66;97;116;169
false_negative,acid_deprotonated_fraction_ph74,Estimated deprotonated fraction for the dominant acidic site at pH 7.4.,6,0.8571428571428571,0.010684355393954209,0.010684355393954209,0.3004364519260272,-0.020158689911173516,51;53;66;97;116;169
false_negative,charged_fraction_ph74,1 - neutral_fraction_ph74.,4,0.5714285714285714,0.0071283394281510155,0.0071283394281510155,0.7326039647947984,0.21276654852899068,51;53;66;116
false_negative,heavy_atom_count,Heavy atom count.,3,0.42857142857142855,0.005579987507018943,0.005579987507018943,26.0,0.0826255466541635,53;97;169
false_negative,azo_linkage_count,Count of azo linkage alerts.,3,0.42857142857142855,0.0049153960507985475,0.0049153960507985475,0.0,-0.2487865286588188,9;51;169
false_negative,aliphatic_ring_count,Aliphatic ring count.,2,0.2857142857142857,0.016873593352318642,0.016873593352318642,1.5,0.022253409150920236,53;97
false_negative,mol_weight,Molecular weight (Descriptors.MolWt).,2,0.2857142857142857,0.005033054353883345,0.005033054353883345,295.3515,-0.2633721969405687,9;53
false_negative,aromatic_ring_count,Aromatic ring count.,2,0.2857142857142857,0.00497951246245266,0.00497951246245266,2.0,0.410175358237603,116;169
false_negative,ring_count,Total ring count.,1,0.14285714285714285,0.006456490213953654,0.006456490213953654,4.0,0.554736781845366,97
false_negative,estimated_logd_ph74,Estimated logD at pH 7.4 from logP and neutral fraction.,1,0.14285714285714285,0.006253333498466707,0.006253333498466707,3.474263332142715,1.086453249745162,97
false_negative,carbon_atom_count,Total carbon atom count.,1,0.14285714285714285,0.005292572270698432,0.005292572270698432,12.0,-0.5265791028932416,116
false_negative,exact_mol_weight,Exact molecular weight (Descriptors.ExactMolWt).,1,0.14285714285714285,0.0038694376477512887,0.0038694376477512887,307.17835828,-0.20828473191274036,9
false_negative,genotoxic_alert_count,Count of distinct carcinogenicity alert families matched.,1,0.14285714285714285,0.0029775898745233293,0.0029775898745233293,0.0,-0.7766196464897135,169
false_positive,acid_deprotonated_fraction_ph74,Estimated deprotonated fraction for the dominant acidic site at pH 7.4.,1,1.0,0.10694996893975461,0.10694996893975461,0.9999999928303012,1.5185675740696034,121
false_positive,charged_fraction_ph74,1 - neutral_fraction_ph74.,1,1.0,0.08555201476829262,0.08555201476829262,0.9999999928327618,0.8447190091412847,121
false_positive,neutral_fraction_ph74,Estimated neutral fraction at pH 7.4.,1,1.0,0.06526496625822831,0.06526496625822831,7.16723822769953e-09,-0.8447190091412848,121
false_positive,azo_linkage_present,1 if an azo linkage alert is present.,1,1.0,0.05760961955891586,0.05760961955891586,1.0,3.7313639494261244,121
false_positive,azo_linkage_count,Count of azo linkage alerts.,1,1.0,0.034361994347348664,0.034361994347348664,2.0,4.347840762751738,121
false_positive,logp,Wildman-Crippen logP.,1,1.0,0.03098345442354307,0.03098345442354307,6.070400000000006,1.5193079586472849,121
false_positive,fraction_csp3,Fraction of sp3 carbons.,1,1.0,0.025253412221059226,0.025253412221059226,0.058823529411764705,-1.356110891997485,121
false_positive,aromatic_ring_count,Aromatic ring count.,1,1.0,0.024392087192024865,0.024392087192024865,6.0,3.2777075924031878,121
false_positive,aliphatic_ring_count,Aliphatic ring count.,1,1.0,0.018149957391133033,0.018149957391133033,0.0,-0.7872143487138017,121
false_positive,high_aromatic_ring_burden_flag,Heuristic flag: aromatic ring count >= 3.,1,1.0,0.017599956506015278,0.017599956506015278,1.0,2.169304578186562,121
false_positive,metabolic_stability_proxy,"Heuristic persistent-scaffold flag based on ring burden, halogens, and lipophilicity.",1,1.0,0.016086806014259665,0.016086806014259665,1.0,2.6614532371118855,121
false_positive,estimated_logd_ph74,Estimated logD at pH 7.4 from logP and neutral fraction.,1,1.0,0.010738948221322495,0.010738948221322495,-2.0742481600266336,-0.47447342739542137,121
false_positive,genotoxic_alert_count,Count of distinct carcinogenicity alert families matched.,1,1.0,0.010687509947460785,0.010687509947460785,4.0,2.4634709216609187,121
false_positive,base_protonated_fraction_ph74,Estimated protonated fraction for the dominant basic site at pH 7.4.,1,1.0,0.007880838886741357,0.007880838886741357,0.0003431952983786578,-0.8860282953667169,121
false_positive,high_logp_flag,Heuristic flag: logP >= 5.,1,1.0,0.005401725342191254,0.005401725342191254,1.0,2.5999999999999996,121
false_positive,rotatable_bonds,Rotatable bond count.,1,1.0,0.005020972819978935,0.005020972819978935,11.0,1.5973172205080932,121
