error_type,feature_name,feature_description,sample_count,affected_fraction,mean_harmful_shap_value,mean_abs_harmful_shap_value,mean_raw_value,mean_model_input_value,example_sample_indices
false_negative,oxygen_nitrogen_count,Count of O and N atoms.,2,1.0,0.04403290910211518,0.04403290910211518,2.0,-0.7734012369353342,117;153
false_negative,estimated_logd_ph74,Estimated logD at pH 7.4 from logP and neutral fraction.,2,1.0,0.019337038478028222,0.019337038478028222,-1.5410023185522128,-0.1715213604995578,117;153
false_negative,num_basic_sites,Number of predicted basic sites from the MolGpKa helper.,2,1.0,0.015722121688397827,0.015722121688397827,0.0,-0.9655352954607375,117;153
false_negative,base_protonated_fraction_ph74,Estimated protonated fraction for the dominant basic site at pH 7.4.,2,1.0,0.01496133555200616,0.01496133555200616,0.0,-0.8094788802720447,117;153
false_negative,heteroatom_count,Total heteroatom count.,2,1.0,0.01415585472904365,0.01415585472904365,2.5,-0.7976503894064535,117;153
false_negative,ring_count,Total ring count.,2,1.0,0.01070283673630951,0.01070283673630951,0.5,-1.1333878156741921,117;153
false_negative,hbd,Hydrogen bond donor count.,2,1.0,0.00687249382096459,0.00687249382096459,0.5,-0.6003391235898836,117;153
false_negative,aromatic_ring_count,Aromatic ring count.,2,1.0,0.0068448740622160595,0.0068448740622160595,0.5,-0.6885457440440863,117;153
false_negative,aromatic_amine_count,Count of primary or secondary aromatic amine nitrogens.,2,1.0,0.006396482244564292,0.006396482244564292,0.0,-0.38847461321686183,117;153
false_negative,acid_deprotonated_fraction_ph74,Estimated deprotonated fraction for the dominant acidic site at pH 7.4.,1,0.5,0.04312699082502199,0.04312699082502199,0.0,-0.6427131008052177,153
false_negative,hba,Hydrogen bond acceptor count.,1,0.5,0.017183927881490094,0.017183927881490094,0.0,-1.1466181389763581,153
false_negative,logp,Wildman-Crippen logP.,1,0.5,0.01094769176428839,0.01094769176428839,-0.3808,-0.45405137525495154,153
false_negative,total_hbond_donors_acceptors,HBD + HBA total.,1,0.5,0.0076107186328325605,0.0076107186328325605,0.0,-1.0944086297172784,153
false_negative,heavy_atom_count,Heavy atom count.,1,0.5,0.006107070194518242,0.006107070194518242,13.0,-0.76975192201116,117
false_negative,neutral_fraction_ph74,Estimated neutral fraction at pH 7.4.,1,0.5,0.003940742085964911,0.003940742085964911,9.7430596826098e-05,-0.9309599984456285,117
false_positive,oxygen_nitrogen_count,Count of O and N atoms.,30,1.0,0.057793466525546074,0.057793466525546074,6.933333333333334,0.12157994753469034,69;417;420;448;466;517;526;538;549;559
false_positive,estimated_logd_ph74,Estimated logD at pH 7.4 from logP and neutral fraction.,28,0.9333333333333333,0.07654954900024738,0.07654954900024738,2.9524707626060844,0.8171299559057742,69;417;420;448;517;526;549;559;568;571
false_positive,aromatic_ring_count,Aromatic ring count.,26,0.8666666666666667,0.012164288707712348,0.012164288707712348,2.6923076923076925,1.1618141586848103,417;420;448;466;517;526;538;549;559;568
false_positive,ring_count,Total ring count.,26,0.8666666666666667,0.010799695252512224,0.010799695252512224,3.6538461538461537,0.6152410494718391,417;420;448;466;517;526;538;549;559;568
false_positive,tpsa,Topological polar surface area.,23,0.7666666666666667,0.010937525904624724,0.010937525904624724,92.87826086956521,-0.017933175678855523,69;448;466;517;526;568;594;634;653;655
false_positive,unspecified_chiral_center_count,Count of unspecified atom stereo centers.,23,0.7666666666666667,0.010922488056321919,0.010922488056321919,0.0,-0.397242813544414,69;417;420;448;517;526;538;549;559;568
