sample_index,smiles,y_true,total_seed_count,error_count,error_rate,wrong_seed_list,mean_prob_1_across_seeds,error_type,explanation_seed,explanation_bundle_path,explanation_bundle_valid_macro_f1,explanation_bundle_valid_roc_auc,selected_wrong_prediction,selected_wrong_prob_1
117,CC(=O)Oc1ccccc1C(=O)O,1,5,5,1.0,0;1;2;3;4,0.4168829919374694,false_negative,0,checkpoints/forest/TDC__ClinTox/galactica-6.7b__clintox__synthesize__seed_0.joblib,0.7143083003952568,0.8759842519685039,0,0.4668920779922562
153,[Se],1,5,5,1.0,0;1;2;3;4,0.4199552750481622,false_negative,0,checkpoints/forest/TDC__ClinTox/galactica-6.7b__clintox__synthesize__seed_0.joblib,0.7143083003952568,0.8759842519685039,0,0.3924614089437912
417,COc1cc(NCc2ccc3nc(N)nc(N)c3c2C)cc(OC)c1OC,0,5,5,1.0,0;1;2;3;4,0.7109113152543747,false_positive,0,checkpoints/forest/TDC__ClinTox/galactica-6.7b__clintox__synthesize__seed_0.joblib,0.7143083003952568,0.8759842519685039,1,0.6564676357646347
466,C#CCC(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc1,0,5,5,1.0,0;1;2;3;4,0.5673347252675398,false_positive,0,checkpoints/forest/TDC__ClinTox/galactica-6.7b__clintox__synthesize__seed_0.joblib,0.7143083003952568,0.8759842519685039,1,0.5587434574061787
517,O=C1CCc2cc(OCCCCc3nnnn3C3CCCCC3)ccc2N1,0,5,5,1.0,0;1;2;3;4,0.6125784757329783,false_positive,0,checkpoints/forest/TDC__ClinTox/galactica-6.7b__clintox__synthesize__seed_0.joblib,0.7143083003952568,0.8759842519685039,1,0.6536606181188447
549,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)[N-]C(=O)NC2CCCCC2)cc1,0,5,5,1.0,0;1;2;3;4,0.5571966986999695,false_positive,0,checkpoints/forest/TDC__ClinTox/galactica-6.7b__clintox__synthesize__seed_0.joblib,0.7143083003952568,0.8759842519685039,1,0.5666378285993666
559,CC(C)Nc1cccnc1N1CCN(C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)CC1,0,5,5,1.0,0;1;2;3;4,0.6732942398242499,false_positive,0,checkpoints/forest/TDC__ClinTox/galactica-6.7b__clintox__synthesize__seed_0.joblib,0.7143083003952568,0.8759842519685039,1,0.6311902862353874
568,C=CC1=C(C)c2cc3[nH]c(cc4nc(cc5[nH]c(cc1n2)c(C)c5CCC(=O)[O-])C(CCC(=O)OC)=C4C)[C@@]1(C)C3=CC=C(C(=O)OC)[C@H]1C(=O)OC,0,5,5,1.0,0;1;2;3;4,0.5355816674914219,false_positive,0,checkpoints/forest/TDC__ClinTox/galactica-6.7b__clintox__synthesize__seed_0.joblib,0.7143083003952568,0.8759842519685039,1,0.5605433037287274
571,Cc1cc(/C=C/C#N)cc(C)c1Nc1ccnc(Nc2ccc(C#N)cc2)n1,0,5,5,1.0,0;1;2;3;4,0.6920691657025976,false_positive,0,checkpoints/forest/TDC__ClinTox/galactica-6.7b__clintox__synthesize__seed_0.joblib,0.7143083003952568,0.8759842519685039,1,0.687877752511911
594,Cc1ccc(NC(=O)c2ccc(CN3CC[NH+](C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,0,5,5,1.0,0;1;2;3;4,0.7826743780490523,false_positive,0,checkpoints/forest/TDC__ClinTox/galactica-6.7b__clintox__synthesize__seed_0.joblib,0.7143083003952568,0.8759842519685039,1,0.752787337996105
619,N#Cc1ccc2[nH]cc(CCCC[NH+]3CCN(c4ccc5oc(C(N)=O)cc5c4)CC3)c2c1,0,5,5,1.0,0;1;2;3;4,0.5351431554520728,false_positive,0,checkpoints/forest/TDC__ClinTox/galactica-6.7b__clintox__synthesize__seed_0.joblib,0.7143083003952568,0.8759842519685039,1,0.5193961478296008
653,CCc1ccc(CCOc2ccc(CC3SC(=O)[N-]C3=O)cc2)nc1,0,5,5,1.0,0;1;2;3;4,0.6548805943378169,false_positive,0,checkpoints/forest/TDC__ClinTox/galactica-6.7b__clintox__synthesize__seed_0.joblib,0.7143083003952568,0.8759842519685039,1,0.6279616360800891
655,CC(C)OC(=O)OCOP(=O)(CO[C@H](C)Cn1cnc2c(N)ncnc21)OCOC(=O)OC(C)C,0,5,5,1.0,0;1;2;3;4,0.6273545210658836,false_positive,0,checkpoints/forest/TDC__ClinTox/galactica-6.7b__clintox__synthesize__seed_0.joblib,0.7143083003952568,0.8759842519685039,1,0.5656627752397755
708,C[C@H]1C[C@@H]2[C@H]([C@@H](O)C[C@@]3(C)[C@H]2CC[C@]3(O)C(=O)CO)[C@@]2(C)C=CC(=O)C=C12,0,5,5,1.0,0;1;2;3;4,0.72202546855319,false_positive,0,checkpoints/forest/TDC__ClinTox/galactica-6.7b__clintox__synthesize__seed_0.joblib,0.7143083003952568,0.8759842519685039,1,0.709219416858912
