sample_index,smiles,y_true,total_seed_count,error_count,error_rate,wrong_seed_list,mean_prob_1_across_seeds,error_type,explanation_seed,explanation_bundle_path,explanation_bundle_valid_macro_f1,explanation_bundle_valid_roc_auc,selected_wrong_prediction,selected_wrong_prob_1
0,O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,0,5,5,1.0,0;1;2;3;4,0.6302596039289297,false_positive,3,checkpoints/forest/TDC__DILI/galactica-6.7b__dili__synthesize__seed_3.joblib,0.840677966101695,0.8784313725490196,1,0.6491359632568309
12,CC(=O)Oc1cc(C(C)C)c(OCCN(C)C)cc1C,1,5,5,1.0,0;1;2;3;4,0.23009830240306064,false_negative,3,checkpoints/forest/TDC__DILI/galactica-6.7b__dili__synthesize__seed_3.joblib,0.840677966101695,0.8784313725490196,0,0.2551867295098801
15,CC(C)Cc1ccc(CC(=O)O)cc1,1,5,5,1.0,0;1;2;3;4,0.33198924346993963,false_negative,3,checkpoints/forest/TDC__DILI/galactica-6.7b__dili__synthesize__seed_3.joblib,0.840677966101695,0.8784313725490196,0,0.3352189778242788
16,CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I,0,5,5,1.0,0;1;2;3;4,0.6164623394501555,false_positive,3,checkpoints/forest/TDC__DILI/galactica-6.7b__dili__synthesize__seed_3.joblib,0.840677966101695,0.8784313725490196,1,0.5906247941119712
21,CCOc1ccc(NC(C)=O)cc1,1,5,5,1.0,0;1;2;3;4,0.3919499434308092,false_negative,3,checkpoints/forest/TDC__DILI/galactica-6.7b__dili__synthesize__seed_3.joblib,0.840677966101695,0.8784313725490196,0,0.4191306904586487
30,Nc1ccc(S(N)(=O)=O)cc1,1,5,5,1.0,0;1;2;3;4,0.48991140621786566,false_negative,3,checkpoints/forest/TDC__DILI/galactica-6.7b__dili__synthesize__seed_3.joblib,0.840677966101695,0.8784313725490196,0,0.4893516295829077
31,CCCCCCCCNC(C)C(O)c1ccc(SC(C)C)cc1,1,5,5,1.0,0;1;2;3;4,0.30633007182848093,false_negative,3,checkpoints/forest/TDC__DILI/galactica-6.7b__dili__synthesize__seed_3.joblib,0.840677966101695,0.8784313725490196,0,0.3378942523786545
35,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,1,5,5,1.0,0;1;2;3;4,0.38853566420119245,false_negative,3,checkpoints/forest/TDC__DILI/galactica-6.7b__dili__synthesize__seed_3.joblib,0.840677966101695,0.8784313725490196,0,0.4217078501198064
71,CS(=O)(=O)OCCCCOS(C)(=O)=O,1,5,5,1.0,0;1;2;3;4,0.2613501638900973,false_negative,3,checkpoints/forest/TDC__DILI/galactica-6.7b__dili__synthesize__seed_3.joblib,0.840677966101695,0.8784313725490196,0,0.2537775785023106
78,OCC(S)CS,1,5,5,1.0,0;1;2;3;4,0.34219528943081673,false_negative,3,checkpoints/forest/TDC__DILI/galactica-6.7b__dili__synthesize__seed_3.joblib,0.840677966101695,0.8784313725490196,0,0.3082416527090328
81,CCN(CC)C(=S)SSC(=S)N(CC)CC,1,5,5,1.0,0;1;2;3;4,0.2937682067907048,false_negative,3,checkpoints/forest/TDC__DILI/galactica-6.7b__dili__synthesize__seed_3.joblib,0.840677966101695,0.8784313725490196,0,0.3069793615764769
84,CCCC(CCC)C(=O)O,1,5,5,1.0,0;1;2;3;4,0.30807485704026677,false_negative,3,checkpoints/forest/TDC__DILI/galactica-6.7b__dili__synthesize__seed_3.joblib,0.840677966101695,0.8784313725490196,0,0.3638487295331927
99,Cn1nnc2c(C(N)=O)ncn2c1=O,0,5,5,1.0,0;1;2;3;4,0.6525391673236184,false_positive,3,checkpoints/forest/TDC__DILI/galactica-6.7b__dili__synthesize__seed_3.joblib,0.840677966101695,0.8784313725490196,1,0.6573707947057694
101,CN(C)CCCC1c2ccccc2Nc2ccc(Cl)cc21,1,5,5,1.0,0;1;2;3;4,0.27381302005152447,false_negative,3,checkpoints/forest/TDC__DILI/galactica-6.7b__dili__synthesize__seed_3.joblib,0.840677966101695,0.8784313725490196,0,0.2500672581914076
102,Cn1cc[nH]c1=S,1,5,5,1.0,0;1;2;3;4,0.38463399802802034,false_negative,3,checkpoints/forest/TDC__DILI/galactica-6.7b__dili__synthesize__seed_3.joblib,0.840677966101695,0.8784313725490196,0,0.3665212120654545
105,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1,0,5,5,1.0,0;1;2;3;4,0.7282650397371273,false_positive,3,checkpoints/forest/TDC__DILI/galactica-6.7b__dili__synthesize__seed_3.joblib,0.840677966101695,0.8784313725490196,1,0.6865050943377207
115,CC(C)NNC(=O)c1ccncc1,1,5,5,1.0,0;1;2;3;4,0.3462328553252578,false_negative,3,checkpoints/forest/TDC__DILI/galactica-6.7b__dili__synthesize__seed_3.joblib,0.840677966101695,0.8784313725490196,0,0.3908121730432903
116,O=C(O)c1cccnc1,1,5,5,1.0,0;1;2;3;4,0.42291780173968735,false_negative,3,checkpoints/forest/TDC__DILI/galactica-6.7b__dili__synthesize__seed_3.joblib,0.840677966101695,0.8784313725490196,0,0.4232484041451091
122,O=C1CCc2cc(OCCCCc3nnnn3C3CCCCC3)ccc2N1,0,5,5,1.0,0;1;2;3;4,0.562513335221976,false_positive,3,checkpoints/forest/TDC__DILI/galactica-6.7b__dili__synthesize__seed_3.joblib,0.840677966101695,0.8784313725490196,1,0.5636355481117726
125,CN1CCCCC1CCN1c2ccccc2Sc2ccc(S(C)=O)cc21,1,5,5,1.0,0;1;2;3;4,0.3509777945284914,false_negative,3,checkpoints/forest/TDC__DILI/galactica-6.7b__dili__synthesize__seed_3.joblib,0.840677966101695,0.8784313725490196,0,0.3365239490774251
