sample_index,smiles,y_true,total_seed_count,error_count,error_rate,wrong_seed_list,mean_prob_1_across_seeds,error_type,explanation_seed,explanation_bundle_path,explanation_bundle_valid_macro_f1,explanation_bundle_valid_roc_auc,selected_wrong_prediction,selected_wrong_prob_1
13,CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I,0,5,5,1.0,0;1;2;3;4,0.6154484796674982,false_positive,1,checkpoints/forest/TDC__HIA_Hou/galactica-6.7b__hia_hou__synthesize__seed_1.joblib,0.8697638994668697,0.9657142857142856,1,0.5955540801969392
32,O=P(O)(O)C(Cc1ccc(Cl)cc1)P(=O)(O)O,0,5,5,1.0,0;1;2;3;4,0.6454599293586916,false_positive,1,checkpoints/forest/TDC__HIA_Hou/galactica-6.7b__hia_hou__synthesize__seed_1.joblib,0.8697638994668697,0.9657142857142856,1,0.6278077048429318
33,CC[N+](C)(C)Cc1ccccc1Br,0,5,5,1.0,0;1;2;3;4,0.6800394371849593,false_positive,1,checkpoints/forest/TDC__HIA_Hou/galactica-6.7b__hia_hou__synthesize__seed_1.joblib,0.8697638994668697,0.9657142857142856,1,0.693916445482005
38,CC[N+](C)(C)c1cccc(O)c1,0,5,5,1.0,0;1;2;3;4,0.8513317469589176,false_positive,1,checkpoints/forest/TDC__HIA_Hou/galactica-6.7b__hia_hou__synthesize__seed_1.joblib,0.8697638994668697,0.9657142857142856,1,0.8521876991883707
39,CC[N+](CC)(CC)CCOc1cccc(OCC[N+](CC)(CC)CC)c1OCC[N+](CC)(CC)CC,0,5,5,1.0,0;1;2;3;4,0.5516384779384117,false_positive,1,checkpoints/forest/TDC__HIA_Hou/galactica-6.7b__hia_hou__synthesize__seed_1.joblib,0.8697638994668697,0.9657142857142856,1,0.552460692749073
41,CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1,0,5,5,1.0,0;1;2;3;4,0.6865338183234166,false_positive,1,checkpoints/forest/TDC__HIA_Hou/galactica-6.7b__hia_hou__synthesize__seed_1.joblib,0.8697638994668697,0.9657142857142856,1,0.6989323094193844
84,CN(C)[C@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(=O)C3=C(O)c4c(O)cccc4[C@@](C)(O)[C@@H]3[C@H](O)[C@@H]12,1,5,5,1.0,0;1;2;3;4,0.3497417027936672,false_negative,1,checkpoints/forest/TDC__HIA_Hou/galactica-6.7b__hia_hou__synthesize__seed_1.joblib,0.8697638994668697,0.9657142857142856,0,0.3521290808488864
85,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=CCS[C@@H]12)c1csc(N)n1,1,5,5,1.0,0;1;2;3;4,0.4269740552138967,false_negative,1,checkpoints/forest/TDC__HIA_Hou/galactica-6.7b__hia_hou__synthesize__seed_1.joblib,0.8697638994668697,0.9657142857142856,0,0.419465192586718
86,COCC1=C(C(=O)O[C@H](C)OC(=O)OC(C)C)N2C(=O)[C@H](NC(=O)C(=NOC)c3csc(N)n3)[C@@H]2SC1,1,5,5,1.0,0;1;2;3;4,0.4377022956002367,false_negative,1,checkpoints/forest/TDC__HIA_Hou/galactica-6.7b__hia_hou__synthesize__seed_1.joblib,0.8697638994668697,0.9657142857142856,0,0.4091368444971027
89,O=C(O)c1ccccc1C(=O)Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,0,5,5,1.0,0;1;2;3;4,0.7064261097933108,false_positive,1,checkpoints/forest/TDC__HIA_Hou/galactica-6.7b__hia_hou__synthesize__seed_1.joblib,0.8697638994668697,0.9657142857142856,1,0.7137325217437902
99,C[N+]1(C)CCC(=C(c2ccccc2)c2ccccc2)CC1,0,5,5,1.0,0;1;2;3;4,0.6663513622820878,false_positive,1,checkpoints/forest/TDC__HIA_Hou/galactica-6.7b__hia_hou__synthesize__seed_1.joblib,0.8697638994668697,0.9657142857142856,1,0.6778288651023009
133,O=C(O)[C@H](CCc1ccccc1)N[C@@H]1CCCN2CCC[C@@H](C(=O)O)N2C1=O,0,5,5,1.0,0;1;2;3;4,0.6266708508495624,false_positive,1,checkpoints/forest/TDC__HIA_Hou/galactica-6.7b__hia_hou__synthesize__seed_1.joblib,0.8697638994668697,0.9657142857142856,1,0.6282138811246412
171,CC(=O)O[C@@H]1[C@H]([N+]2(C)CCCCC2)C[C@@H]2[C@@H]3CC[C@@H]4C[C@@H](OC(C)=O)[C@@H]([N+]5(C)CCCCC5)C[C@]4(C)[C@@H]3CC[C@]21C,0,5,5,1.0,0;1;2;3;4,0.5556093434081195,false_positive,1,checkpoints/forest/TDC__HIA_Hou/galactica-6.7b__hia_hou__synthesize__seed_1.joblib,0.8697638994668697,0.9657142857142856,1,0.5599482451984592
177,C[N+](C)(CCOc1ccccc1)Cc1ccccc1,0,5,5,1.0,0;1;2;3;4,0.6750074514059617,false_positive,1,checkpoints/forest/TDC__HIA_Hou/galactica-6.7b__hia_hou__synthesize__seed_1.joblib,0.8697638994668697,0.9657142857142856,1,0.68509873511503
185,CCC[C@@H]1C[C@H](C(=O)N[C@H]([C@@H]2O[C@@H](SC)[C@@H](O)[C@@H](O)[C@@H]2O)[C@H](C)O)N(C)C1,0,5,5,1.0,0;1;2;3;4,0.6541786602529556,false_positive,1,checkpoints/forest/TDC__HIA_Hou/galactica-6.7b__hia_hou__synthesize__seed_1.joblib,0.8697638994668697,0.9657142857142856,1,0.6536574987285068
195,C[N+]1(C)CC[C@H](OC(=O)[C@@](O)(c2ccccc2)C2CCCC2)C1,0,5,5,1.0,0;1;2;3;4,0.7971624909660054,false_positive,1,checkpoints/forest/TDC__HIA_Hou/galactica-6.7b__hia_hou__synthesize__seed_1.joblib,0.8697638994668697,0.9657142857142856,1,0.8002532478739381
198,C[C@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CC[C@H](C(=O)N(C)C)N3)[C@@H](C)[C@H]12,0,5,5,1.0,0;1;2;3;4,0.7085246436127406,false_positive,1,checkpoints/forest/TDC__HIA_Hou/galactica-6.7b__hia_hou__synthesize__seed_1.joblib,0.8697638994668697,0.9657142857142856,1,0.7219575360042023
200,CC[C@@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@@H](C)C[C@@H](N(C)C)[C@@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@@H](C)[C@H](O)[C@]1(C)O,1,5,5,1.0,0;1;2;3;4,0.4111505684929565,false_negative,1,checkpoints/forest/TDC__HIA_Hou/galactica-6.7b__hia_hou__synthesize__seed_1.joblib,0.8697638994668697,0.9657142857142856,0,0.396719954285359
201,C=CC[N@+]12CC[C@]34c5ccccc5N5C=C6[C@H]7C[C@H]8[C@]9(CC[N@@+]8(CC=C)C/C7=C\CO)c7ccccc7N(C=C([C@H](C[C@H]31)/C(=C/CO)C2)[C@@H]54)[C@@H]69,0,5,5,1.0,0;1;2;3;4,0.6664618416151076,false_positive,1,checkpoints/forest/TDC__HIA_Hou/galactica-6.7b__hia_hou__synthesize__seed_1.joblib,0.8697638994668697,0.9657142857142856,1,0.6687114148542247
213,CC(=O)O[C@@H]1[C@H]([N+]2(C)CCCCC2)C[C@@H]2[C@@H]3CC[C@@H]4C[C@@H](OC(C)=O)[C@@H](N5CCCCC5)C[C@]4(C)[C@@H]3CC[C@]21C,0,5,5,1.0,0;1;2;3;4,0.7258985996555596,false_positive,1,checkpoints/forest/TDC__HIA_Hou/galactica-6.7b__hia_hou__synthesize__seed_1.joblib,0.8697638994668697,0.9657142857142856,1,0.7474127082925467
224,O=C(O)CCC(=O)Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,0,5,5,1.0,0;1;2;3;4,0.7517789266362517,false_positive,1,checkpoints/forest/TDC__HIA_Hou/galactica-6.7b__hia_hou__synthesize__seed_1.joblib,0.8697638994668697,0.9657142857142856,1,0.7451396242813934
227,C[n+]1ccccc1/C=N/O,0,5,5,1.0,0;1;2;3;4,0.8511234497193969,false_positive,1,checkpoints/forest/TDC__HIA_Hou/galactica-6.7b__hia_hou__synthesize__seed_1.joblib,0.8697638994668697,0.9657142857142856,1,0.85266410723963
238,CC[C@@H]1C[C@H](OC(=O)C(O)(c2ccccc2)c2ccccc2)C[C@H](C)[N+]12CCCC2,0,5,5,1.0,0;1;2;3;4,0.7504163502983224,false_positive,1,checkpoints/forest/TDC__HIA_Hou/galactica-6.7b__hia_hou__synthesize__seed_1.joblib,0.8697638994668697,0.9657142857142856,1,0.7558246435971082
261,CCCc1c2oc(C(=O)O)cc(=O)c2cc2c(=O)cc(C(=O)O)n(CC)c12,0,5,5,1.0,0;1;2;3;4,0.6025350377356815,false_positive,1,checkpoints/forest/TDC__HIA_Hou/galactica-6.7b__hia_hou__synthesize__seed_1.joblib,0.8697638994668697,0.9657142857142856,1,0.5732665081670528
273,CC1(C)S[C@H]2[C@@H](NC(=O)[C@@H](C(=O)O)c3ccsc3)C(=O)N2[C@@H]1C(=O)O,0,5,5,1.0,0;1;2;3;4,0.5617123405364329,false_positive,1,checkpoints/forest/TDC__HIA_Hou/galactica-6.7b__hia_hou__synthesize__seed_1.joblib,0.8697638994668697,0.9657142857142856,1,0.5472970225874737
288,C[N+]1(C)CCC[C@@H]1COC(=O)C(O)(c1ccccc1)c1ccccc1,0,5,5,1.0,0;1;2;3;4,0.7680766785545924,false_positive,1,checkpoints/forest/TDC__HIA_Hou/galactica-6.7b__hia_hou__synthesize__seed_1.joblib,0.8697638994668697,0.9657142857142856,1,0.7676880546707757
295,ON=Cc1cc[n+](COC[n+]2ccc(/C=N/O)cc2)cc1,0,5,5,1.0,0;1;2;3;4,0.8913268061729889,false_positive,1,checkpoints/forest/TDC__HIA_Hou/galactica-6.7b__hia_hou__synthesize__seed_1.joblib,0.8697638994668697,0.9657142857142856,1,0.8911636531529278
304,OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1,1,5,5,1.0,0;1;2;3;4,0.4396896118472033,false_negative,1,checkpoints/forest/TDC__HIA_Hou/galactica-6.7b__hia_hou__synthesize__seed_1.joblib,0.8697638994668697,0.9657142857142856,0,0.4142321913058776
345,N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1,0,5,5,1.0,0;1;2;3;4,0.8424428878405099,false_positive,1,checkpoints/forest/TDC__HIA_Hou/galactica-6.7b__hia_hou__synthesize__seed_1.joblib,0.8697638994668697,0.9657142857142856,1,0.8504648184254193
371,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@@H](O)[C@H](O)[C@H](O)CO)c2cc1C,1,5,5,1.0,0;1;2;3;4,0.47249802009535513,false_negative,1,checkpoints/forest/TDC__HIA_Hou/galactica-6.7b__hia_hou__synthesize__seed_1.joblib,0.8697638994668697,0.9657142857142856,0,0.4738645847535171
384,CC(C)[N+](C)(CCOC(=O)C1c2ccccc2Oc2ccccc21)C(C)C,0,5,5,1.0,0;1;2;3;4,0.6436055332853392,false_positive,1,checkpoints/forest/TDC__HIA_Hou/galactica-6.7b__hia_hou__synthesize__seed_1.joblib,0.8697638994668697,0.9657142857142856,1,0.6578523160898894
53,N[C@H](CO)C(=O)NNCc1ccc(O)c(O)c1O,1,5,3,0.6,2;3;4,0.49863906452268625,false_negative,4,checkpoints/forest/TDC__HIA_Hou/galactica-6.7b__hia_hou__synthesize__seed_4.joblib,0.8697638994668697,0.9628571428571427,0,0.4920758280289927
