error_type,feature_name,feature_description,sample_count,affected_fraction,mean_harmful_shap_value,mean_abs_harmful_shap_value,mean_raw_value,mean_model_input_value,example_sample_indices
false_negative,charged_fraction_ph74,1 - neutral_fraction_ph74.,21,1.0,0.020603705741418135,0.020603705741418135,0.9976089597704065,1.7914175839304916,16;71;156;205;410;647;788;791;919;1010
false_negative,net_charge_proxy_ph74,Base protonation minus acid deprotonation proxy at pH 7.4.,21,1.0,0.01978186851739173,0.01978186851739173,-0.7546376974627758,-1.5230336499931958,16;71;156;205;410;647;788;791;919;1010
false_negative,neutral_fraction_ph74,Estimated neutral fraction at pH 7.4.,21,1.0,0.01951482472898219,0.01951482472898219,0.0023910402295934433,-1.791417583930492,16;71;156;205;410;647;788;791;919;1010
false_negative,acid_deprotonated_fraction_ph74,Estimated deprotonated fraction for the dominant acidic site at pH 7.4.,19,0.9047619047619048,0.05144029314582833,0.05144029314582833,0.9974551233434783,2.4381557471139166,16;71;156;205;410;647;791;919;1010;1022
false_negative,estimated_logd_ph74,Estimated logD at pH 7.4 from logP and neutral fraction.,17,0.8095238095238095,0.30072284276897226,0.30072284276897226,-1.0517095172816924,-2.4883012519293164,16;71;156;410;647;788;791;919;1010;1022
false_negative,tpsa,Topological polar surface area.,15,0.7142857142857143,0.029714784838316428,0.029714784838316428,120.752,1.5279308955821376,156;205;410;647;788;791;919;1010;1022;1026
false_negative,kappa1,First kappa shape index.,15,0.7142857142857143,0.004541150086205478,0.004541150086205478,21.707863424428126,0.6491577469289997,16;71;205;410;788;791;1010;1022;1026;1185
false_negative,hbd,Hydrogen bond donor count.,13,0.6190476190476191,0.012832709533442836,0.012832709533442836,2.4615384615384617,1.0494091054342645,156;205;788;791;919;1010;1022;1026;1075;1174
false_negative,molar_refractivity,Wildman-Crippen molar refractivity.,13,0.6190476190476191,0.006284301312490224,0.006284301312490224,123.91676923076912,0.6547326619708986,16;71;205;410;791;1010;1026;1185;1193;1232
false_negative,logp,Wildman-Crippen logP.,12,0.5714285714285714,0.01926882078603236,0.01926882078603236,3.4142933333333354,-0.34015077177036934,205;410;647;788;919;1010;1075;1193;1232;1276
false_negative,labute_asa,Labute approximate surface area as a local surface-area proxy.,11,0.5238095238095238,0.00451411298370885,0.00451411298370885,203.46064511174418,1.068906526705417,16;205;410;791;1010;1022;1026;1185;1193;1276
false_negative,kappa2,Second kappa shape index.,9,0.42857142857142855,0.004854760318299353,0.004854760318299353,10.400281861961789,1.2161471945330913,16;71;205;791;1022;1026;1232;1276;1277
false_negative,kappa3,Third kappa shape index.,8,0.38095238095238093,0.04961710210902466,0.04961710210902466,6.556669695571173,1.887249232495852,156;205;791;1022;1026;1174;1276;1277
false_negative,heteroatom_count,Total heteroatom count.,8,0.38095238095238093,0.005532127632337985,0.005532127632337985,9.125,0.8529682823241747,16;71;647;1022;1026;1075;1174;1193
false_negative,mol_weight,Molecular weight (Descriptors.MolWt).,7,0.3333333333333333,0.03819910191852949,0.03819910191852949,613.3887142857144,2.4834632580061964,205;791;1022;1026;1174;1276;1277
false_negative,exact_mol_weight,Exact molecular weight (Descriptors.ExactMolWt).,7,0.3333333333333333,0.020636200621546117,0.020636200621546117,612.5918277405715,2.4830736560486346,205;791;1022;1026;1174;1276;1277
false_negative,base_protonated_fraction_ph74,Estimated protonated fraction for the dominant basic site at pH 7.4.,7,0.3333333333333333,0.013415516918353045,0.013415516918353045,0.43789649789216295,1.0319787567355014,156;647;788;919;1193;1344;1421
false_negative,intramolecular_hbond_pair_count,Count of donor-acceptor atom pairs 4-8 bonds apart as a proxy for intramolecular H-bond potential.,7,0.3333333333333333,0.006813988290966278,0.006813988290966278,9.0,1.8761879022865433,788;919;1010;1022;1026;1075;1174
false_negative,rotatable_bonds,Rotatable bond count.,6,0.2857142857142857,0.011708356006867099,0.011708356006867099,8.333333333333334,1.4504601322865742,71;791;1232;1276;1277;1344
false_negative,balaban_j,Balaban J topological index.,5,0.23809523809523808,0.027158625052784168,0.027158625052784168,1.2472006319440996,-1.4544009089242151,156;205;1193;1276;1277
false_negative,labute_asa_per_heavy_atom,Labute ASA divided by heavy-atom count.,5,0.23809523809523808,0.00399433755756315,0.00399433755756315,5.822165674602261,-0.5228971299916367,156;788;1010;1022;1232
false_negative,hba,Hydrogen bond acceptor count.,5,0.23809523809523808,0.003030296380308749,0.003030296380308749,4.8,-0.1876958767510286,156;919;1010;1232;1421
false_negative,num_acidic_sites,Number of predicted acidic sites from the MolGpKa helper.,4,0.19047619047619047,0.027959596015260876,0.027959596015260876,3.5,2.0150390029678014,788;791;1010;1174
false_negative,fraction_csp3,Fraction of sp3 carbons as a compactness proxy.,4,0.19047619047619047,0.02027264999833974,0.02027264999833974,0.19985994397759105,-0.25575836401934515,16;205;1174;1193
false_negative,aromatic_ring_count,Aromatic ring count.,3,0.14285714285714285,0.014432889853464968,0.014432889853464968,6.333333333333333,3.3595458334060635,205;1276;1277
false_negative,ring_count,Total ring count.,2,0.09523809523809523,0.06088554974523429,0.06088554974523429,8.0,4.202853238675118,1276;1277
false_negative,total_hbond_donors_acceptors,HBD + HBA total.,2,0.09523809523809523,0.010213486338491135,0.010213486338491135,12.5,2.702752094520638,788;1174
false_negative,aromatic_heavy_atom_fraction,Aromatic atom fraction among heavy atoms.,2,0.09523809523809523,0.008743074507238414,0.008743074507238414,0.7763157894736843,1.1179351793435957,16;205
false_negative,carboxylic_acid_count,Count of carboxylic acid or carboxylate groups.,2,0.09523809523809523,0.0021150268524702505,0.0021150268524702505,1.0,4.72535593817746,1010;1075
false_negative,heavy_atom_count,Heavy atom count.,2,0.09523809523809523,0.001966383462813139,0.001966383462813139,25.0,-0.5163644667989147,410;1185
false_negative,estimated_logd_between_neg0p5_4p5,Rule flag: -0.5 <= estimated logD(7.4) <= 4.5.,2,0.09523809523809523,0.0018941932782427524,0.0018941932782427524,0.0,-1.68391790620113,1185;1421
false_negative,num_basic_sites,Number of predicted basic sites from the MolGpKa helper.,1,0.047619047619047616,0.002583436304329803,0.002583436304329803,3.0,0.18608507461131518,156
false_negative,positive_formal_atom_count,Number of atoms with positive formal charge.,1,0.047619047619047616,0.0019045484855644227,0.0019045484855644227,1.0,3.638764017733373,1185
false_negative,tpsa_le_120,Rule flag: TPSA <= 120.,1,0.047619047619047616,0.0017294120422809386,0.0017294120422809386,0.0,-3.637306695894642,788
false_positive,mol_weight,Molecular weight (Descriptors.MolWt).,80,0.6015037593984962,0.004645963563034606,0.004645963563034606,385.25681250000014,-0.14879421697584233,0;79;82;85;134;138;153;177;194;225
false_positive,estimated_logd_ph74,Estimated logD at pH 7.4 from logP and neutral fraction.,79,0.5939849624060151,0.02172556924260531,0.02172556924260531,3.3029654279622123,-0.006581240980817006,0;29;47;56;79;82;85;134;136;138
false_positive,balaban_j,Balaban J topological index.,65,0.48872180451127817,0.005006732291853461,0.005006732291853461,1.7861400421311806,0.26880580126857073,82;85;110;134;138;194;225;227;229;237
false_positive,num_acidic_sites,Number of predicted acidic sites from the MolGpKa helper.,64,0.48120300751879697,0.0035022308625526247,0.0035022308625526247,0.765625,-0.6351378587973284,52;70;79;82;85;116;134;172;177;178
false_positive,kappa3,Third kappa shape index.,62,0.46616541353383456,0.00644867037997198,0.00644867037997198,3.754114714109716,-0.1152618119729109,0;29;52;70;79;82;85;134;138;153
false_positive,labute_asa_per_heavy_atom,Labute ASA divided by heavy-atom count.,61,0.45864661654135336,0.0029778385510023406,0.0029778385510023406,5.890485900104232,-0.1452392456254707,29;52;70;134;138;177;219;225;237;238
false_positive,tpsa,Topological polar surface area.,59,0.44360902255639095,0.01380433885601254,0.01380433885601254,64.13949152542374,-0.45059709584670204,52;56;70;79;82;85;116;136;138;172
false_positive,hbd,Hydrogen bond donor count.,59,0.44360902255639095,0.005764650771222672,0.005764650771222672,0.7796610169491526,-0.6582435544591084,52;70;79;82;85;116;136;172;177;178
false_positive,acid_deprotonated_fraction_ph74,Estimated deprotonated fraction for the dominant acidic site at pH 7.4.,55,0.41353383458646614,0.01613349031524666,0.01613349031524666,1.443249849371101e-05,-0.49213168961936615,0;47;79;110;116;136;138;172;177;178
false_positive,neutral_fraction_ph74,Estimated neutral fraction at pH 7.4.,55,0.41353383458646614,0.0038577266874851813,0.0038577266874851813,0.9021054080083052,0.47319457537282733,52;56;70;85;116;134;138;153;178;194
false_positive,exact_mol_weight,Exact molecular weight (Descriptors.ExactMolWt).,53,0.39849624060150374,0.003441376960866976,0.003441376960866976,370.28994684875477,-0.3165003582621044,0;82;134;138;194;227;229;237;238;324
false_positive,charged_fraction_ph74,1 - neutral_fraction_ph74.,51,0.38345864661654133,0.0036447988623105718,0.0036447988623105718,0.08786295059453578,-0.49844456347945737,52;70;85;116;134;138;153;178;194;219
false_positive,fraction_csp3,Fraction of sp3 carbons as a compactness proxy.,49,0.3684210526315789,0.005911352505916836,0.005911352505916836,0.289335434972143,0.3089798850209065,47;56;110;116;136;153;172;225;237;238
false_positive,logp,Wildman-Crippen logP.,48,0.3609022556390977,0.008370126419872241,0.008370126419872241,3.9796920833333354,0.08384461685791865,0;47;56;79;110;136;172;225;227;229
false_positive,aromatic_heavy_atom_fraction,Aromatic atom fraction among heavy atoms.,42,0.3157894736842105,0.002995917731301861,0.002995917731301861,0.5401885263133059,-0.4027665070533241,52;56;110;116;153;177;237;250;312;324
false_positive,net_charge_proxy_ph74,Base protonation minus acid deprotonation proxy at pH 7.4.,38,0.2857142857142857,0.005802010797300534,0.005802010797300534,0.05286803222140696,0.189100194228701,0;79;82;85;116;134;136;138;153;194
false_positive,aromatic_ring_count,Aromatic ring count.,35,0.2631578947368421,0.0013720618926423565,0.0013720618926423565,3.2285714285714286,0.1456744243729016,52;116;136;237;250;257;312;344;423;424
false_positive,base_protonated_fraction_ph74,Estimated protonated fraction for the dominant basic site at pH 7.4.,29,0.21804511278195488,0.002712985169985117,0.002712985169985117,0.001975392059614311,-0.43487762925368867,29;52;85;134;194;249;324;457;525;546
false_positive,molar_refractivity,Wildman-Crippen molar refractivity.,22,0.16541353383458646,0.002345263774965281,0.002345263774965281,122.28933636363637,0.5838823349821477,0;177;249;250;504;508;526;529;688;691
false_positive,intramolecular_hbond_pair_count,Count of donor-acceptor atom pairs 4-8 bonds apart as a proxy for intramolecular H-bond potential.,18,0.13533834586466165,0.0019684105963444355,0.0019684105963444355,0.8333333333333334,-0.8246039112221443,79;257;378;423;424;508;574;575;620;798
false_positive,heteroatom_count,Total heteroatom count.,16,0.12030075187969924,0.0014218993372851442,0.0014218993372851442,8.1875,0.4411099828578238,0;237;372;431;437;440;457;580;595;736
false_positive,hba,Hydrogen bond acceptor count.,10,0.07518796992481203,0.0027863703091552928,0.0027863703091552928,7.3,1.2281821587489392,29;177;377;528;822;943;983;1141;1340;1391
false_positive,labute_asa,Labute approximate surface area as a local surface-area proxy.,8,0.06015037593984962,0.003307570060035547,0.003307570060035547,177.07486906118376,0.31409353636834536,526;741;983;1013;1101;1182;1259;1391
false_positive,kappa2,Second kappa shape index.,8,0.06015037593984962,0.002054501368848499,0.002054501368848499,7.582520997223782,-0.0945902481527734,70;82;153;652;898;899;1041;1376
false_positive,passive_permeability_screen_pass,Composite flag combining the main PAMPA_NCATS heuristic windows and avoiding strong-acid motifs.,7,0.05263157894736842,0.0011015849227270318,0.0011015849227270318,0.0,-1.2806538218827066,312;717;863;1039;1093;1160;1230
false_positive,kappa1,First kappa shape index.,5,0.03759398496240601,0.0016413590780763039,0.0016413590780763039,20.89901797716155,0.4719194351243356,372;457;652;846;1129
false_positive,num_basic_sites,Number of predicted basic sites from the MolGpKa helper.,2,0.015037593984962405,0.0024996380982056617,0.0024996380982056617,5.0,1.5167336232138344,177;528
false_positive,rotatable_bonds,Rotatable bond count.,1,0.007518796992481203,0.0015479957292536366,0.0015479957292536366,3.0,-0.7444140064812526,227
false_positive,total_hbond_donors_acceptors,HBD + HBA total.,1,0.007518796992481203,0.0009831711704158738,0.0009831711704158738,5.0,-0.7094584370664574,863
false_positive,ring_count,Total ring count.,1,0.007518796992481203,0.0006622225112051192,0.0006622225112051192,4.0,0.1461056323432932,431
