sample_index,smiles,y_true,total_seed_count,error_count,error_rate,wrong_seed_list,mean_prob_1_across_seeds,error_type,explanation_seed,explanation_bundle_path,explanation_bundle_valid_macro_f1,explanation_bundle_valid_roc_auc,selected_wrong_prediction,selected_wrong_prob_1
0,O=C(NCCc1cnc[nH]1)c1ccc(-c2ncc3cnc(-c4cccc(F)c4)cn23)cc1,0,5,5,1.0,0;1;2;3;4,0.6824326410863244,false_positive,3,checkpoints/forest/TDC__PAMPA_NCATS/galactica-6.7b__pampa_ncats__synthesize__seed_3.joblib,0.7342931937172774,0.8131205673758864,1,0.6963217566027622
16,Cc1cccc2c(C(=O)O)cc(-c3cccs3)nc12,1,5,5,1.0,0;1;2;3;4,0.4195905683181307,false_negative,3,checkpoints/forest/TDC__PAMPA_NCATS/galactica-6.7b__pampa_ncats__synthesize__seed_3.joblib,0.7342931937172774,0.8131205673758864,0,0.4179981015167266
29,Cc1ccc(S(=O)(=O)Nc2cnccc2C(=O)Nc2nc(-c3cc4ccccc4o3)cs2)cc1,0,5,5,1.0,0;1;2;3;4,0.5869936555458749,false_positive,3,checkpoints/forest/TDC__PAMPA_NCATS/galactica-6.7b__pampa_ncats__synthesize__seed_3.joblib,0.7342931937172774,0.8131205673758864,1,0.5838745717492906
47,CCN(CCCO)CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2c1,0,5,5,1.0,0;1;2;3;4,0.5213952620276937,false_positive,3,checkpoints/forest/TDC__PAMPA_NCATS/galactica-6.7b__pampa_ncats__synthesize__seed_3.joblib,0.7342931937172774,0.8131205673758864,1,0.5209653916258916
52,Cc1sc(NC(=O)Cc2ccc3c(c2)OCO3)nc1-c1ccc2c(c1)CCN2C(=O)c1ccccc1F,0,5,5,1.0,0;1;2;3;4,0.6521105739097244,false_positive,3,checkpoints/forest/TDC__PAMPA_NCATS/galactica-6.7b__pampa_ncats__synthesize__seed_3.joblib,0.7342931937172774,0.8131205673758864,1,0.6540478431048679
56,CN1CCN(c2ccc(-c3cccc(CN4CCOCC4)c3)cc2NC(=O)c2c[nH]c(=O)cc2C(F)(F)F)CC1,0,5,5,1.0,0;1;2;3;4,0.6210646305484965,false_positive,3,checkpoints/forest/TDC__PAMPA_NCATS/galactica-6.7b__pampa_ncats__synthesize__seed_3.joblib,0.7342931937172774,0.8131205673758864,1,0.6034088289085457
70,Cc1ccc(S(=O)(=O)n2cc(C(=O)Nc3nc(-c4ccccc4)cs3)c3ccccc32)cc1,0,5,5,1.0,0;1;2;3;4,0.5982972172650178,false_positive,3,checkpoints/forest/TDC__PAMPA_NCATS/galactica-6.7b__pampa_ncats__synthesize__seed_3.joblib,0.7342931937172774,0.8131205673758864,1,0.6092983421536912
71,Cc1ccc(-c2[nH]n3c(=O)c4c(nc3c2C)CCCC4)cc1,1,5,5,1.0,0;1;2;3;4,0.42730574102072916,false_negative,3,checkpoints/forest/TDC__PAMPA_NCATS/galactica-6.7b__pampa_ncats__synthesize__seed_3.joblib,0.7342931937172774,0.8131205673758864,0,0.4382378085301336
79,O=C(c1ccco1)N1CCN(c2nc(-c3ccc(Br)cc3)cs2)CC1,0,5,5,1.0,0;1;2;3;4,0.799670819230238,false_positive,3,checkpoints/forest/TDC__PAMPA_NCATS/galactica-6.7b__pampa_ncats__synthesize__seed_3.joblib,0.7342931937172774,0.8131205673758864,1,0.8002830802671513
82,O=C(NCc1ccncc1)c1nc(-c2cccnc2)c2cnccn12,0,5,5,1.0,0;1;2;3;4,0.8053152782946917,false_positive,3,checkpoints/forest/TDC__PAMPA_NCATS/galactica-6.7b__pampa_ncats__synthesize__seed_3.joblib,0.7342931937172774,0.8131205673758864,1,0.8005797364876028
85,Fc1cc(Nc2nc(-c3ccncc3)nc3ccccc23)ccc1-c1cncnc1,0,5,5,1.0,0;1;2;3;4,0.6783052440631281,false_positive,3,checkpoints/forest/TDC__PAMPA_NCATS/galactica-6.7b__pampa_ncats__synthesize__seed_3.joblib,0.7342931937172774,0.8131205673758864,1,0.6781865392972142
110,CN(C)c1ccc2cc(C(=O)N[C@@H](CCCN=C(N)CCl)C(=O)NCc3ccccc3)ccc2c1,0,5,5,1.0,0;1;2;3;4,0.5105467937969019,false_positive,3,checkpoints/forest/TDC__PAMPA_NCATS/galactica-6.7b__pampa_ncats__synthesize__seed_3.joblib,0.7342931937172774,0.8131205673758864,1,0.502564095904996
