sample_index,smiles,y_true,total_seed_count,error_count,error_rate,wrong_seed_list,mean_prob_1_across_seeds,error_type,explanation_seed,explanation_bundle_path,explanation_bundle_valid_macro_f1,explanation_bundle_valid_roc_auc,selected_wrong_prediction,selected_wrong_prob_1
40,CCN(CC)CCNC(=O)c1cc(S(C)(=O)=O)ccc1OC,1,5,5,1.0,0;1;2;3;4,0.1606619129952233,false_negative,2,checkpoints/forest/TDC__Pgp_Broccatelli/galactica-6.7b__pgp_broccatelli__synthesize__seed_2.joblib,0.8365446142907927,0.8709028177113284,0,0.1595250961808239
44,NCc1ccc(S(N)(=O)=O)cc1,1,5,5,1.0,0;1;2;3;4,0.1944886575619762,false_negative,2,checkpoints/forest/TDC__Pgp_Broccatelli/galactica-6.7b__pgp_broccatelli__synthesize__seed_2.joblib,0.8365446142907927,0.8709028177113284,0,0.2004703658475775
46,NC(=O)OC[C@@H](O)COc1ccc(Cl)cc1,1,5,5,1.0,0;1;2;3;4,0.13453884293669846,false_negative,2,checkpoints/forest/TDC__Pgp_Broccatelli/galactica-6.7b__pgp_broccatelli__synthesize__seed_2.joblib,0.8365446142907927,0.8709028177113284,0,0.1332754815466963
53,CNC[C@@H](O)c1ccc(O)c(OC)c1,1,5,5,1.0,0;1;2;3;4,0.14464156498012423,false_negative,2,checkpoints/forest/TDC__Pgp_Broccatelli/galactica-6.7b__pgp_broccatelli__synthesize__seed_2.joblib,0.8365446142907927,0.8709028177113284,0,0.1446580859247708
71,C=C1CC(=O)c2c(OC[C@@H](O)CN3CCCCC3)cccc21,1,5,5,1.0,0;1;2;3;4,0.32020115257796944,false_negative,2,checkpoints/forest/TDC__Pgp_Broccatelli/galactica-6.7b__pgp_broccatelli__synthesize__seed_2.joblib,0.8365446142907927,0.8709028177113284,0,0.327912693130684
96,COc1ccc(C(Cl)=C(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1,0,5,5,1.0,0;1;2;3;4,0.7611477294760935,false_positive,2,checkpoints/forest/TDC__Pgp_Broccatelli/galactica-6.7b__pgp_broccatelli__synthesize__seed_2.joblib,0.8365446142907927,0.8709028177113284,1,0.7577174289856273
110,O=C1C[C@H](c2ccc(O)cc2)Oc2cc(O)cc(O)c21,1,5,5,1.0,0;1;2;3;4,0.1703328164998949,false_negative,2,checkpoints/forest/TDC__Pgp_Broccatelli/galactica-6.7b__pgp_broccatelli__synthesize__seed_2.joblib,0.8365446142907927,0.8709028177113284,0,0.1611234678604192
117,CCN(CC)[C@H](C)CN1c2ccccc2Sc2ccccc21,0,5,5,1.0,0;1;2;3;4,0.5943628688033605,false_positive,2,checkpoints/forest/TDC__Pgp_Broccatelli/galactica-6.7b__pgp_broccatelli__synthesize__seed_2.joblib,0.8365446142907927,0.8709028177113284,1,0.5994003745641475
161,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)[C@H]1c1cccc([N+](=O)[O-])c1,1,5,5,1.0,0;1;2;3;4,0.24916227882959002,false_negative,2,checkpoints/forest/TDC__Pgp_Broccatelli/galactica-6.7b__pgp_broccatelli__synthesize__seed_2.joblib,0.8365446142907927,0.8709028177113284,0,0.242316192249157
178,CO/N=C(/C(=O)N[C@H]1C(=O)N2C(C(=O)O)=C(COC(C)=O)CS[C@@H]12)c1csc(N)n1,1,5,5,1.0,0;1;2;3;4,0.20335845187685817,false_negative,2,checkpoints/forest/TDC__Pgp_Broccatelli/galactica-6.7b__pgp_broccatelli__synthesize__seed_2.joblib,0.8365446142907927,0.8709028177113284,0,0.2064893771759981
