sample_index,smiles,y_true,total_seed_count,error_count,error_rate,wrong_seed_list,mean_prob_1_across_seeds,error_type,explanation_seed,explanation_bundle_path,explanation_bundle_valid_macro_f1,explanation_bundle_valid_roc_auc,selected_wrong_prediction,selected_wrong_prob_1
53,CC(NC(=O)CCl)c1cccc(Cl)c1,1,5,5,1.0,0;1;2;3;4,0.4700279213203845,false_negative,2,checkpoints/forest/TDC__SARSCoV2_3CLPro_Diamond/galactica-6.7b__sarscov2_3clpro_diamond__synthesize__seed_2.joblib,0.6164934629567549,0.64921875,0,0.4511978711631483
64,CS(=O)(=O)NCCc1ccccc1,1,5,5,1.0,0;1;2;3;4,0.4328695299055189,false_negative,2,checkpoints/forest/TDC__SARSCoV2_3CLPro_Diamond/galactica-6.7b__sarscov2_3clpro_diamond__synthesize__seed_2.joblib,0.6164934629567549,0.64921875,0,0.4496135000123787
67,NS(=O)(=O)c1ccc(I)cc1,0,5,5,1.0,0;1;2;3;4,0.6374713289395292,false_positive,2,checkpoints/forest/TDC__SARSCoV2_3CLPro_Diamond/galactica-6.7b__sarscov2_3clpro_diamond__synthesize__seed_2.joblib,0.6164934629567549,0.64921875,1,0.6280893443453706
80,CN(Cc1cccc(F)c1)S(N)(=O)=O,0,5,5,1.0,0;1;2;3;4,0.5232080885290966,false_positive,2,checkpoints/forest/TDC__SARSCoV2_3CLPro_Diamond/galactica-6.7b__sarscov2_3clpro_diamond__synthesize__seed_2.joblib,0.6164934629567549,0.64921875,1,0.5448197412631426
84,CC(=O)N[C@@H](Cc1ccccc1)C(=O)NCC#CBr,0,5,5,1.0,0;1;2;3;4,0.7028509102388296,false_positive,2,checkpoints/forest/TDC__SARSCoV2_3CLPro_Diamond/galactica-6.7b__sarscov2_3clpro_diamond__synthesize__seed_2.joblib,0.6164934629567549,0.64921875,1,0.6975227822907937
87,CC(=O)NCCCC[C@H](NC(C)=O)C(=O)NCc1ccc(Br)cc1,0,5,5,1.0,0;1;2;3;4,0.7113387717578281,false_positive,2,checkpoints/forest/TDC__SARSCoV2_3CLPro_Diamond/galactica-6.7b__sarscov2_3clpro_diamond__synthesize__seed_2.joblib,0.6164934629567549,0.64921875,1,0.7076186262842131
93,COc1ccc(Br)cc1CNC(C)=O,0,5,5,1.0,0;1;2;3;4,0.5578596227000274,false_positive,2,checkpoints/forest/TDC__SARSCoV2_3CLPro_Diamond/galactica-6.7b__sarscov2_3clpro_diamond__synthesize__seed_2.joblib,0.6164934629567549,0.64921875,1,0.5534431809004077
119,CN(Cc1cccc(C(F)(F)F)c1)C(=O)CCl,0,5,5,1.0,0;1;2;3;4,0.7021527319166689,false_positive,2,checkpoints/forest/TDC__SARSCoV2_3CLPro_Diamond/galactica-6.7b__sarscov2_3clpro_diamond__synthesize__seed_2.joblib,0.6164934629567549,0.64921875,1,0.6947865060656975
123,CC(C)(C)c1ccc(C(=O)NNC(=O)CCl)cc1,0,5,5,1.0,0;1;2;3;4,0.5465457921928762,false_positive,2,checkpoints/forest/TDC__SARSCoV2_3CLPro_Diamond/galactica-6.7b__sarscov2_3clpro_diamond__synthesize__seed_2.joblib,0.6164934629567549,0.64921875,1,0.5394497812105633
166,COc1ccc(NC(=O)Nc2cccs2)cn1,0,5,5,1.0,0;1;2;3;4,0.5228489688783238,false_positive,2,checkpoints/forest/TDC__SARSCoV2_3CLPro_Diamond/galactica-6.7b__sarscov2_3clpro_diamond__synthesize__seed_2.joblib,0.6164934629567549,0.64921875,1,0.5255370031064992
261,COc1ccc(C23CC2CCN3c2cccnc2)cc1,0,5,5,1.0,0;1;2;3;4,0.5568711878398188,false_positive,2,checkpoints/forest/TDC__SARSCoV2_3CLPro_Diamond/galactica-6.7b__sarscov2_3clpro_diamond__synthesize__seed_2.joblib,0.6164934629567549,0.64921875,1,0.55885597291948
265,O=S1(=O)CC(O)C1,1,5,5,1.0,0;1;2;3;4,0.38787683742502366,false_negative,2,checkpoints/forest/TDC__SARSCoV2_3CLPro_Diamond/galactica-6.7b__sarscov2_3clpro_diamond__synthesize__seed_2.joblib,0.6164934629567549,0.64921875,0,0.3947420775088102
270,NC(=O)[C@H]1CCC[C@H]1c1ccsc1,1,5,5,1.0,0;1;2;3;4,0.3467884393220543,false_negative,2,checkpoints/forest/TDC__SARSCoV2_3CLPro_Diamond/galactica-6.7b__sarscov2_3clpro_diamond__synthesize__seed_2.joblib,0.6164934629567549,0.64921875,0,0.357359723433871
274,COCC(=O)Nc1nc(-c2ccccc2)cs1,0,5,5,1.0,0;1;2;3;4,0.5533449760182024,false_positive,2,checkpoints/forest/TDC__SARSCoV2_3CLPro_Diamond/galactica-6.7b__sarscov2_3clpro_diamond__synthesize__seed_2.joblib,0.6164934629567549,0.64921875,1,0.5454890535289094
284,Nc1ccc(S(=O)(=O)Nc2ccccc2)cc1,0,5,5,1.0,0;1;2;3;4,0.5303082161426831,false_positive,2,checkpoints/forest/TDC__SARSCoV2_3CLPro_Diamond/galactica-6.7b__sarscov2_3clpro_diamond__synthesize__seed_2.joblib,0.6164934629567549,0.64921875,1,0.523830032073146
295,Cc1ccccc1C(=O)NC1CCN(C(=O)CCl)CC1,0,5,5,1.0,0;1;2;3;4,0.8472119081897247,false_positive,2,checkpoints/forest/TDC__SARSCoV2_3CLPro_Diamond/galactica-6.7b__sarscov2_3clpro_diamond__synthesize__seed_2.joblib,0.6164934629567549,0.64921875,1,0.8501738127401652
344,C[C@@H]1[C@H](C(=O)N2CCCC2)CCCN1S(C)(=O)=O,0,5,5,1.0,0;1;2;3;4,0.5324833354841795,false_positive,2,checkpoints/forest/TDC__SARSCoV2_3CLPro_Diamond/galactica-6.7b__sarscov2_3clpro_diamond__synthesize__seed_2.joblib,0.6164934629567549,0.64921875,1,0.5144673842271061
347,Fc1cccc(CNCc2ccco2)c1,1,5,5,1.0,0;1;2;3;4,0.46217543116989146,false_negative,2,checkpoints/forest/TDC__SARSCoV2_3CLPro_Diamond/galactica-6.7b__sarscov2_3clpro_diamond__synthesize__seed_2.joblib,0.6164934629567549,0.64921875,0,0.478889032517667
373,CC(=O)N1CCCC(C(=O)O)(c2ccc(C)cc2)C1,0,5,5,1.0,0;1;2;3;4,0.6505500135034776,false_positive,2,checkpoints/forest/TDC__SARSCoV2_3CLPro_Diamond/galactica-6.7b__sarscov2_3clpro_diamond__synthesize__seed_2.joblib,0.6164934629567549,0.64921875,1,0.6469117451785109
380,Clc1cccc(CN2CCOCC2)c1,1,5,5,1.0,0;1;2;3;4,0.4610209990649027,false_negative,2,checkpoints/forest/TDC__SARSCoV2_3CLPro_Diamond/galactica-6.7b__sarscov2_3clpro_diamond__synthesize__seed_2.joblib,0.6164934629567549,0.64921875,0,0.4632482016262441
399,Cc1ccc(S(=O)(=O)N2CCN(C(=O)CCl)CC2)cc1,0,5,5,1.0,0;1;2;3;4,0.8829123308852502,false_positive,2,checkpoints/forest/TDC__SARSCoV2_3CLPro_Diamond/galactica-6.7b__sarscov2_3clpro_diamond__synthesize__seed_2.joblib,0.6164934629567549,0.64921875,1,0.8862350782416452
400,Cc1ccc(S(=O)(=O)N2CCN(C(=O)CCl)CC2)c(C)c1,0,5,5,1.0,0;1;2;3;4,0.8882883179654486,false_positive,2,checkpoints/forest/TDC__SARSCoV2_3CLPro_Diamond/galactica-6.7b__sarscov2_3clpro_diamond__synthesize__seed_2.joblib,0.6164934629567549,0.64921875,1,0.8918528293123625
405,NC(=O)C12CC1CCN2S(=O)(=O)c1ccccc1,0,5,5,1.0,0;1;2;3;4,0.540874700184712,false_positive,2,checkpoints/forest/TDC__SARSCoV2_3CLPro_Diamond/galactica-6.7b__sarscov2_3clpro_diamond__synthesize__seed_2.joblib,0.6164934629567549,0.64921875,1,0.5279305546776843
415,OC1CCN(Cc2ccsc2)CC1,1,5,5,1.0,0;1;2;3;4,0.4246215932731515,false_negative,2,checkpoints/forest/TDC__SARSCoV2_3CLPro_Diamond/galactica-6.7b__sarscov2_3clpro_diamond__synthesize__seed_2.joblib,0.6164934629567549,0.64921875,0,0.4188830193970809
421,Cc1cc(NC(=O)CSc2ccccc2)no1,0,5,5,1.0,0;1;2;3;4,0.5439375089557918,false_positive,2,checkpoints/forest/TDC__SARSCoV2_3CLPro_Diamond/galactica-6.7b__sarscov2_3clpro_diamond__synthesize__seed_2.joblib,0.6164934629567549,0.64921875,1,0.5344410806730773
429,COc1ccccc1C12CC1CCN2S(C)(=O)=O,0,5,5,1.0,0;1;2;3;4,0.5400240364288822,false_positive,2,checkpoints/forest/TDC__SARSCoV2_3CLPro_Diamond/galactica-6.7b__sarscov2_3clpro_diamond__synthesize__seed_2.joblib,0.6164934629567549,0.64921875,1,0.5217939029010137
438,CS(=O)(=O)Cc1nc2ccccc2[nH]1,1,5,5,1.0,0;1;2;3;4,0.44150486349524165,false_negative,2,checkpoints/forest/TDC__SARSCoV2_3CLPro_Diamond/galactica-6.7b__sarscov2_3clpro_diamond__synthesize__seed_2.joblib,0.6164934629567549,0.64921875,0,0.4463163908942168
441,O=C(CCl)N1CCC(C(=O)N2CCCCCC2)CC1,0,5,5,1.0,0;1;2;3;4,0.6423189635469464,false_positive,2,checkpoints/forest/TDC__SARSCoV2_3CLPro_Diamond/galactica-6.7b__sarscov2_3clpro_diamond__synthesize__seed_2.joblib,0.6164934629567549,0.64921875,1,0.6430887439634538
449,O=C(CCl)N1CCN(C(=O)c2ccco2)CC1,0,5,5,1.0,0;1;2;3;4,0.6404306876827264,false_positive,2,checkpoints/forest/TDC__SARSCoV2_3CLPro_Diamond/galactica-6.7b__sarscov2_3clpro_diamond__synthesize__seed_2.joblib,0.6164934629567549,0.64921875,1,0.6338554817752767
452,CC(=O)N[C@@H](CC1=C[NH2+]C=N1)C(=O)NCC#CBr,0,5,5,1.0,0;1;2;3;4,0.6755844458855691,false_positive,2,checkpoints/forest/TDC__SARSCoV2_3CLPro_Diamond/galactica-6.7b__sarscov2_3clpro_diamond__synthesize__seed_2.joblib,0.6164934629567549,0.64921875,1,0.6753050213313739
489,CC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCC#CBr,0,5,5,1.0,0;1;2;3;4,0.7423091165064142,false_positive,2,checkpoints/forest/TDC__SARSCoV2_3CLPro_Diamond/galactica-6.7b__sarscov2_3clpro_diamond__synthesize__seed_2.joblib,0.6164934629567549,0.64921875,1,0.7475812203752437
504,O=C(CCl)NNC(=O)c1cc2c(s1)CCCC2,0,5,5,1.0,0;1;2;3;4,0.6214962748263018,false_positive,2,checkpoints/forest/TDC__SARSCoV2_3CLPro_Diamond/galactica-6.7b__sarscov2_3clpro_diamond__synthesize__seed_2.joblib,0.6164934629567549,0.64921875,1,0.6123580149930888
