error_type,feature_name,feature_description,sample_count,affected_fraction,mean_harmful_shap_value,mean_abs_harmful_shap_value,mean_raw_value,mean_model_input_value,example_sample_indices
false_negative,net_charge_proxy_ph74,Base protonation minus acid deprotonation proxy at pH 7.4.,15,0.9375,0.008390281091508826,0.008390281091508826,-0.3867117492094349,-0.6776692711852359,28;180;227;240;279;330;350;357;392;413
false_negative,base_protonated_fraction_ph74,Estimated protonated fraction for the dominant basic site.,13,0.8125,0.010976235459153098,0.010976235459153098,0.06532044734680303,-0.6542809345273953,28;180;227;240;279;330;357;392;413;556
false_negative,rotatable_bonds,Rotatable bond count.,12,0.75,0.006058822013263677,0.006058822013263677,4.75,-0.06308973375081318,28;180;240;279;330;350;357;413;612;906
false_negative,heteroatom_count,Total heteroatom count.,11,0.6875,0.010359369323061371,0.010359369323061371,10.090909090909092,0.8769638709196009,240;279;330;350;357;413;509;556;906;970
false_negative,estimated_logd_in_1_3,Rule flag: 1 <= estimated logD(7.4) <= 3.,11,0.6875,0.004774372665797906,0.004774372665797906,0.0,-0.6764814252025461,180;279;350;357;392;413;509;612;906;970
false_negative,tpsa,Topological polar surface area.,10,0.625,0.007155389102358856,0.007155389102358856,126.16900000000001,0.7063975505898299,28;279;350;357;392;413;509;556;906;1015
false_negative,ring_count_4_7,Rule flag: 4 <= total ring count <= 7.,9,0.5625,0.003484338491270369,0.003484338491270369,0.0,-0.5474925669187064,28;240;330;350;357;392;612;906;970
false_negative,logp,Wildman-Crippen logP.,8,0.5,0.03502665562857167,0.03502665562857167,-0.5570499999999995,-1.1490367809977484,279;350;357;392;509;612;906;1015
false_negative,fraction_csp3,Fraction of sp3 carbons.,8,0.5,0.01435978958552832,0.01435978958552832,0.21905872526876363,-0.8808736801833188,28;180;227;240;413;612;906;970
false_negative,metabolic_lability_alert_count,Combined count of simple metabolic-lability motifs such as esters and phenols.,8,0.5,0.003106759983944217,0.003106759983944217,0.0,-0.4967279041393102,240;330;350;392;509;612;970;1015
false_negative,neutral_fraction_ph74,Estimated neutral fraction at pH 7.4.,7,0.4375,0.016350024696122605,0.016350024696122605,0.8158465214218492,0.8683426544948877,28;180;227;240;330;392;556
false_negative,charged_fraction_ph74,1 - neutral_fraction_ph74.,7,0.4375,0.014965221678673826,0.014965221678673826,0.18415347857815073,-0.8683426544948876,28;180;227;240;330;392;556
false_negative,estimated_logd_ph74,Estimated logD at pH 7.4 from logP and neutral fraction.,7,0.4375,0.01340820544821164,0.01340820544821164,-3.2587014944355475,-1.177196014248045,180;279;357;413;509;970;1015
false_negative,stereocenter_count,Count of assigned or potential tetrahedral stereocenters.,7,0.4375,0.006474516095458248,0.006474516095458248,0.0,-0.55142106018478,28;180;227;350;357;413;906
false_negative,stereocenter_count_ge_1,Rule flag: at least one stereocenter is present.,7,0.4375,0.005711765574227172,0.005711765574227172,0.0,-1.0935011114996929,28;180;227;350;357;413;906
false_negative,heterocycle_ring_count,Count of rings containing at least one heteroatom.,7,0.4375,0.005192889982569391,0.005192889982569391,2.4285714285714284,1.1228729795317924,240;279;350;413;556;612;1015
false_negative,metabolic_lability_alert_present,1 if a simple metabolic-lability motif is present.,7,0.4375,0.0031372727038845726,0.0031372727038845726,0.0,-0.5639216814729231,279;330;350;392;612;906;970
false_negative,fraction_csp3_ge_0p3,Rule flag: fractionCSP3 >= 0.3.,6,0.375,0.006875772067028171,0.006875772067028171,0.0,-1.540308092430811,28;227;240;413;906;970
false_negative,aliphatic_ring_count,Aliphatic ring count.,6,0.375,0.005335323398616132,0.005335323398616132,0.0,-0.7735824480815805,28;240;357;413;906;970
false_negative,heavy_atom_count,Heavy atom count.,5,0.3125,0.0085829508315283,0.0085829508315283,13.2,-0.9787830702070561,28;227;357;392;612
false_negative,mol_weight,Molecular weight (Descriptors.MolWt).,5,0.3125,0.008155931939936224,0.008155931939936224,389.0136000000001,0.2818056967114246,227;413;509;612;1015
