sample_index,smiles,y_true,total_seed_count,error_count,error_rate,wrong_seed_list,mean_prob_1_across_seeds,error_type,explanation_seed,explanation_bundle_path,explanation_bundle_valid_macro_f1,explanation_bundle_valid_roc_auc,selected_wrong_prediction,selected_wrong_prob_1
0,CCN(CC)CCNC(=O)c1cc(Br)c(N)cc1OC,0,5,5,1.0,0;1;2;3;4,0.5484823068230932,false_positive,3,checkpoints/forest/TDC__SARSCoV2_Vitro_Touret/galactica-6.7b__sarscov2_vitro_touret__synthesize__seed_3.joblib,0.6846590909090908,0.7852328431372549,1,0.5332093944272116
10,CC(CN(C)C)C(C)(O)Cc1ccc(Cl)cc1,0,5,5,1.0,0;1;2;3;4,0.6156907277878091,false_positive,3,checkpoints/forest/TDC__SARSCoV2_Vitro_Touret/galactica-6.7b__sarscov2_vitro_touret__synthesize__seed_3.joblib,0.6846590909090908,0.7852328431372549,1,0.6266165701701513
15,CN(C)C(=O)Oc1cc(OC(=O)N(C)C)cc(C(O)CNC(C)(C)C)c1,0,5,5,1.0,0;1;2;3;4,0.5449766662130895,false_positive,3,checkpoints/forest/TDC__SARSCoV2_Vitro_Touret/galactica-6.7b__sarscov2_vitro_touret__synthesize__seed_3.joblib,0.6846590909090908,0.7852328431372549,1,0.536422306308725
20,CCC(C)(CN(C)C)OC(=O)c1ccccc1,0,5,5,1.0,0;1;2;3;4,0.5165967441024484,false_positive,3,checkpoints/forest/TDC__SARSCoV2_Vitro_Touret/galactica-6.7b__sarscov2_vitro_touret__synthesize__seed_3.joblib,0.6846590909090908,0.7852328431372549,1,0.5209407857209637
26,CCN(CC)CCNC(=O)c1ccc(N)cc1,0,5,5,1.0,0;1;2;3;4,0.5206945998087653,false_positive,3,checkpoints/forest/TDC__SARSCoV2_Vitro_Touret/galactica-6.7b__sarscov2_vitro_touret__synthesize__seed_3.joblib,0.6846590909090908,0.7852328431372549,1,0.5134753637452465
28,C/C=C/c1ccc(OC)cc1,1,5,5,1.0,0;1;2;3;4,0.3897787942376755,false_negative,3,checkpoints/forest/TDC__SARSCoV2_Vitro_Touret/galactica-6.7b__sarscov2_vitro_touret__synthesize__seed_3.joblib,0.6846590909090908,0.7852328431372549,0,0.3774909130663422
29,C=CCc1ccccc1OCC(O)CNC(C)C,0,5,5,1.0,0;1;2;3;4,0.5855984577389196,false_positive,3,checkpoints/forest/TDC__SARSCoV2_Vitro_Touret/galactica-6.7b__sarscov2_vitro_touret__synthesize__seed_3.joblib,0.6846590909090908,0.7852328431372549,1,0.5818280773867193
31,CC(C)(C)NCC(O)c1ccccc1Cl,0,5,5,1.0,0;1;2;3;4,0.5560115521490699,false_positive,3,checkpoints/forest/TDC__SARSCoV2_Vitro_Touret/galactica-6.7b__sarscov2_vitro_touret__synthesize__seed_3.joblib,0.6846590909090908,0.7852328431372549,1,0.5555307752478698
39,CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,0,5,5,1.0,0;1;2;3;4,0.5364602718526337,false_positive,3,checkpoints/forest/TDC__SARSCoV2_Vitro_Touret/galactica-6.7b__sarscov2_vitro_touret__synthesize__seed_3.joblib,0.6846590909090908,0.7852328431372549,1,0.5191442003424737
48,CCCOc1cc(N)ccc1C(=O)OCCN(CC)CC,0,5,5,1.0,0;1;2;3;4,0.5198183350786284,false_positive,3,checkpoints/forest/TDC__SARSCoV2_Vitro_Touret/galactica-6.7b__sarscov2_vitro_touret__synthesize__seed_3.joblib,0.6846590909090908,0.7852328431372549,1,0.5193259345877723
49,CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1,0,5,5,1.0,0;1;2;3;4,0.5693416279270627,false_positive,3,checkpoints/forest/TDC__SARSCoV2_Vitro_Touret/galactica-6.7b__sarscov2_vitro_touret__synthesize__seed_3.joblib,0.6846590909090908,0.7852328431372549,1,0.5526641502170329
70,CCN(CC)CCOCCOC(=O)C(CC)(CC)c1ccccc1,0,5,5,1.0,0;1;2;3;4,0.5955628038783904,false_positive,3,checkpoints/forest/TDC__SARSCoV2_Vitro_Touret/galactica-6.7b__sarscov2_vitro_touret__synthesize__seed_3.joblib,0.6846590909090908,0.7852328431372549,1,0.599486470593274
77,CCN(CC)C(=O)Nc1ccc(OCC(O)CNC(C)(C)C)c(C(C)=O)c1,0,5,5,1.0,0;1;2;3;4,0.5489429464422321,false_positive,3,checkpoints/forest/TDC__SARSCoV2_Vitro_Touret/galactica-6.7b__sarscov2_vitro_touret__synthesize__seed_3.joblib,0.6846590909090908,0.7852328431372549,1,0.5472385447273937
87,CC(C)(C)NCC(O)c1cc(Cl)c(N)c(Cl)c1,0,5,5,1.0,0;1;2;3;4,0.6050339205541306,false_positive,3,checkpoints/forest/TDC__SARSCoV2_Vitro_Touret/galactica-6.7b__sarscov2_vitro_touret__synthesize__seed_3.joblib,0.6846590909090908,0.7852328431372549,1,0.6013037618160193
96,CC(=O)Oc1cc(C(C)C)c(OCCN(C)C)cc1C,0,5,5,1.0,0;1;2;3;4,0.5198204070202792,false_positive,3,checkpoints/forest/TDC__SARSCoV2_Vitro_Touret/galactica-6.7b__sarscov2_vitro_touret__synthesize__seed_3.joblib,0.6846590909090908,0.7852328431372549,1,0.521037720221049
99,CCCOc1ccc(C(=O)OCCN(CC)CC)cc1N,0,5,5,1.0,0;1;2;3;4,0.5198183350786284,false_positive,3,checkpoints/forest/TDC__SARSCoV2_Vitro_Touret/galactica-6.7b__sarscov2_vitro_touret__synthesize__seed_3.joblib,0.6846590909090908,0.7852328431372549,1,0.5193259345877723
105,CCN(CC)CCNC(C(=O)OCCC(C)C)c1ccccc1,0,5,5,1.0,0;1;2;3;4,0.6243952297253222,false_positive,3,checkpoints/forest/TDC__SARSCoV2_Vitro_Touret/galactica-6.7b__sarscov2_vitro_touret__synthesize__seed_3.joblib,0.6846590909090908,0.7852328431372549,1,0.6478207213862546
108,CCC(NC(C)C)C(O)c1ccc(O)c(O)c1,0,5,5,1.0,0;1;2;3;4,0.554957243586302,false_positive,3,checkpoints/forest/TDC__SARSCoV2_Vitro_Touret/galactica-6.7b__sarscov2_vitro_touret__synthesize__seed_3.joblib,0.6846590909090908,0.7852328431372549,1,0.5608204773973451
111,CCCCCCCCNC(C)C(O)c1ccc(SC(C)C)cc1,0,5,5,1.0,0;1;2;3;4,0.5540502921821187,false_positive,3,checkpoints/forest/TDC__SARSCoV2_Vitro_Touret/galactica-6.7b__sarscov2_vitro_touret__synthesize__seed_3.joblib,0.6846590909090908,0.7852328431372549,1,0.5701686815422821
121,CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,0,5,5,1.0,0;1;2;3;4,0.5641493115479945,false_positive,3,checkpoints/forest/TDC__SARSCoV2_Vitro_Touret/galactica-6.7b__sarscov2_vitro_touret__synthesize__seed_3.joblib,0.6846590909090908,0.7852328431372549,1,0.5629898216288856
142,CCCCN(CCCC)CCCOC(=O)c1ccc(N)cc1,0,5,5,1.0,0;1;2;3;4,0.6257433696743077,false_positive,3,checkpoints/forest/TDC__SARSCoV2_Vitro_Touret/galactica-6.7b__sarscov2_vitro_touret__synthesize__seed_3.joblib,0.6846590909090908,0.7852328431372549,1,0.6424470133927742
150,COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1,0,5,5,1.0,0;1;2;3;4,0.5850140429169246,false_positive,3,checkpoints/forest/TDC__SARSCoV2_Vitro_Touret/galactica-6.7b__sarscov2_vitro_touret__synthesize__seed_3.joblib,0.6846590909090908,0.7852328431372549,1,0.561276703684531
155,CCN[C@@H](C)Cc1cccc(C(F)(F)F)c1,0,5,5,1.0,0;1;2;3;4,0.5542451882346777,false_positive,3,checkpoints/forest/TDC__SARSCoV2_Vitro_Touret/galactica-6.7b__sarscov2_vitro_touret__synthesize__seed_3.joblib,0.6846590909090908,0.7852328431372549,1,0.5439061507933319
156,COC(=O)CCc1ccc(OCC(O)CNC(C)C)cc1,0,5,5,1.0,0;1;2;3;4,0.5464930933640263,false_positive,3,checkpoints/forest/TDC__SARSCoV2_Vitro_Touret/galactica-6.7b__sarscov2_vitro_touret__synthesize__seed_3.joblib,0.6846590909090908,0.7852328431372549,1,0.5426182350664949
159,CN(C)CCCN1c2ccccc2[S@@](=O)c2ccc(Cl)cc21,0,5,5,1.0,0;1;2;3;4,0.5654963512926736,false_positive,3,checkpoints/forest/TDC__SARSCoV2_Vitro_Touret/galactica-6.7b__sarscov2_vitro_touret__synthesize__seed_3.joblib,0.6846590909090908,0.7852328431372549,1,0.5695080466240157
165,CN1CCCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,0,5,5,1.0,0;1;2;3;4,0.5831886313693271,false_positive,3,checkpoints/forest/TDC__SARSCoV2_Vitro_Touret/galactica-6.7b__sarscov2_vitro_touret__synthesize__seed_3.joblib,0.6846590909090908,0.7852328431372549,1,0.5587391512223407
168,CC(C)c1c(CN(C)C(C)Cc2ccccc2)n(C)n(-c2ccccc2)c1=O,0,5,5,1.0,0;1;2;3;4,0.5717591995811542,false_positive,3,checkpoints/forest/TDC__SARSCoV2_Vitro_Touret/galactica-6.7b__sarscov2_vitro_touret__synthesize__seed_3.joblib,0.6846590909090908,0.7852328431372549,1,0.5735826475073101
169,CN1C[C@@H]2c3ccccc3Oc3ccc(Cl)cc3[C@H]2C1,0,5,5,1.0,0;1;2;3;4,0.5776338830656563,false_positive,3,checkpoints/forest/TDC__SARSCoV2_Vitro_Touret/galactica-6.7b__sarscov2_vitro_touret__synthesize__seed_3.joblib,0.6846590909090908,0.7852328431372549,1,0.5764700447658395
180,CC(=O)Oc1ccc(C(=C2CCCCC2)c2ccc(OC(C)=O)cc2)cc1,1,5,5,1.0,0;1;2;3;4,0.4175536268063012,false_negative,3,checkpoints/forest/TDC__SARSCoV2_Vitro_Touret/galactica-6.7b__sarscov2_vitro_touret__synthesize__seed_3.joblib,0.6846590909090908,0.7852328431372549,0,0.4289838051608698
203,Cc1cc(C(C)(C)C)c(O)c(C)c1CC1=NCCN1,0,5,5,1.0,0;1;2;3;4,0.5524331604790625,false_positive,3,checkpoints/forest/TDC__SARSCoV2_Vitro_Touret/galactica-6.7b__sarscov2_vitro_touret__synthesize__seed_3.joblib,0.6846590909090908,0.7852328431372549,1,0.5359429776593148
204,Cc1cc(C(C)(C)C)cc(C)c1CC1=NCCN1,0,5,5,1.0,0;1;2;3;4,0.5340049821799797,false_positive,3,checkpoints/forest/TDC__SARSCoV2_Vitro_Touret/galactica-6.7b__sarscov2_vitro_touret__synthesize__seed_3.joblib,0.6846590909090908,0.7852328431372549,1,0.511026973523546
234,CN1CCCC(n2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)CC1,0,5,5,1.0,0;1;2;3;4,0.5592874528628127,false_positive,3,checkpoints/forest/TDC__SARSCoV2_Vitro_Touret/galactica-6.7b__sarscov2_vitro_touret__synthesize__seed_3.joblib,0.6846590909090908,0.7852328431372549,1,0.5434788409157449
240,COc1ccc2nc(S(=O)Cc3ncc(C)c(OC)c3C)[nH]c2c1,1,5,5,1.0,0;1;2;3;4,0.4086343775017708,false_negative,3,checkpoints/forest/TDC__SARSCoV2_Vitro_Touret/galactica-6.7b__sarscov2_vitro_touret__synthesize__seed_3.joblib,0.6846590909090908,0.7852328431372549,0,0.4137269677725037
253,CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,0,5,5,1.0,0;1;2;3;4,0.5965465279266546,false_positive,3,checkpoints/forest/TDC__SARSCoV2_Vitro_Touret/galactica-6.7b__sarscov2_vitro_touret__synthesize__seed_3.joblib,0.6846590909090908,0.7852328431372549,1,0.5893201349730927
254,CN(C)CCC[C@@]1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,0,5,5,1.0,0;1;2;3;4,0.5965465279266546,false_positive,3,checkpoints/forest/TDC__SARSCoV2_Vitro_Touret/galactica-6.7b__sarscov2_vitro_touret__synthesize__seed_3.joblib,0.6846590909090908,0.7852328431372549,1,0.5893201349730927
257,COc1ccc(CN(CCN(C)C)c2ccccn2)cc1,0,5,5,1.0,0;1;2;3;4,0.58420463979855,false_positive,3,checkpoints/forest/TDC__SARSCoV2_Vitro_Touret/galactica-6.7b__sarscov2_vitro_touret__synthesize__seed_3.joblib,0.6846590909090908,0.7852328431372549,1,0.5933686883296149
258,CN(C)CCN(Cc1ccc(Cl)cc1)c1ccccn1,0,5,5,1.0,0;1;2;3;4,0.5891355345366774,false_positive,3,checkpoints/forest/TDC__SARSCoV2_Vitro_Touret/galactica-6.7b__sarscov2_vitro_touret__synthesize__seed_3.joblib,0.6846590909090908,0.7852328431372549,1,0.5893328330900098
