sample_index,smiles,y_true,total_seed_count,error_count,error_rate,wrong_seed_list,mean_prob_1_across_seeds,error_type,explanation_seed,explanation_bundle_path,explanation_bundle_valid_macro_f1,explanation_bundle_valid_roc_auc,selected_wrong_prediction,selected_wrong_prob_1
2,CNC(C)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,0,5,5,1.0,0;1;2;3;4,0.6707284818941966,false_positive,4,checkpoints/forest/TDC__Skin_Reaction/galactica-6.7b__skin_reaction__synthesize__seed_4.joblib,0.7333333333333334,0.7083333333333334,1,0.6734746183960955
3,CCC(N)c1ccccc1,0,5,5,1.0,0;1;2;3;4,0.6915393432299044,false_positive,4,checkpoints/forest/TDC__Skin_Reaction/galactica-6.7b__skin_reaction__synthesize__seed_4.joblib,0.7333333333333334,0.7083333333333334,1,0.6859448248114145
4,O=C(O)C(=NOCc1ccccc1)C(=O)O,0,5,5,1.0,0;1;2;3;4,0.5793690176120426,false_positive,4,checkpoints/forest/TDC__Skin_Reaction/galactica-6.7b__skin_reaction__synthesize__seed_4.joblib,0.7333333333333334,0.7083333333333334,1,0.6069863500339274
10,COc1ccc(C(C)=O)cc1,0,5,5,1.0,0;1;2;3;4,0.7591498811094697,false_positive,4,checkpoints/forest/TDC__Skin_Reaction/galactica-6.7b__skin_reaction__synthesize__seed_4.joblib,0.7333333333333334,0.7083333333333334,1,0.7625595768154234
14,O=Cc1ccccc1,0,5,5,1.0,0;1;2;3;4,0.7872025652239085,false_positive,4,checkpoints/forest/TDC__Skin_Reaction/galactica-6.7b__skin_reaction__synthesize__seed_4.joblib,0.7333333333333334,0.7083333333333334,1,0.829695167545139
18,CCOC(=O)CC(=O)c1ccccc1,0,5,5,1.0,0;1;2;3;4,0.6911693954868882,false_positive,4,checkpoints/forest/TDC__Skin_Reaction/galactica-6.7b__skin_reaction__synthesize__seed_4.joblib,0.7333333333333334,0.7083333333333334,1,0.7106936588407246
20,C=CCc1ccc(O)c(OC(C)C)c1,0,5,5,1.0,0;1;2;3;4,0.8480990511745518,false_positive,4,checkpoints/forest/TDC__Skin_Reaction/galactica-6.7b__skin_reaction__synthesize__seed_4.joblib,0.7333333333333334,0.7083333333333334,1,0.8690946067299983
21,CCC(=O)c1cccc(Cl)c1,0,5,5,1.0,0;1;2;3;4,0.6972606697809468,false_positive,4,checkpoints/forest/TDC__Skin_Reaction/galactica-6.7b__skin_reaction__synthesize__seed_4.joblib,0.7333333333333334,0.7083333333333334,1,0.7152967950378941
71,COc1ccc(NC(=O)CC(C)=O)cc1,1,5,5,1.0,0;1;2;3;4,0.32684684179223134,false_negative,4,checkpoints/forest/TDC__Skin_Reaction/galactica-6.7b__skin_reaction__synthesize__seed_4.joblib,0.7333333333333334,0.7083333333333334,0,0.3133892484498778
106,CC(CC(=O)Oc1ccc(S(=O)(=O)O)cc1)CC(C)(C)C,1,5,5,1.0,0;1;2;3;4,0.4381931715396258,false_negative,4,checkpoints/forest/TDC__Skin_Reaction/galactica-6.7b__skin_reaction__synthesize__seed_4.joblib,0.7333333333333334,0.7083333333333334,0,0.4562996662740155
108,CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1,0,5,5,1.0,0;1;2;3;4,0.7227929553665895,false_positive,4,checkpoints/forest/TDC__Skin_Reaction/galactica-6.7b__skin_reaction__synthesize__seed_4.joblib,0.7333333333333334,0.7083333333333334,1,0.7109286208675583
111,O=C(O)Cc1ccc(C(=O)O)cc1,1,5,5,1.0,0;1;2;3;4,0.3546334298335244,false_negative,4,checkpoints/forest/TDC__Skin_Reaction/galactica-6.7b__skin_reaction__synthesize__seed_4.joblib,0.7333333333333334,0.7083333333333334,0,0.3999313899222336
115,CC=C(C)C=O,0,5,5,1.0,0;1;2;3;4,0.6062441828526446,false_positive,4,checkpoints/forest/TDC__Skin_Reaction/galactica-6.7b__skin_reaction__synthesize__seed_4.joblib,0.7333333333333334,0.7083333333333334,1,0.64553018258929
116,C=C(C=CCC(C)C)CC,0,5,5,1.0,0;1;2;3;4,0.5996826545457373,false_positive,4,checkpoints/forest/TDC__Skin_Reaction/galactica-6.7b__skin_reaction__synthesize__seed_4.joblib,0.7333333333333334,0.7083333333333334,1,0.629319127200906
117,CS(=O)(=O)CCN,0,5,5,1.0,0;1;2;3;4,0.5595852586656854,false_positive,4,checkpoints/forest/TDC__Skin_Reaction/galactica-6.7b__skin_reaction__synthesize__seed_4.joblib,0.7333333333333334,0.7083333333333334,1,0.5737898227099532
119,OCCCCCCCl,0,5,5,1.0,0;1;2;3;4,0.5741146652937748,false_positive,4,checkpoints/forest/TDC__Skin_Reaction/galactica-6.7b__skin_reaction__synthesize__seed_4.joblib,0.7333333333333334,0.7083333333333334,1,0.6088360204569876
122,CCCCCCCCCBr,0,5,5,1.0,0;1;2;3;4,0.6071670323566213,false_positive,4,checkpoints/forest/TDC__Skin_Reaction/galactica-6.7b__skin_reaction__synthesize__seed_4.joblib,0.7333333333333334,0.7083333333333334,1,0.6154373742442627
124,CCCCCCCCCCl,0,5,5,1.0,0;1;2;3;4,0.5517791123616819,false_positive,4,checkpoints/forest/TDC__Skin_Reaction/galactica-6.7b__skin_reaction__synthesize__seed_4.joblib,0.7333333333333334,0.7083333333333334,1,0.5830424997328647
125,COC(=O)OC,0,5,5,1.0,0;1;2;3;4,0.5630090465744497,false_positive,4,checkpoints/forest/TDC__Skin_Reaction/galactica-6.7b__skin_reaction__synthesize__seed_4.joblib,0.7333333333333334,0.7083333333333334,1,0.5460102404305003
127,OCC(O)CO,0,5,5,1.0,0;1;2;3;4,0.6561644027221186,false_positive,4,checkpoints/forest/TDC__Skin_Reaction/galactica-6.7b__skin_reaction__synthesize__seed_4.joblib,0.7333333333333334,0.7083333333333334,1,0.6549603158878199
130,CCCCCCCCCCCCCCCCCCI,0,5,5,1.0,0;1;2;3;4,0.7860876915634868,false_positive,4,checkpoints/forest/TDC__Skin_Reaction/galactica-6.7b__skin_reaction__synthesize__seed_4.joblib,0.7333333333333334,0.7083333333333334,1,0.8018284383041414
134,CCCCCCCC(=O)O,0,5,5,1.0,0;1;2;3;4,0.5958039336359929,false_positive,4,checkpoints/forest/TDC__Skin_Reaction/galactica-6.7b__skin_reaction__synthesize__seed_4.joblib,0.7333333333333334,0.7083333333333334,1,0.5906168551541093
135,C=CC(=O)OCC(CO)(COC(=O)C=C)COC(=O)C=C,0,5,5,1.0,0;1;2;3;4,0.6185063304189423,false_positive,4,checkpoints/forest/TDC__Skin_Reaction/galactica-6.7b__skin_reaction__synthesize__seed_4.joblib,0.7333333333333334,0.7083333333333334,1,0.6443690284721698
138,O=C(O)C(O)C(O)C(=O)O,0,5,5,1.0,0;1;2;3;4,0.5816721529553045,false_positive,4,checkpoints/forest/TDC__Skin_Reaction/galactica-6.7b__skin_reaction__synthesize__seed_4.joblib,0.7333333333333334,0.7083333333333334,1,0.5892813334192718
139,C=CC(=O)OCC(CC)(COC(=O)C=C)COC(=O)C=C,0,5,5,1.0,0;1;2;3;4,0.6080953324273048,false_positive,4,checkpoints/forest/TDC__Skin_Reaction/galactica-6.7b__skin_reaction__synthesize__seed_4.joblib,0.7333333333333334,0.7083333333333334,1,0.6225395435586385
209,CS(C)=O,1,5,5,1.0,0;1;2;3;4,0.40052340257217817,false_negative,4,checkpoints/forest/TDC__Skin_Reaction/galactica-6.7b__skin_reaction__synthesize__seed_4.joblib,0.7333333333333334,0.7083333333333334,0,0.400757051077671
216,O=CC=O,1,5,5,1.0,0;1;2;3;4,0.48920684757893584,false_negative,4,checkpoints/forest/TDC__Skin_Reaction/galactica-6.7b__skin_reaction__synthesize__seed_4.joblib,0.7333333333333334,0.7083333333333334,0,0.4747638297155843
235,CCCCCCCCC(=O)O,0,5,5,1.0,0;1;2;3;4,0.6490478601652538,false_positive,4,checkpoints/forest/TDC__Skin_Reaction/galactica-6.7b__skin_reaction__synthesize__seed_4.joblib,0.7333333333333334,0.7083333333333334,1,0.6532424095515759
253,Cc1c2ccc(N)cc2nn1C,0,5,5,1.0,0;1;2;3;4,0.6052779775150064,false_positive,4,checkpoints/forest/TDC__Skin_Reaction/galactica-6.7b__skin_reaction__synthesize__seed_4.joblib,0.7333333333333334,0.7083333333333334,1,0.6134477380370312
255,O=Cc1ccc(-c2ccc(C(F)(F)F)cc2)cc1,0,5,5,1.0,0;1;2;3;4,0.6777426307249435,false_positive,4,checkpoints/forest/TDC__Skin_Reaction/galactica-6.7b__skin_reaction__synthesize__seed_4.joblib,0.7333333333333334,0.7083333333333334,1,0.6714000145991806
258,NCC1OC(OC2C(N)CC(N)C(OC3OC(CO)C(O)C(N)C3O)C2O)C(O)C(O)C1O,0,5,5,1.0,0;1;2;3;4,0.5945729774595149,false_positive,4,checkpoints/forest/TDC__Skin_Reaction/galactica-6.7b__skin_reaction__synthesize__seed_4.joblib,0.7333333333333334,0.7083333333333334,1,0.5952464979662837
264,O=C1C([PH](c2ccccc2)(c2ccccc2)c2ccccc2)CCN1c1ccccc1,0,5,5,1.0,0;1;2;3;4,0.6455302924210693,false_positive,4,checkpoints/forest/TDC__Skin_Reaction/galactica-6.7b__skin_reaction__synthesize__seed_4.joblib,0.7333333333333334,0.7083333333333334,1,0.6860379331063138
16,Clc1ccccc1,0,5,4,0.8,0;1;2;4,0.5313290431103382,false_positive,4,checkpoints/forest/TDC__Skin_Reaction/galactica-6.7b__skin_reaction__synthesize__seed_4.joblib,0.7333333333333334,0.7083333333333334,1,0.5585197193360798
129,CCCCCCI,0,5,4,0.8,1;2;3;4,0.5235740343981681,false_positive,4,checkpoints/forest/TDC__Skin_Reaction/galactica-6.7b__skin_reaction__synthesize__seed_4.joblib,0.7333333333333334,0.7083333333333334,1,0.555906741803755
268,O=S(=O)(Cl)c1ccc2c(c1)OCO2,1,5,4,0.8,0;1;2;4,0.4398820266377375,false_negative,4,checkpoints/forest/TDC__Skin_Reaction/galactica-6.7b__skin_reaction__synthesize__seed_4.joblib,0.7333333333333334,0.7083333333333334,0,0.401718070440577
