error_type,feature_name,feature_description,sample_count,affected_fraction,mean_harmful_shap_value,mean_abs_harmful_shap_value,mean_raw_value,mean_model_input_value,example_sample_indices
false_negative,logp,Wildman-Crippen logP.,26,0.7878787878787878,0.02321454188002461,0.02321454188002461,0.39520384615384807,-1.0360023399302731,21;24;93;95;99;112;121;141;152;225
false_negative,aromatic_ring_count,Aromatic ring count.,25,0.7575757575757576,0.02220091101886011,0.02220091101886011,0.64,-1.2219231675852913,21;24;89;93;94;95;96;99;103;112
false_negative,tpsa,Topological polar surface area.,24,0.7272727272727273,0.01114633583100559,0.01114633583100559,118.80083333333333,1.3020394323996207,24;89;95;99;103;112;121;123;152;283
false_negative,herg_risk_alert_count,Count of matched discrete hERG-risk alert families.,23,0.696969696969697,0.005454285472143032,0.005454285472143032,0.9565217391304348,-1.131717026197922,89;93;94;95;99;103;112;121;123;225
false_negative,estimated_logd_ph74,Estimated logD at pH 7.4 from logP and neutral fraction.,16,0.48484848484848486,0.03376632559969458,0.03376632559969458,-2.285257626649688,-1.1976757366612032,24;95;99;112;121;123;141;152;284;287
false_negative,hbd,Hydrogen bond donor count.,16,0.48484848484848486,0.006370568334545688,0.006370568334545688,4.4375,2.0263137315869635,24;95;99;112;121;123;284;307;365;366
false_negative,carbon_atom_count,Carbon atom count.,15,0.45454545454545453,0.04630769348123049,0.04630769348123049,12.266666666666667,-1.1399197247324324,21;24;93;94;95;96;112;225;283;284
false_negative,base_protonated_fraction_ph74,Estimated protonated fraction for the dominant basic site at pH 7.4.,14,0.42424242424242425,0.038178860854688634,0.038178860854688634,0.004475230874812183,-1.5447191083046448,89;103;123;225;283;324;345;346;365;366
false_negative,positive_charge_present_ph74,Rule flag: positive charge is expected at pH 7.4 from formal charge or dominant basic-site protonation.,14,0.42424242424242425,0.016443856728806182,0.016443856728806182,0.0,-1.840746999063996,89;103;123;225;283;307;324;345;346;365
false_negative,ring_count,Total ring count.,14,0.42424242424242425,0.015587123759206931,0.015587123759206931,1.2142857142857142,-1.3452865195022283,21;24;89;93;94;95;96;99;103;112
false_negative,total_hbond_donors_acceptors,HBD + HBA total.,14,0.42424242424242425,0.004869378879697683,0.004869378879697683,12.428571428571429,2.010643920707874,24;99;112;121;123;284;287;307;366;374
false_negative,rotatable_bonds_gt_5,Rule flag: rotatable bond count > 5.,14,0.42424242424242425,0.003916650105856742,0.003916650105856742,0.0,-0.8829085791038153,21;93;94;96;225;283;284;287;307;345
false_negative,aromatic_atom_fraction,Fraction of heavy atoms that are aromatic.,13,0.3939393939393939,0.030722225118659668,0.030722225118659668,0.07263736263736263,-1.756862290312938,89;103;121;152;225;324;374;379;380;381
false_negative,rotatable_bonds,Rotatable bond count.,13,0.3939393939393939,0.010837664605290525,0.010837664605290525,1.9230769230769231,-1.1255952547095693,21;93;152;225;283;287;307;324;345;346
false_negative,molar_refractivity,Wildman-Crippen molar refractivity.,10,0.30303030303030304,0.055998908003911475,0.055998908003911475,62.99116000000002,-1.2056981137536638,21;93;94;95;96;225;307;345;346;365
false_negative,fraction_csp3,Fraction of sp3 carbons.,10,0.30303030303030304,0.008629559686688498,0.008629559686688498,0.7417561565815295,1.5896275715500225,121;225;307;365;374;379;380;381;382;391
false_negative,property_window_violation_count,Count of violated core hERG-mitigation property windows.,10,0.30303030303030304,0.0040513788296255284,0.0040513788296255284,1.4,-1.2697581405447118,24;89;99;103;112;123;141;283;365;443
false_negative,aliphatic_ring_count,Aliphatic ring count.,9,0.2727272727272727,0.005554058891270152,0.005554058891270152,5.111111111111111,2.7776413590095883,121;324;374;379;380;381;382;391;438
false_negative,heavy_atom_count,Heavy atom count.,8,0.24242424242424243,0.06494958560502848,0.06494958560502848,14.875,-1.3370292397660102,21;93;94;95;96;225;345;346
false_negative,mol_weight,Molecular weight (Descriptors.MolWt).,8,0.24242424242424243,0.04215284845427913,0.04215284845427913,216.55762499999997,-1.2727231947214543,21;93;95;96;225;307;345;346
