sample_index,smiles,y_true,total_seed_count,error_count,error_rate,wrong_seed_list,mean_prob_1_across_seeds,error_type,explanation_seed,explanation_bundle_path,explanation_bundle_valid_macro_f1,explanation_bundle_valid_roc_auc,selected_wrong_prediction,selected_wrong_prob_1
0,CC(C)Nc1cccnc1N1CCN(C(=O)C2=CC3=C[C@H](NS(C)(=O)=O)C=CC3=N2)CC1,0,5,5,1.0,0;1;2;3;4,0.5341146699351892,false_positive,1,checkpoints/forest/TDC__hERG/galactica-6.7b__herg__synthesize__seed_1.joblib,0.8207282913165266,0.8871794871794871,1,0.5176187086185515
2,O=C(c1ccc(OCC[NH+]2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,0,5,5,1.0,0;1;2;3;4,0.731889907750326,false_positive,1,checkpoints/forest/TDC__hERG/galactica-6.7b__herg__synthesize__seed_1.joblib,0.8207282913165266,0.8871794871794871,1,0.7313430464059631
21,CCOC(=O)C1(c2ccccc2)CCN(C)CC1,1,5,5,1.0,0;1;2;3;4,0.2884203103125446,false_negative,1,checkpoints/forest/TDC__hERG/galactica-6.7b__herg__synthesize__seed_1.joblib,0.8207282913165266,0.8871794871794871,0,0.308310914128976
24,NC(N)=[NH+]c1nc(CSCC/C(N)=[NH+]/S(N)(=O)=O)cs1,1,5,5,1.0,0;1;2;3;4,0.3387327823124082,false_negative,1,checkpoints/forest/TDC__hERG/galactica-6.7b__herg__synthesize__seed_1.joblib,0.8207282913165266,0.8871794871794871,0,0.3510279086373555
44,CC[C@](COC(=O)c1cc(OC)c(OC)c(OC)c1)(c1ccccc1)[NH+](C)C,0,5,5,1.0,0;1;2;3;4,0.6291613033296046,false_positive,1,checkpoints/forest/TDC__hERG/galactica-6.7b__herg__synthesize__seed_1.joblib,0.8207282913165266,0.8871794871794871,1,0.6214767324317677
50,C[NH+]1CC[NH+]([C@@H]2c3ccccc3Nc3ccc(Cl)cc3N2O)CC1,0,5,5,1.0,0;1;2;3;4,0.5851610811286305,false_positive,1,checkpoints/forest/TDC__hERG/galactica-6.7b__herg__synthesize__seed_1.joblib,0.8207282913165266,0.8871794871794871,1,0.6055410656228379
56,CC(C)CN1C[C@@H]2CN(C(C)C)C[C@H](C1)C21CCCCC1,0,5,5,1.0,0;1;2;3;4,0.5969263078211152,false_positive,1,checkpoints/forest/TDC__hERG/galactica-6.7b__herg__synthesize__seed_1.joblib,0.8207282913165266,0.8871794871794871,1,0.5997448935271559
57,C/C=C1\N(C)[C@H](C)CC1(c1ccccc1)c1ccccc1,0,5,5,1.0,0;1;2;3;4,0.5861713358084897,false_positive,1,checkpoints/forest/TDC__hERG/galactica-6.7b__herg__synthesize__seed_1.joblib,0.8207282913165266,0.8871794871794871,1,0.5487984904436657
61,O[C@](CC[NH+]1CCCCC1)(c1ccccc1)[C@@H]1C[C@@H]2C=C[C@H]1C2,0,5,5,1.0,0;1;2;3;4,0.6260546353809437,false_positive,1,checkpoints/forest/TDC__hERG/galactica-6.7b__herg__synthesize__seed_1.joblib,0.8207282913165266,0.8871794871794871,1,0.6076141738941812
68,CN(C)CC(c1ccc(O)cc1)C1(O)CCCCC1,0,5,5,1.0,0;1;2;3;4,0.534079138340134,false_positive,1,checkpoints/forest/TDC__hERG/galactica-6.7b__herg__synthesize__seed_1.joblib,0.8207282913165266,0.8871794871794871,1,0.5563394402318643
71,CC(=O)Oc1ccc2c3c1O[C@H]1[C@@H](OC(C)=O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341,0,5,5,1.0,0;1;2;3;4,0.5540886885990766,false_positive,1,checkpoints/forest/TDC__hERG/galactica-6.7b__herg__synthesize__seed_1.joblib,0.8207282913165266,0.8871794871794871,1,0.5394690528993771
89,CCCCCCCCC(=O)NCc1ccc(C[C@@H](O)CO)c(OC)c1,1,5,5,1.0,0;1;2;3;4,0.47684553063438173,false_negative,1,checkpoints/forest/TDC__hERG/galactica-6.7b__herg__synthesize__seed_1.joblib,0.8207282913165266,0.8871794871794871,0,0.4412208696499729
93,Cc1cccc(C)c1OC[C@@H](C)[NH3+],1,5,5,1.0,0;1;2;3;4,0.19412883989599378,false_negative,1,checkpoints/forest/TDC__hERG/galactica-6.7b__herg__synthesize__seed_1.joblib,0.8207282913165266,0.8871794871794871,0,0.20179546485511
94,C[C@@H](CN(C)C)[C@](C)(O)Cc1ccc(Cl)cc1,1,5,5,1.0,0;1;2;3;4,0.36598032682891096,false_negative,1,checkpoints/forest/TDC__hERG/galactica-6.7b__herg__synthesize__seed_1.joblib,0.8207282913165266,0.8871794871794871,0,0.3664577026106251
95,CC[NH+](CC)CCNC(=O)c1ccc(N)cc1,1,5,5,1.0,0;1;2;3;4,0.1703499998760763,false_negative,1,checkpoints/forest/TDC__hERG/galactica-6.7b__herg__synthesize__seed_1.joblib,0.8207282913165266,0.8871794871794871,0,0.1860881473969547
96,CC[C@@H](c1cccc(O)c1)[C@@H](C)CN(C)C,1,5,5,1.0,0;1;2;3;4,0.25492742572369687,false_negative,1,checkpoints/forest/TDC__hERG/galactica-6.7b__herg__synthesize__seed_1.joblib,0.8207282913165266,0.8871794871794871,0,0.2563920536652512
99,CCC(=O)NC(=O)c1ccc(N)cc1CC[NH+](CC)CC,1,5,5,1.0,0;1;2;3;4,0.433654218640389,false_negative,1,checkpoints/forest/TDC__hERG/galactica-6.7b__herg__synthesize__seed_1.joblib,0.8207282913165266,0.8871794871794871,0,0.4419089239033027
103,CCCCCCCCC(=O)NCc1ccc(CC(O)CO)c(OC)c1,1,5,5,1.0,0;1;2;3;4,0.47684553063438173,false_negative,1,checkpoints/forest/TDC__hERG/galactica-6.7b__herg__synthesize__seed_1.joblib,0.8207282913165266,0.8871794871794871,0,0.4412208696499729
112,CC[NH+](CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,1,5,5,1.0,0;1;2;3;4,0.394817749902319,false_negative,1,checkpoints/forest/TDC__hERG/galactica-6.7b__herg__synthesize__seed_1.joblib,0.8207282913165266,0.8871794871794871,0,0.4046617817060481
133,CC(C)(O)c1ccc([C@H](O)CCC[NH+]2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,0,5,5,1.0,0;1;2;3;4,0.6882044770346616,false_positive,1,checkpoints/forest/TDC__hERG/galactica-6.7b__herg__synthesize__seed_1.joblib,0.8207282913165266,0.8871794871794871,1,0.6989645141353411
141,O=C([O-])COCC[NH+]1CC[NH+]([C@H](c2ccccc2)c2ccc(Cl)cc2)CC1,1,5,5,1.0,0;1;2;3;4,0.4762610472487264,false_negative,1,checkpoints/forest/TDC__hERG/galactica-6.7b__herg__synthesize__seed_1.joblib,0.8207282913165266,0.8871794871794871,0,0.4778718815525348
152,C[C@@H]1CN(c2c(F)c(N)c3c(c2F)[N+](C2CC2)=C[C@@H](C(=O)[O-])C3=O)C[C@H](C)[NH2+]1,1,5,5,1.0,0;1;2;3;4,0.43061622721378645,false_negative,1,checkpoints/forest/TDC__hERG/galactica-6.7b__herg__synthesize__seed_1.joblib,0.8207282913165266,0.8871794871794871,0,0.4204611659795787
196,O=C(NC1CCN(Cc2ccc3c(c2)OCO3)CC1)c1cc(=O)c2ccc(O)cc2o1,0,5,5,1.0,0;1;2;3;4,0.6559139305862989,false_positive,1,checkpoints/forest/TDC__hERG/galactica-6.7b__herg__synthesize__seed_1.joblib,0.8207282913165266,0.8871794871794871,1,0.655079790904114
