smiles,SARSCoV2_3CLPro_Diamond
C[C@@H]1CCNC[C@@H]1CO,0
N#CCC(=O)N1CCC(C(N)=O)CC1,0
C[C@H]1CNCC[C@H]1CO,0
C[C@H]1CC[C@@H](CO)CN1,0
COC(=O)[C@@H]1CCCN(S(C)(=O)=O)[C@@H]1C,0
C[C@@H]1CNC[C@@H](CO)C1,0
CC(=O)N1CCC(C#N)CC1,0
COC(=O)[C@@H]1[C@H](C)CCCN1S(C)(=O)=O,0
C[C@@H]1NCCC[C@@H]1CO,0
COC(=O)C1CCN(C(=O)NC(C)(C)C)CC1,0
O=C(O)CCN1CCCCC1,0
COC(=O)[C@@H]1[C@H](C)CCCN1C(C)=O,0
C[C@H]1[C@@H](CO)CCCN1C,0
COC(=O)[C@@H]1CCCN[C@@H]1C,0
C[C@H]1CNC[C@H](CO)C1,0
CS(=O)(=O)N1CCCC(C(=O)O)C1,0
CC(=O)N1CCCC(C(N)=O)C1,0
CC1CCN(C(=O)CC(F)(F)F)CC1,0
CC1CCN(CCN)CC1,0
C[C@H]1NCCC[C@H]1C(N)=O,0
CNC(=O)[C@@H]1CCCN(S(C)(=O)=O)[C@@H]1C,0
CC1(CO)CCCCN1,0
CS(=O)(=O)NC1CCNCC1,0
CC(C)N(C)C(=O)C1CCN(C(=O)CCl)CC1,1
CC(N)C(=O)N1CCCCC1C,0
CC1(CO)CCCNC1,0
CC1CCCN(C(=O)CO)C1,0
COC[C@@H]1CCCN[C@@H]1C,0
CC1(CO)CCNCC1,0
C[C@H]1NCCC[C@H]1C#N,0
COC(=O)[C@@H]1CCCN(C(C)=O)[C@@H]1C,0
CCOC(=O)CN1CCCCC1,0
CC(C)C(=O)NCC1CCCNC1,0
C[C@@H]1[C@H](C#N)CCCN1S(C)(=O)=O,0
C[C@H]1CCC[C@@H](CO)N1S(C)(=O)=O,0
COC(=O)C1CCN(CC(N)=O)CC1,0
CC1CCCCN1CCN,0
CC(=O)N1CCC[C@@H](CO)[C@H]1C,0
C[C@@H]1[C@H](C(N)=O)CCCN1S(C)(=O)=O,0
N[C@@H]1CCCN(C(=O)CCC(F)(F)F)C1,0
CS(=O)(=O)N1CCC(O)CC1,0
C[C@@H]1[C@H](C(=O)O)CCCN1S(C)(=O)=O,0
C[C@H]1CCCN(S(C)(=O)=O)[C@@H]1CO,0
C[C@H]1CN(C)CC[C@H]1CO,0
CCS(=O)(=O)N1CCC(C(=O)O)CC1,0
CC(=O)N1CCC[C@H](C)[C@H]1CO,0
CC(=O)N1CCC[C@@H](CO)[C@@H]1C,0
