smiles,SARSCoV2_Vitro_Touret
CCN(CC)CCNC(=O)c1cc(Br)c(N)cc1OC,0
C=CCOc1ccccc1OCC(O)CNC(C)C,1
O=C(O)c1ccccc1OP(=O)(O)O,0
CS(=O)(=O)c1ccc([C@@H](O)[C@@H](CF)NC(=O)C(Cl)Cl)cc1,0
NC(=O)Nc1ccc([As](=O)(O)O)cc1,0
CC(C)(C)NC[C@H](O)c1ccc(O)c(CO)c1,1
Cc1ccccc1OCC(O)CO,0
C/C=C/C(=O)N(CC)c1ccccc1C,0
CCCNC(C)(C)COC(=O)c1ccccc1,1
CC(C)(N)Cc1ccccc1,1
CC(CN(C)C)C(C)(O)Cc1ccc(Cl)cc1,0
CCCCOc1cc(C(=O)OCCN(CC)CC)ccc1N,1
NNCCc1ccccc1,0
NCC(O)c1ccc(O)cc1,0
Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,0
CN(C)C(=O)Oc1cc(OC(=O)N(C)C)cc(C(O)CNC(C)(C)C)c1,0
NC(CO)C(=O)NNCc1ccc(O)c(O)c1O,0
CCC(C)C(C(=O)OCC[N+](C)(CC)CC)c1ccccc1,0
CC(=O)Nc1ccc(OCC(O)CNC(C)C)cc1,0
CCCCOc1ccc(CC(=O)NO)cc1,0
CCC(C)(CN(C)C)OC(=O)c1ccccc1,0
COC[C@@H](NC(C)=O)C(=O)NCc1ccccc1,0
COc1cc(C)c(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)c(C)c1C,0
CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1,0
NCCc1ccc(O)c(O)c1,1
CC(=O)Nc1ccc(C(=O)O)cc1,0
CCN(CC)CCNC(=O)c1ccc(N)cc1,0
CCCCOC(=O)c1ccc(N)cc1,0
C/C=C/c1ccc(OC)cc1,1
C=CCc1ccccc1OCC(O)CNC(C)C,0
CNCC(O)c1ccc(OC(=O)C(C)(C)C)c(OC(=O)C(C)(C)C)c1,1
CC(C)(C)NCC(O)c1ccccc1Cl,0
CC(=O)Nc1ccccc1,0
NS(=O)(=O)c1cc(Cl)c(Cl)c(S(N)(=O)=O)c1,0
COc1ccccc1O,0
CC(=O)Oc1ccccc1C(=O)O,0
Nc1ccc(C(=O)NCC(=O)O)cc1,0
CC(=O)Oc1cc(C(F)(F)F)ccc1C(=O)O,0
CC(=O)Nc1ccc(CC(=O)O)cc1,0
CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,0
N[C@H](Cc1ccccc1)C(=O)O,0
CC(COc1ccccc1)NN,0
