task,split,num_rows,source_file,output_file
AMES,train,5081,/data1/tianang/Projects/Intern-S1/DataPrepare/TDC_prepended/KNN_3_per_label/train/AMES.jsonl,/data1/tianang/Projects/LLM4SD/scaffold_datasets/TDC/AMES/AMES_train.csv
AMES,valid,721,/data1/tianang/Projects/Intern-S1/DataPrepare/TDC_prepended/KNN_3_per_label/valid/AMES.jsonl,/data1/tianang/Projects/LLM4SD/scaffold_datasets/TDC/AMES/AMES_valid.csv
BBB_Martins,train,1369,/data1/tianang/Projects/Intern-S1/DataPrepare/TDC_prepended/KNN_3_per_label/train/BBB_Martins.jsonl,/data1/tianang/Projects/LLM4SD/scaffold_datasets/TDC/BBB_Martins/BBB_Martins_train.csv
BBB_Martins,valid,195,/data1/tianang/Projects/Intern-S1/DataPrepare/TDC_prepended/KNN_3_per_label/valid/BBB_Martins.jsonl,/data1/tianang/Projects/LLM4SD/scaffold_datasets/TDC/BBB_Martins/BBB_Martins_valid.csv
Bioavailability_Ma,train,448,/data1/tianang/Projects/Intern-S1/DataPrepare/TDC_prepended/KNN_3_per_label/train/Bioavailability_Ma.jsonl,/data1/tianang/Projects/LLM4SD/scaffold_datasets/TDC/Bioavailability_Ma/Bioavailability_Ma_train.csv
Bioavailability_Ma,valid,64,/data1/tianang/Projects/Intern-S1/DataPrepare/TDC_prepended/KNN_3_per_label/valid/Bioavailability_Ma.jsonl,/data1/tianang/Projects/LLM4SD/scaffold_datasets/TDC/Bioavailability_Ma/Bioavailability_Ma_valid.csv
CYP2C9_Substrate_CarbonMangels,train,465,/data1/tianang/Projects/Intern-S1/DataPrepare/TDC_prepended/KNN_3_per_label/train/CYP2C9_Substrate_CarbonMangels.jsonl,/data1/tianang/Projects/LLM4SD/scaffold_datasets/TDC/CYP2C9_Substrate_CarbonMangels/CYP2C9_Substrate_CarbonMangels_train.csv
CYP2C9_Substrate_CarbonMangels,valid,66,/data1/tianang/Projects/Intern-S1/DataPrepare/TDC_prepended/KNN_3_per_label/valid/CYP2C9_Substrate_CarbonMangels.jsonl,/data1/tianang/Projects/LLM4SD/scaffold_datasets/TDC/CYP2C9_Substrate_CarbonMangels/CYP2C9_Substrate_CarbonMangels_valid.csv
CYP2D6_Substrate_CarbonMangels,train,464,/data1/tianang/Projects/Intern-S1/DataPrepare/TDC_prepended/KNN_3_per_label/train/CYP2D6_Substrate_CarbonMangels.jsonl,/data1/tianang/Projects/LLM4SD/scaffold_datasets/TDC/CYP2D6_Substrate_CarbonMangels/CYP2D6_Substrate_CarbonMangels_train.csv
CYP2D6_Substrate_CarbonMangels,valid,66,/data1/tianang/Projects/Intern-S1/DataPrepare/TDC_prepended/KNN_3_per_label/valid/CYP2D6_Substrate_CarbonMangels.jsonl,/data1/tianang/Projects/LLM4SD/scaffold_datasets/TDC/CYP2D6_Substrate_CarbonMangels/CYP2D6_Substrate_CarbonMangels_valid.csv
CYP3A4_Substrate_CarbonMangels,train,466,/data1/tianang/Projects/Intern-S1/DataPrepare/TDC_prepended/KNN_3_per_label/train/CYP3A4_Substrate_CarbonMangels.jsonl,/data1/tianang/Projects/LLM4SD/scaffold_datasets/TDC/CYP3A4_Substrate_CarbonMangels/CYP3A4_Substrate_CarbonMangels_train.csv
CYP3A4_Substrate_CarbonMangels,valid,67,/data1/tianang/Projects/Intern-S1/DataPrepare/TDC_prepended/KNN_3_per_label/valid/CYP3A4_Substrate_CarbonMangels.jsonl,/data1/tianang/Projects/LLM4SD/scaffold_datasets/TDC/CYP3A4_Substrate_CarbonMangels/CYP3A4_Substrate_CarbonMangels_valid.csv
Carcinogens_Lagunin,train,194,/data1/tianang/Projects/Intern-S1/DataPrepare/TDC_prepended/KNN_3_per_label/train/Carcinogens_Lagunin.jsonl,/data1/tianang/Projects/LLM4SD/scaffold_datasets/TDC/Carcinogens_Lagunin/Carcinogens_Lagunin_train.csv
Carcinogens_Lagunin,valid,28,/data1/tianang/Projects/Intern-S1/DataPrepare/TDC_prepended/KNN_3_per_label/valid/Carcinogens_Lagunin.jsonl,/data1/tianang/Projects/LLM4SD/scaffold_datasets/TDC/Carcinogens_Lagunin/Carcinogens_Lagunin_valid.csv
ClinTox,train,1007,/data1/tianang/Projects/Intern-S1/DataPrepare/TDC_prepended/KNN_3_per_label/train/ClinTox.jsonl,/data1/tianang/Projects/LLM4SD/scaffold_datasets/TDC/ClinTox/ClinTox_train.csv
ClinTox,valid,139,/data1/tianang/Projects/Intern-S1/DataPrepare/TDC_prepended/KNN_3_per_label/valid/ClinTox.jsonl,/data1/tianang/Projects/LLM4SD/scaffold_datasets/TDC/ClinTox/ClinTox_valid.csv
DILI,train,332,/data1/tianang/Projects/Intern-S1/DataPrepare/TDC_prepended/KNN_3_per_label/train/DILI.jsonl,/data1/tianang/Projects/LLM4SD/scaffold_datasets/TDC/DILI/DILI_train.csv
DILI,valid,47,/data1/tianang/Projects/Intern-S1/DataPrepare/TDC_prepended/KNN_3_per_label/valid/DILI.jsonl,/data1/tianang/Projects/LLM4SD/scaffold_datasets/TDC/DILI/DILI_valid.csv
HIA_Hou,train,404,/data1/tianang/Projects/Intern-S1/DataPrepare/TDC_prepended/KNN_3_per_label/train/HIA_Hou.jsonl,/data1/tianang/Projects/LLM4SD/scaffold_datasets/TDC/HIA_Hou/HIA_Hou_train.csv
HIA_Hou,valid,57,/data1/tianang/Projects/Intern-S1/DataPrepare/TDC_prepended/KNN_3_per_label/valid/HIA_Hou.jsonl,/data1/tianang/Projects/LLM4SD/scaffold_datasets/TDC/HIA_Hou/HIA_Hou_valid.csv
PAMPA_NCATS,train,1423,/data1/tianang/Projects/Intern-S1/DataPrepare/TDC_prepended/KNN_3_per_label/train/PAMPA_NCATS.jsonl,/data1/tianang/Projects/LLM4SD/scaffold_datasets/TDC/PAMPA_NCATS/PAMPA_NCATS_train.csv
PAMPA_NCATS,valid,203,/data1/tianang/Projects/Intern-S1/DataPrepare/TDC_prepended/KNN_3_per_label/valid/PAMPA_NCATS.jsonl,/data1/tianang/Projects/LLM4SD/scaffold_datasets/TDC/PAMPA_NCATS/PAMPA_NCATS_valid.csv
Pgp_Broccatelli,train,846,/data1/tianang/Projects/Intern-S1/DataPrepare/TDC_prepended/KNN_3_per_label/train/Pgp_Broccatelli.jsonl,/data1/tianang/Projects/LLM4SD/scaffold_datasets/TDC/Pgp_Broccatelli/Pgp_Broccatelli_train.csv
Pgp_Broccatelli,valid,121,/data1/tianang/Projects/Intern-S1/DataPrepare/TDC_prepended/KNN_3_per_label/valid/Pgp_Broccatelli.jsonl,/data1/tianang/Projects/LLM4SD/scaffold_datasets/TDC/Pgp_Broccatelli/Pgp_Broccatelli_valid.csv
SARSCoV2_3CLPro_Diamond,train,615,/data1/tianang/Projects/Intern-S1/DataPrepare/TDC_prepended/KNN_3_per_label/train/SARSCoV2_3CLPro_Diamond.jsonl,/data1/tianang/Projects/LLM4SD/scaffold_datasets/TDC/SARSCoV2_3CLPro_Diamond/SARSCoV2_3CLPro_Diamond_train.csv
SARSCoV2_3CLPro_Diamond,valid,88,/data1/tianang/Projects/Intern-S1/DataPrepare/TDC_prepended/KNN_3_per_label/valid/SARSCoV2_3CLPro_Diamond.jsonl,/data1/tianang/Projects/LLM4SD/scaffold_datasets/TDC/SARSCoV2_3CLPro_Diamond/SARSCoV2_3CLPro_Diamond_valid.csv
SARSCoV2_Vitro_Touret,train,1032,/data1/tianang/Projects/Intern-S1/DataPrepare/TDC_prepended/KNN_3_per_label/train/SARSCoV2_Vitro_Touret.jsonl,/data1/tianang/Projects/LLM4SD/scaffold_datasets/TDC/SARSCoV2_Vitro_Touret/SARSCoV2_Vitro_Touret_train.csv
SARSCoV2_Vitro_Touret,valid,148,/data1/tianang/Projects/Intern-S1/DataPrepare/TDC_prepended/KNN_3_per_label/valid/SARSCoV2_Vitro_Touret.jsonl,/data1/tianang/Projects/LLM4SD/scaffold_datasets/TDC/SARSCoV2_Vitro_Touret/SARSCoV2_Vitro_Touret_valid.csv
Skin_Reaction,train,282,/data1/tianang/Projects/Intern-S1/DataPrepare/TDC_prepended/KNN_3_per_label/train/Skin_Reaction.jsonl,/data1/tianang/Projects/LLM4SD/scaffold_datasets/TDC/Skin_Reaction/Skin_Reaction_train.csv
Skin_Reaction,valid,40,/data1/tianang/Projects/Intern-S1/DataPrepare/TDC_prepended/KNN_3_per_label/valid/Skin_Reaction.jsonl,/data1/tianang/Projects/LLM4SD/scaffold_datasets/TDC/Skin_Reaction/Skin_Reaction_valid.csv
hERG,train,452,/data1/tianang/Projects/Intern-S1/DataPrepare/TDC_prepended/KNN_3_per_label/train/hERG.jsonl,/data1/tianang/Projects/LLM4SD/scaffold_datasets/TDC/hERG/hERG_train.csv
hERG,valid,64,/data1/tianang/Projects/Intern-S1/DataPrepare/TDC_prepended/KNN_3_per_label/valid/hERG.jsonl,/data1/tianang/Projects/LLM4SD/scaffold_datasets/TDC/hERG/hERG_valid.csv
