smiles,mol_weight,exact_mol_weight,heavy_atom_count,total_atom_count,logp,molar_refractivity,tpsa,hbd,hba,total_hbond_donors_acceptors,heteroatom_count,rotatable_bonds,ring_count,aromatic_ring_count,aliphatic_ring_count,fraction_csp3,stereocenter_count,formal_charge,positive_formal_atom_count,negative_formal_atom_count,abs_formal_charge,labute_asa,labute_asa_per_heavy_atom,aromatic_heavy_atom_fraction,fused_aromatic_ring_count,intramolecular_hbond_pair_count,intramolecular_hbond_potential_present,most_basic_pka,most_acidic_pka,num_basic_sites,num_acidic_sites,neutral_fraction_ph74,charged_fraction_ph74,base_protonated_fraction_ph74,acid_deprotonated_fraction_ph74,net_charge_proxy_ph74,estimated_logd_ph74,has_amphoteric_sites,ionizable_center_present,moderate_basic_pka_8_12,moderate_acidic_pka_2_6,any_moderate_pka_2_12,pka_features_available,mw_le_500,logp_le_5,hbd_le_5,hba_le_10,lipinski_pass,lipinski_violation_count,rotatable_bonds_le_10,tpsa_le_140,veber_pass,logp_le_5p88,tpsa_le_131p6,egan_pass,ghose_mw_in_160_480,ghose_logp_in_neg0p4_5p6,ghose_atom_count_in_20_70,ghose_mr_in_40_130,ghose_pass,oprea_hbd_lt_2,oprea_hba_in_2_10,oprea_rotatable_bonds_in_2_8,oprea_ring_count_in_1_4,oprea_pass,mw_le_300,logp_le_3,hbd_le_3,hba_le_3,rule_of_3_pass,muegge_mw_in_200_600,muegge_logp_in_neg2_5,tpsa_le_150,rotatable_bonds_le_15,ring_count_le_7,muegge_pass,pfizer_3_75_risk,pfizer_3_75_safe,aromatic_ring_count_le_3,fraction_csp3_ge_0p4,fraction_csp3_distance_to_0p45,stereocenter_count_ge_1,crystal_packing_risk_proxy,oral_bioavailability_rule_pass_count,oral_bioavailability_screen_pass
CC[N+](C)(C)c1cccc(O)c1,166.24399999999997,166.12264055209,12.0,28.0,1.9790000000000003,52.28980000000004,20.23,1.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,0.4,0.0,1.0,1.0,0.0,1.0,73.6552104860781,6.137934207173175,0.5,0.0,0.0,0.0,,7.74141263961792,0.0,1.0,0.6870001188824078,0.31299988111759225,0.0,0.3129998811175922,-0.3129998811175922,1.8159568122123444,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.04999999999999999,0.0,0.0,6.0,1.0
C[C@H](N)[C@H](O)c1ccccc1,151.20899999999997,151.099714036,11.0,24.0,1.0672000000000001,45.05120000000002,46.25,2.0,2.0,4.0,2.0,2.0,1.0,1.0,0.0,0.3333333333333333,2.0,0.0,0.0,0.0,0.0,66.66035391189551,6.060032173808683,0.5454545454545454,0.0,0.0,0.0,8.835041046142578,12.032652854919434,1.0,1.0,0.035423002084323266,0.9645769979156767,0.9645761725764063,2.32989863178303e-05,0.9645528735900885,-0.3835146353140275,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.1166666666666667,1.0,0.0,5.0,1.0
Cc1cccc(C)c1NC(=O)C(C)N,192.262,192.126263132,14.0,30.0,1.58914,58.195100000000025,55.120000000000005,2.0,2.0,4.0,3.0,2.0,1.0,1.0,0.0,0.36363636363636365,1.0,0.0,0.0,0.0,0.0,84.30738867214451,6.021956333724608,0.42857142857142855,0.0,0.0,0.0,8.058409690856934,13.76284408569336,2.0,1.0,0.18004467121878037,0.8199553287812196,0.8199552507018701,4.3366635124918147e-07,0.8199548170355189,0.8445202720859424,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.08636363636363636,1.0,0.0,6.0,1.0
CC(C)(C)NCC(O)c1ccccc1Cl,227.735,227.107691876,15.0,33.0,2.7615000000000007,64.16750000000003,32.26,2.0,2.0,4.0,3.0,3.0,1.0,1.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,96.26841796856233,6.417894531237489,0.4,0.0,0.0,0.0,9.41470718383789,13.556816101074219,1.0,1.0,0.009574461143978363,0.9904255388560217,0.9904255321833733,6.969210724430472e-07,0.9904248352623009,0.7426143409924038,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.04999999999999999,1.0,0.0,7.0,1.0
CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,299.8020000000001,299.14005462399996,20.0,42.0,2.0023999999999997,82.53760000000004,67.59,2.0,4.0,6.0,6.0,7.0,1.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,124.57886014192627,6.228943007096314,0.3,0.0,5.0,1.0,9.043728828430176,13.398154258728027,2.0,3.0,0.022208387825780718,0.9777916121742193,0.9777915898712455,1.0042580117603026e-06,0.9777905856132337,0.3489170329392888,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.04999999999999999,0.0,0.0,6.0,1.0
CC[N+](C)(C)Cc1ccccc1Br,243.16799999999998,242.05388806409,13.0,30.0,3.0454000000000017,60.495400000000046,0.0,0.0,0.0,0.0,2.0,3.0,1.0,1.0,0.0,0.45454545454545453,0.0,1.0,1.0,0.0,1.0,89.09346645392004,6.853343573378465,0.46153846153846156,0.0,0.0,0.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0454000000000017,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.004545454545454519,0.0,0.0,5.0,0.0
CCOc1ccc(NC(C)=O)cc1,179.219,179.094628656,13.0,26.0,2.0437,51.914700000000025,38.33,1.0,2.0,3.0,3.0,3.0,1.0,1.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,77.71610109024209,5.978161622326315,0.46153846153846156,0.0,1.0,1.0,4.714859962463379,13.8550386428833,1.0,1.0,0.9979391899785871,0.0020608100214128955,0.0020604600235155216,3.507205429509669e-07,0.0020601093029725707,2.0428040780996297,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.15000000000000002,0.0,0.0,7.0,0.0
C[C@](N)(Cc1ccc(O)c(O)c1)C(=O)O,211.21699999999998,211.084457896,15.0,28.0,0.4423000000000001,53.703800000000015,103.78000000000002,4.0,4.0,8.0,5.0,3.0,1.0,1.0,0.0,0.3,1.0,0.0,0.0,0.0,0.0,86.77528563072794,5.785019042048529,0.4,0.0,6.0,1.0,9.169151306152344,2.3145110607147217,1.0,3.0,1.3741323032129728e-07,0.9999998625867697,0.983269032508543,0.9999917868927549,-0.01672275438421189,-6.419671450836037,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.15000000000000002,1.0,0.0,6.0,1.0
O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1,304.217,303.07928420800005,19.0,38.0,3.377900000000002,80.66880000000005,40.54,1.0,2.0,3.0,5.0,9.0,1.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,123.67306201087634,6.5091085268882285,0.3157894736842105,0.0,0.0,0.0,4.762399196624756,4.760135173797607,1.0,1.0,0.002281086841839538,0.9977189131581604,0.0022982640538034326,0.9977136585417723,-0.9954153944879689,0.7360418193467031,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.04999999999999999,0.0,0.0,5.0,0.0
CCNC(C)Cc1cccc(C(F)(F)F)c1,231.26099999999997,231.123484172,16.0,32.0,3.2459000000000024,58.286700000000025,12.03,1.0,1.0,2.0,4.0,4.0,1.0,1.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,93.66752419826337,5.85422026239146,0.375,0.0,0.0,0.0,9.45047378540039,,1.0,0.0,0.00882423145341027,0.9911757685465897,0.9911757685465897,0.0,0.9911757685465897,1.1915768908215991,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.04999999999999999,1.0,0.0,5.0,0.0
