smiles,mol_weight,exact_mol_weight,heavy_atom_count,carbon_atom_count,heteroatom_count,oxygen_nitrogen_count,logp,molar_refractivity,labute_asa,tpsa,hbd,hba,total_hbond_donors_acceptors,rotatable_bonds,ring_count,aromatic_ring_count,aliphatic_ring_count,heterocycle_ring_count,aromatic_heterocycle_ring_count,fused_ring_count,fused_aromatic_ring_count,bridgehead_atom_count,spiro_atom_count,fraction_csp3,aromatic_atom_fraction,ring_to_rotatable_ratio,planarity_proxy_score,formal_charge,positive_formal_atom_count,negative_formal_atom_count,basic_center_count,primary_amine_count,secondary_amine_count,tertiary_amine_count,quaternary_ammonium_count,basic_ring_count,aromatic_basic_heterocycle_count,most_basic_pka,most_acidic_pka,num_basic_sites,num_acidic_sites,neutral_fraction_ph74,charged_fraction_ph74,base_protonated_fraction_ph74,acid_deprotonated_fraction_ph74,net_charge_proxy_ph74,estimated_logd_ph74,benzylic_ch_site_count,allylic_ch_site_count,alpha_heteroatom_ch_site_count,aromatic_alkoxy_count,aromatic_methoxy_count,oxidation_site_proxy_count,oxidation_site_min_heavy_degree,oxidation_site_mean_heavy_degree,basic_to_oxidation_min_graph_distance,basic_to_aromatic_min_graph_distance,carboxylic_acid_count,sulfonic_acid_count,acidic_group_family_count,basic_center_present,most_basic_pka_ge_8,most_basic_pka_ge_9,positive_charge_present_ph74,logp_ge_2,logp_ge_3,estimated_logd_ge_1p5,tpsa_lt_50,hbd_le_5,hba_le_5,rotatable_bonds_le_10,aromatic_ring_count_ge_1,aromatic_ring_count_in_1_3,aromatic_planar_scaffold_present,basic_ring_present,oxidation_site_present,aromatic_alkoxy_present,mw_in_200_500,low_3d_complexity_proxy,acidic_group_absent,high_polarity_or_acidic_penalty,cation_aromatic_pharmacophore_present,cyp2d6_primary_rule_pass_count,cyp2d6_substrate_heuristic_pass,pka_features_available
CCCC(=O)Nc1ccc(OC[C@@H](O)CNC(C)C)c(C(C)=O)c1,336.4320000000001,336.204907376,24.0,18.0,6.0,6.0,2.3655,94.62470000000005,143.14125604126278,87.66,3.0,5.0,8.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.25,0.1,-0.3055555555555556,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,9.069978713989258,13.641867637634277,2.0,2.0,0.020933093017682758,0.9790669069823172,0.9790668949882697,5.729703035562201e-07,0.9790663220179662,0.6863334032678503,0.0,2.0,4.0,1.0,0.0,6.0,1.0,2.1666666666666665,1.0,5.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,11.0,0.0,1.0
CC(C)(Oc1ccc(Cl)cc1)C(=O)O,214.648,214.039671892,14.0,10.0,4.0,3.0,2.582,53.79480000000002,87.26373888571175,46.53,1.0,2.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.42857142857142855,0.3333333333333333,0.12857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.565429925918579,0.0,1.0,0.00014634111717282128,0.9998536588828272,0.0,0.9998536588828272,-0.9998536588828272,-1.2526336338718504,0.0,0.0,0.0,1.0,0.0,0.0,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,8.0,0.0,1.0
CC(=O)Oc1ccccc1C(=O)O,180.15899999999996,180.042258736,13.0,9.0,4.0,4.0,1.3101,44.71030000000002,74.75705264447721,63.60000000000001,1.0,3.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.46153846153846156,0.5,0.35042735042735046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.388737440109253,0.0,1.0,9.743054334399037e-05,0.999902569456656,0.0,0.999902569456656,-0.999902569456656,-2.7012048754996663,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,6.0,0.0,1.0
CC(=O)Nc1ccc(O)cc1,151.165,151.063328528,11.0,8.0,3.0,3.0,1.3505999999999998,42.41050000000002,64.66690538413799,49.33,2.0,2.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.5454545454545454,1.0,0.4204545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.599997043609619,10.095858573913574,1.0,2.0,0.9964104760225967,0.0035895239774033083,0.00158237452604812,0.0020103305472019663,-0.0004279560211538462,1.3490382849572917,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,9.0,0.0,1.0
CC(=O)Nc1ccccc1,135.16599999999997,135.068413908,10.0,8.0,2.0,2.0,1.6449999999999998,40.74570000000002,59.87267163194198,29.1,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.6,1.0,0.475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.359423637390137,13.639018058776855,1.0,1.0,0.9990894512960735,0.0009105487039264837,0.0009099724865977386,5.767421482308532e-07,0.0009093957444495077,1.64460437357647,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,10.0,0.0,1.0
CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1,242.702,242.07097202,16.0,12.0,4.0,3.0,3.060500000000001,62.79200000000004,100.3129345918158,35.53,0.0,3.0,3.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4166666666666667,0.375,0.25,-0.041666666666666685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.060500000000001,0.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,10.0,0.0,1.0
CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,276.21399999999994,276.07217687200006,19.0,11.0,8.0,5.0,3.2081000000000017,61.56610000000001,106.11707990641031,72.24,1.0,3.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36363636363636365,0.3157894736842105,0.3333333333333333,-0.04784688995215314,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4954118728637695,13.209916114807129,1.0,1.0,0.9998738970516986,0.00012610294830139868,0.00012455402784340168,1.5491134063082159e-06,0.00012300491443709347,3.208045230732047,0.0,1.0,0.0,0.0,0.0,1.0,3.0,3.0,,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,10.0,0.0,1.0
COCCCC/C(=N/OCCN)c1ccc(C(F)(F)F)cc1,318.339,318.155512572,22.0,15.0,7.0,4.0,3.201500000000001,78.71440000000003,127.62883049920974,56.84,1.0,4.0,5.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5333333333333333,0.2727272727272727,0.1111111111111111,-0.2606060606060606,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.03242301940918,,2.0,0.0,0.022780800028607495,0.9772191999713925,0.9772191999713925,0.0,0.9772191999713925,1.5590689718022834,0.0,1.0,4.0,0.0,0.0,5.0,1.0,1.8,1.0,6.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,12.0,0.0,1.0
CC(C)(C)NC[C@@H](O)c1ccc(O)c(CO)c1,239.315,239.152143532,17.0,13.0,4.0,4.0,1.3059999999999998,66.74510000000004,101.9185613604693,72.72,4.0,4.0,8.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5384615384615384,0.35294117647058826,0.25,-0.18552036199095018,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,9.4834623336792,9.846593856811523,1.0,3.0,0.008154896490699374,0.9918451035093007,0.991815941019753,0.0035633283701891625,0.9882526126495639,-0.7825815470459474,2.0,0.0,3.0,0.0,0.0,3.0,2.0,2.3333333333333335,1.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,10.0,0.0,1.0
Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,250.33799999999997,250.156894564,18.0,15.0,3.0,3.0,3.573240000000002,72.06180000000005,108.7851832308131,46.53,1.0,2.0,3.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5333333333333333,0.3333333333333333,0.16666666666666666,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,4.832699298858643,0.0,1.0,0.002701000609338422,0.9972989993906616,0.0,0.9972989993906616,-0.9972989993906616,1.0047646821631226,2.0,0.0,1.0,1.0,0.0,3.0,1.0,1.3333333333333333,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,8.0,0.0,1.0
