smiles,mol_weight,exact_mol_weight,heavy_atom_count,carbon_atom_count,heteroatom_count,oxygen_nitrogen_count,logp,molar_refractivity,tpsa,hbd,hba,total_hbond_donors_acceptors,rotatable_bonds,ring_count,aromatic_ring_count,aliphatic_ring_count,fused_aromatic_ring_count,max_fused_aromatic_system_size,aromatic_n_heterocycle_ring_count,aromatic_linker_count,halogen_atom_count,fluorine_atom_count,chlorine_atom_count,bromine_atom_count,iodine_atom_count,aromatic_halogen_count,fraction_csp3,formal_charge,positive_formal_atom_count,negative_formal_atom_count,most_basic_pka,most_acidic_pka,num_basic_sites,num_acidic_sites,neutral_fraction_ph74,charged_fraction_ph74,base_protonated_fraction_ph74,acid_deprotonated_fraction_ph74,estimated_logd_ph74,pka_features_available,pah_system_count,pah_present,planar_aromatic_proxy,epoxide_ring_count,epoxide_present,aziridine_ring_count,aziridine_present,alkyl_halide_count,alkyl_sulfate_or_sulfonate_count,alkylating_group_present,michael_acceptor_count,michael_acceptor_present,aromatic_amine_count,aromatic_amine_present,nitro_group_count,nitroso_group_count,aromatic_nitro_or_nitroso_present,azo_linkage_count,azo_linkage_present,quinone_ring_count,quinone_present,aldehyde_count,aldehyde_present,n_mustard_count,s_mustard_count,mustard_present,polyhalogenated_aromatic_ring_count,polyhalogenated_aromatic_present,catechol_ring_count,hydroquinone_ring_count,redox_cycling_alert_count,redox_cycling_present,metabolic_stability_proxy,cyp_bioactivation_proxy,dna_binding_propensity_flag,electrophilic_alert_family_count,genotoxic_alert_count,genotoxic_alert_present,high_logp_flag,very_large_molecular_weight_flag,low_tpsa_flag,low_hbond_balance_flag,high_aromatic_ring_burden_flag
O=C(O)C=Cc1ccc(O)c(O)c1,180.159,180.042258736,13.0,9.0,4.0,4.0,1.1956,46.441400000000016,77.76,3.0,3.0,6.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4,4.8565850257873535,0.0,3.0,0.002853278025409356,0.9971467219745906,0.0,0.9971467219745906,-1.3490559083225284,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
CC(C)NC[C@@H](O)c1ccc(O)c(O)c1,211.261,211.120843404,15.0,11.0,4.0,4.0,1.1291999999999998,57.870100000000036,72.72,4.0,4.0,8.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45454545454545453,0.0,0.0,0.0,9.046379089355469,9.653182983398438,1.0,3.0,0.021953726488821594,0.9780462735111785,0.97792372013899,0.00555135978344209,-0.5292917507672392,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Nc1ccccc1S(N)(=O)=O,172.20899999999997,172.030648496,11.0,6.0,5.0,4.0,-0.08379999999999999,42.2276,86.18,2.0,3.0,5.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.346782684326172,10.16811466217041,2.0,4.0,0.9974148863776194,0.0025851136223805637,0.0008838908653193045,0.001702727782594496,-0.08492415424136748,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
C[C@](N)(Cc1ccc(O)c(O)c1)C(=O)O,211.21699999999998,211.084457896,15.0,10.0,5.0,5.0,0.4423000000000001,53.703800000000015,103.78000000000002,4.0,4.0,8.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,9.169151306152344,2.3145110607147217,1.0,3.0,1.3741323032129728e-07,0.9999998625867697,0.983269032508543,0.9999917868927549,-6.419671450836037,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
COc1ccc(C[C@@](C)(N)C(=O)O)cc1OC,239.27099999999996,239.115758024,17.0,12.0,5.0,5.0,1.0482999999999998,63.47820000000003,81.78,2.0,4.0,6.0,5.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4166666666666667,0.0,0.0,0.0,9.062957763671875,2.330629348754883,1.0,1.0,1.8127257748266038e-07,0.9999998187274225,0.9787329886432728,0.9999914763492415,-5.693367890050839,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(=O)[N]([Na])S(=O)(=O)c1ccc(N)cc1,236.228,236.023157428,15.0,8.0,7.0,5.0,-0.11050000000000021,56.314200000000014,80.47,1.0,4.0,5.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,3.6510391235351562,13.313739776611328,1.0,2.0,0.9998205583333757,0.0001794416666243137,0.00017822216527300642,1.2197187321824762e-06,-0.11057793751846692,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
Nc1c(F)c(N)c(F)c(F)c1F,180.10399999999998,180.031061008,12.0,6.0,6.0,2.0,1.4074,35.0988,52.04,2.0,2.0,4.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.896913051605225,12.788601875305176,2.0,4.0,0.9968658738501502,0.0031341261498497586,0.0031300520201225845,4.086922005639101e-06,1.4060367288579894,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0
Cc1cc(C)cc(S(=O)(=O)O)c1,186.232,186.03506518,12.0,8.0,4.0,3.0,1.5501400000000003,45.730600000000024,54.370000000000005,1.0,2.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,7.4,0.6941369771957397,0.0,1.0,1.9685066743324597e-07,0.9999998031493326,0.0,0.9999998031493326,-5.155723108371419,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
CN(C)c1ccc(/N=N/S(=O)(=O)O)cc1,229.261,229.052112212,15.0,8.0,7.0,6.0,1.6391,56.833600000000025,82.33,1.0,4.0,5.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,5.013340473175049,0.7313367128372192,1.0,1.0,2.1357842434681868e-07,0.9999997864215756,0.004088473920613816,0.9999997855447811,-5.0313426217764,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CNCCc1ccc(OC(=O)C(C)C)c(OC(=O)C(C)C)c1,307.39,307.17835828,22.0,17.0,5.0,5.0,2.571300000000001,85.01870000000005,64.63,1.0,5.0,6.0,7.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5294117647058824,0.0,0.0,0.0,9.918716430664062,7.4,1.0,0.0,0.003019744000142932,0.9969802559998571,0.9969802559998571,0.0,0.05127012705059775,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
