smiles,mol_weight,exact_mol_weight,heavy_atom_count,heteroatom_count,oxygen_nitrogen_count,logp,tpsa,hbd,hba,total_hbond_donors_acceptors,rotatable_bonds,ring_count,aromatic_ring_count,chiral_center_count,unspecified_chiral_center_count,most_basic_pka,most_acidic_pka,num_basic_sites,num_acidic_sites,neutral_fraction_ph74,charged_fraction_ph74,base_protonated_fraction_ph74,acid_deprotonated_fraction_ph74,estimated_logd_ph74,pka_features_available,nitroso_group_count,nitroso_present,aromatic_amine_count,aromatic_amine_present,michael_acceptor_count,michael_acceptor_present,catechol_ring_count,hydroquinone_ring_count,quinone_ring_count,quinone_or_catechol_alert_count,quinone_or_catechol_present,epoxide_ring_count,epoxide_present,alkyl_halide_count,alkyl_halide_present,aryl_halide_count,aryl_chloride_count,aryl_halide_present,hydroxamic_acid_count,metal_chelator_alert_count,metal_chelator_present,pains_filter_available,pains_alert_count,pains_alert_present,electrophilic_alert_count,electrophilic_alert_present,structural_alert_family_count,mw_le_500,logp_le_5,logp_lt_3,tpsa_gt_75,tpsa_le_140,hbd_le_5,hba_le_10,rotatable_bonds_le_10,aromatic_ring_count_le_3,most_basic_pka_lt_7,most_basic_pka_ge_7,property_alert_count,property_window_pass,basic_aryl_halide_risk_flag
CC(C)C[C@H](NC(=O)CNC(=O)c1cc(Cl)ccc1Cl)B(O)O,361.034,360.081492848,23.0,9.0,6.0,1.2660999999999993,98.66000000000001,4.0,4.0,8.0,7.0,1.0,1.0,1.0,0.0,,11.012565612792969,0.0,2.0,0.9997560344967399,0.0002439655032601129,0.0,0.00024396550326011515,1.2659940342016334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,0.0,1.0,
CCCCCCC[NH+](CC)CCCC(O)c1ccc(NS(C)(=O)=O)cc1,385.59400000000005,385.25194046408996,26.0,6.0,5.0,2.746900000000001,70.84,3.0,3.0,6.0,14.0,1.0,1.0,2.0,2.0,10.087730407714844,8.612823486328125,2.0,2.0,0.0019300002991134168,0.9980699997008866,0.9979517680129104,0.057723777736803795,0.032457376315182085,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0
CC[C@@H](c1cccc(O)c1)[C@@H](C)C[NH+](C)C,222.35199999999998,222.18524080809,16.0,2.0,2.0,1.6664,24.67,2.0,1.0,3.0,5.0,1.0,1.0,2.0,0.0,9.360219955444336,9.869429588317871,1.0,1.0,0.010803771278597997,0.989196228721402,0.9891595726605291,0.0033814221270979604,-0.30002461862511187,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
CC[N+](C)(C)c1cccc(O)c1,166.24399999999997,166.12264055209,12.0,2.0,2.0,1.9790000000000003,20.23,1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,,7.74141263961792,0.0,1.0,0.6870001188824078,0.31299988111759225,0.0,0.3129998811175922,1.8159568122123444,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,,,1.0,0.0,
CC[N+](C)(C)Cc1ccccc1Br,243.16799999999998,242.05388806409,13.0,2.0,1.0,3.0454000000000017,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,,,0.0,0.0,1.0,0.0,0.0,0.0,3.0454000000000017,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,,,1.0,0.0,
CC[N+](CC)(CC)CCOc1cccc(OCC[N+](CC)(CC)CC)c1OCC[N+](CC)(CC)CC,510.8280000000005,510.46182204027,36.0,6.0,6.0,5.452500000000005,27.69,0.0,3.0,3.0,21.0,1.0,1.0,0.0,0.0,,,0.0,0.0,1.0,0.0,0.0,0.0,5.452500000000005,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,,,4.0,0.0,
CC[NH+](CC)C(C)C(=O)c1ccccc1,206.309,206.15394068009,15.0,2.0,2.0,1.1824999999999994,21.51,1.0,1.0,2.0,5.0,1.0,1.0,1.0,1.0,7.829687118530273,,1.0,0.0,0.27103235295140404,0.728967647048596,0.728967647048596,0.0,0.6155211354117589,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
CC[NH+](CC)CC(=O)Nc1c(C)cccc1C,235.351,235.18048977608998,17.0,3.0,3.0,1.16664,33.54,2.0,1.0,3.0,5.0,1.0,1.0,0.0,0.0,7.599278450012207,13.872204780578613,2.0,1.0,0.38725721464551266,0.6127427853544873,0.6127426547991183,3.371281931933898e-07,0.75463951746171,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
CC[NH+](CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,300.81000000000006,300.14733107609,20.0,6.0,5.0,0.5853000000000006,68.79,3.0,3.0,6.0,7.0,1.0,1.0,0.0,0.0,9.043728828430176,13.398154258728027,2.0,3.0,0.022208387825780718,0.9777916121742193,0.9777915898712455,1.0042580117603026e-06,-1.0681829670607104,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
CC[NH+](CC)CCNC(=O)c1ccc(N)cc1,236.339,236.17573874408998,17.0,4.0,4.0,-0.0766999999999986,59.56,3.0,2.0,5.0,6.0,1.0,1.0,0.0,0.0,9.09128189086914,13.661311149597168,2.0,3.0,0.019951044463828872,0.9800489555361711,0.9800489446053072,5.478839932575456e-07,-1.7767343634858126,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
