smiles,mol_weight,total_atom_count,logp,molar_refractivity,tpsa,hbd,hba,total_hbond_donors_acceptors,rotatable_bonds,ring_count,aromatic_ring_count,intramolecular_hbond_pair_count,intramolecular_hbond_potential_present,most_basic_pka,most_basic_pka_present,most_acidic_pka,most_acidic_pka_present,num_basic_sites,num_acidic_sites,neutral_fraction_ph65,neutral_fraction_ph74,neutral_fraction_ph80,charged_fraction_ph65,charged_fraction_ph74,charged_fraction_ph80,base_protonated_fraction_ph65,base_protonated_fraction_ph74,base_protonated_fraction_ph80,acid_deprotonated_fraction_ph65,acid_deprotonated_fraction_ph74,acid_deprotonated_fraction_ph80,net_charge_proxy_ph65,net_charge_proxy_ph74,net_charge_proxy_ph80,estimated_logd_ph65,estimated_logd_ph74,estimated_logd_ph80,min_neutral_fraction_intestinal_ph,mean_neutral_fraction_intestinal_ph,pka_features_available,mw_le_500,logp_le_5,hbd_le_5,hba_le_10,lipinski_pass,lipinski_violation_count,rotatable_bonds_le_10,tpsa_le_140,veber_pass,logp_le_5p88,tpsa_le_131p6,egan_pass,tpsa_le_63,palm_static_pass,ghose_mw_in_160_480,logp_ge_neg0p4,logp_le_5p6,ghose_logp_in_neg0p4_5p6,ghose_atom_count_in_20_70,ghose_mr_in_40_130,ghose_pass,total_hbond_donors_acceptors_le_12,veber_alt_pass,unionized_ph65_ge_0p5,unionized_ph74_ge_0p5,unionized_ph80_ge_0p5,unionized_across_intestinal_ph,hia_primary_rule_pass_count,hia_strict_absorption_screen
CC(=O)Nc1ccccc1,135.16599999999997,19.0,1.6449999999999998,40.74570000000002,29.1,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,4.359423637390137,1.0,13.639018058776855,1.0,1.0,1.0,0.99281714177464,0.9990894512960735,0.9997689738665436,0.007182858225360023,0.0009105487039264837,0.00023102613345638012,0.007182786139313301,0.0009099724865977386,0.00022873061073266958,7.260757125004777e-08,5.767421482308532e-07,2.29604790009388e-06,0.007182713531742052,0.0009093957444495077,0.0002264345628325757,1.641869266993763,1.64460437357647,1.6448996550334631,0.99281714177464,0.9972251889790856,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0
COc1cc(C)c(/C=C/C(C)=C/C=C/C(C)=CC(=O)O)c(C)c1C,326.4360000000001,50.0,5.167060000000005,100.52880000000005,46.53,1.0,2.0,3.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,5.00492000579834,1.0,0.0,1.0,0.030991845447592703,0.004010281520798964,0.0010103712625341155,0.9690081545524073,0.995989718479201,0.9989896287374659,0.0,0.0,0.0,0.9690081545524073,0.995989718479201,0.9989896287374659,-0.9690081545524073,-0.995989718479201,-0.9989896287374659,3.6583074376088742,2.770234861058595,2.1715409853102003,0.0010103712625341155,0.012004166076975261,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0
CC(C)NC[C@H](O)COc1ccc(CC(N)=O)cc1,266.34099999999995,41.0,0.45210000000000006,73.98090000000003,84.57999999999998,3.0,4.0,7.0,8.0,1.0,1.0,2.0,1.0,9.121191024780273,1.0,13.841197967529297,1.0,2.0,3.0,0.002386553911660561,0.018648057576212625,0.07032947324377317,0.9976134460883395,0.9813519424237874,0.9296705267562269,0.9976134459795534,0.9813519356717376,0.9296704253792357,4.558290640084704e-08,3.6207778115406663e-07,1.4414560538767492e-06,0.9976134003966469,0.9813515735939564,0.9296689839231819,-2.1701287505823643,-1.2772663985933983,-0.7007626353688962,0.002386553911660561,0.030454694910548783,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0
CC(C)Cc1ccc([C@H](C)C(=O)O)cc1,206.28499999999997,33.0,3.073200000000001,61.03480000000004,37.3,1.0,1.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,4.400064945220947,1.0,0.0,1.0,0.007881853141470385,0.0009991502534001384,0.00025116311042994166,0.9921181468585296,0.9990008497465999,0.9997488368895701,0.0,0.0,0.0,0.9921181468585296,0.9990008497465999,0.9997488368895701,-0.9921181468585296,-0.9990008497465999,-0.9997488368895701,0.9698283386184943,0.07283080285643129,-0.5268441472325942,0.00025116311042994166,0.0030440555017668216,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0
CCNC[C@H](C)c1cccc(C(F)(F)F)c1,231.26099999999994,32.0,3.418400000000002,58.402700000000024,12.03,1.0,1.0,2.0,4.0,1.0,1.0,0.0,0.0,9.838043212890625,1.0,14.0,0.0,1.0,0.0,0.00045894160018189467,0.00363392299344778,0.014311867760311792,0.9995410583998181,0.9963660770065522,0.9856881322396882,0.9995410583998181,0.9963660770065522,0.9856881322396882,0.0,0.0,0.0,0.9995410583998181,0.9963660770065522,0.9856881322396882,0.0801574255538906,0.978775719924398,1.5740963147566212,0.00045894160018189467,0.006134910784647156,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0
CC(C)NC[C@@H](O)c1cc(O)cc(O)c1,211.261,32.0,1.1291999999999998,57.870100000000036,72.72,4.0,4.0,8.0,4.0,1.0,1.0,5.0,1.0,9.011391639709473,1.0,9.396799087524414,1.0,1.0,3.0,0.0030670592936075662,0.023645937904468128,0.08534178908051665,0.9969329407063924,0.9763540620955319,0.9146582109194834,0.9969290509438979,0.9761158534842527,0.9112355596188189,0.0012666320487347853,0.009973503182211012,0.03855881123078802,0.9956624188951632,0.9661423503020417,0.8726767483880309,-1.3840778279830632,-0.4970434552304226,0.060361743042296245,0.0030670592936075662,0.03735159542619745,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0
CCN(CC)CC(=O)Nc1c(C)cccc1C,234.343,39.0,2.5837400000000006,72.33370000000005,32.34,1.0,2.0,3.0,5.0,1.0,1.0,0.0,0.0,7.599278450012207,1.0,13.872204780578613,1.0,2.0,1.0,0.0737008969958772,0.38725721464551266,0.7155900468584566,0.9262991030041228,0.6127427853544873,0.2844099531415434,0.9262990998761138,0.6127426547991183,0.28440899272526865,4.244193745139732e-08,3.371281931933898e-07,1.3421301622150652e-06,0.9262990574341764,0.6127423176709251,0.2844076505951064,1.4512127735848204,2.171739517461711,2.43840429133565,0.0737008969958772,0.3921827194999488,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,6.0,1.0
Cc1cccc(C)c1OC[C@H](C)N,179.26299999999998,30.0,2.0294399999999997,55.06040000000003,35.25,1.0,2.0,3.0,3.0,1.0,1.0,0.0,0.0,8.22167682647705,1.0,14.0,0.0,1.0,0.0,0.018627604620119476,0.13101878345829066,0.3750927860724387,0.9813723953798805,0.8689812165417093,0.6249072139275613,0.9813723953798805,0.8689812165417093,0.6249072139275613,0.0,0.0,0.0,0.9813723953798805,0.8689812165417093,0.6249072139275613,0.2995970112489541,1.1467735625832949,1.6035787117138796,0.018627604620119476,0.17491305805028293,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0
OC[C@H](O)COc1ccc(Cl)cc1,202.63700000000003,24.0,1.072,50.03960000000003,49.69,2.0,3.0,5.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,13.339786529541016,1.0,0.0,2.0,0.9999998553849782,0.9999988512832029,0.9999954268917216,1.4461502184648367e-07,1.1487167971280243e-06,4.573108278393967e-06,0.0,0.0,0.0,1.4461502188955064e-07,1.1487167970915015e-06,4.573108278389084e-06,-1.4461502188955064e-07,-1.1487167970915015e-06,-4.573108278389084e-06,1.0719999371944895,1.0719995011183472,1.0719980139197682,0.9999954268917216,0.9999980445199675,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0
C=CCOc1ccccc1OC[C@@H](O)CNC(C)C,265.35299999999995,42.0,1.9890999999999999,76.77450000000005,50.72,2.0,4.0,6.0,9.0,1.0,1.0,3.0,1.0,8.963860511779785,1.0,13.844025611877441,1.0,1.0,1.0,0.0034249126126939,0.026573126764860917,0.09802427688464037,0.996575087387306,0.9734268732351391,0.9019757231153597,0.9965750872322018,0.9734268636760381,0.9019755827344554,4.528708512142172e-08,3.597279906898364e-07,1.4321013896746201e-06,0.9965750419451167,0.9734265039480474,0.9019741506330657,-0.4762505051376864,0.41354265929663003,0.9804336472367807,0.0034249126126939,0.042674105420731724,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0
