smiles,mol_weight,exact_mol_weight,heavy_atom_count,logp,molar_refractivity,tpsa,hbd,hba,total_hbond_donors_acceptors,heteroatom_count,rotatable_bonds,ring_count,aromatic_ring_count,aliphatic_ring_count,fraction_csp3,formal_charge,positive_formal_atom_count,negative_formal_atom_count,abs_formal_charge,labute_asa,labute_asa_per_heavy_atom,balaban_j,kappa1,kappa2,kappa3,aromatic_heavy_atom_fraction,most_basic_pka,most_acidic_pka,num_basic_sites,num_acidic_sites,neutral_fraction_ph74,charged_fraction_ph74,base_protonated_fraction_ph74,acid_deprotonated_fraction_ph74,net_charge_proxy_ph74,estimated_logd_ph74,has_amphoteric_sites,pka_features_available,carboxylic_acid_count,sulfonic_acid_count,phosphonic_acid_count,acidic_group_count,strong_acidic_group_count,intramolecular_hbond_pair_count,intramolecular_hbond_potential_present,mw_le_500,hbd_le_5,hba_le_10,logp_le_5,estimated_logd_between_neg0p5_4p5,tpsa_lt_60,tpsa_le_120,rotatable_bonds_le_10,total_hbond_donors_acceptors_le_12,formal_charge_zero,neutral_fraction_ge_0p5,acidic_group_count_eq_0,strong_acidic_group_count_eq_0,passive_permeability_screen_pass
O=C(NCCc1cnc[nH]1)c1ccc(-c2ncc3cnc(-c4cccc(F)c4)cn23)cc1,426.4550000000001,426.16043744800004,32.0,3.8980000000000015,118.44189999999999,87.97,2.0,5.0,7.0,8.0,6.0,5.0,5.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,182.56069652652303,5.705021766453845,1.3545133091939638,19.622713534516684,8.425830723439432,3.977816805625543,0.8125,6.874763011932373,13.678385734558105,3.0,2.0,0.7701928690676748,0.2298071309323252,0.22980672522415024,5.267615133219046e-07,0.22980619846263692,3.784599493332551,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Cc1cccc(N2CCN(c3nc4ccccc4c4nnc(C)n34)CC2)c1C,372.4760000000002,372.20624476800003,28.0,3.5293600000000023,113.36700000000006,49.56,0.0,6.0,6.0,6.0,2.0,5.0,4.0,1.0,0.3181818181818182,0.0,0.0,0.0,0.0,163.98415075140664,5.856576812550237,1.5000516799274495,16.982887192164096,6.476220048912472,2.5939949494979526,0.6785714285714286,5.500767230987549,,5.0,0.0,0.9875455552705958,0.012454444729404157,0.01245444472940418,0.0,0.01245444472940418,3.5239171386745096,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Cc1ccc(S(=O)(=O)Nc2cnccc2C(=O)NCCc2ccccc2)cc1,395.48400000000015,395.13036253200005,28.0,3.1633200000000015,108.7037,88.16,2.0,4.0,6.0,7.0,7.0,3.0,3.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,164.24703032983285,5.865965368922602,1.7131562017902868,19.5682472483434,8.665559552799564,4.951757113907916,0.6428571428571429,4.27772855758667,7.1777143478393555,2.0,2.0,0.37448165566989267,0.6255183443301073,0.0007540514053473107,0.6252357528228495,-0.6244817014175021,2.736750548239844,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
COc1ccc2[nH]c(=O)c(-c3noc(-c4ccccc4)n3)cc2c1,319.32000000000005,319.095691276,24.0,3.253700000000001,89.84870000000002,81.01,1.0,5.0,6.0,6.0,3.0,4.0,4.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,136.2718950199932,5.6779956258330495,1.8273790234352856,14.199378529388138,5.658379758724865,2.4362242990551284,0.875,1.680944561958313,9.41662883758545,1.0,1.0,0.9904655090671324,0.009534490932867623,1.909605833212113e-06,0.009532599530542071,-0.00953068992470886,3.24953935672199,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
COc1cccc(-c2nc(-c3cc4cc(OC)ccc4[nH]c3=O)no2)c1,349.34600000000006,349.10625596,26.0,3.2623000000000015,96.40070000000004,90.24000000000001,1.0,6.0,7.0,7.0,4.0,4.0,4.0,0.0,0.10526315789473684,0.0,0.0,0.0,0.0,147.75038236389665,5.6827070139960245,1.7897558135712541,15.89096462882848,6.36113050738259,2.7930328718265205,0.8076923076923077,1.6732150316238403,9.337623596191406,1.0,1.0,0.9885853667888117,0.011414633211188296,1.8759195822816143e-06,0.011412778701061178,-0.011410902781478896,3.2573141776704744,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
COc1ccc2[nH]c(=O)c(-c3noc(-c4ccc(F)cc4)n3)cc2c1,337.31000000000006,337.08626946400005,25.0,3.392800000000001,89.8067,81.01,1.0,5.0,6.0,7.0,3.0,4.0,4.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,140.43743042291942,5.617497216916777,1.7997454362932388,15.071485087913052,5.862399969288684,2.7576086797072907,0.84,1.6610043048858643,9.257291793823242,1.0,1.0,0.9862983046169391,0.013701695383060875,1.8239104548756053e-06,0.013699896459990408,-0.013698072549535532,3.3868082866001012,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
N=c1c2c(ccn1CCc1ccccc1)Oc1ccc3ccccc3c1C2c1ccccc1,428.53500000000014,428.18886338799996,33.0,6.6493700000000056,131.84169999999995,38.010000000000005,1.0,3.0,4.0,3.0,4.0,6.0,5.0,1.0,0.1,0.0,0.0,0.0,0.0,192.60186115539832,5.83642003501207,1.5303626764854044,19.565972225765393,8.102202825369954,3.4240593359882987,0.8484848484848485,10.4307861328125,,2.0,0.0,0.0009306995015490038,0.999069300498451,0.999069300498451,0.0,0.999069300498451,3.6181794813195736,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,326.83100000000013,326.129824288,23.0,3.7227000000000023,96.44370000000004,30.869999999999997,1.0,4.0,5.0,5.0,0.0,4.0,2.0,2.0,0.2777777777777778,0.0,0.0,0.0,0.0,140.93460594163878,6.127591562679947,1.8304332090303408,14.545837274701016,5.870760385193409,2.799077045717136,0.5217391304347826,7.8416643142700195,13.89435863494873,3.0,1.0,0.26561800788694084,0.7343819921130592,0.7343819070190707,3.203621694015244e-07,0.7343815866569013,3.1469575152020646,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
COc1cccc(C(=O)Nc2ccc3c(N4CCOCC4)ncnc3c2)c1,364.4050000000001,364.1535405000001,27.0,2.7273000000000005,103.51720000000003,76.58,1.0,6.0,7.0,7.0,4.0,4.0,3.0,1.0,0.25,0.0,0.0,0.0,0.0,156.49158776490856,5.79598473203365,1.5873325567661034,17.235200420548207,7.589676441478819,3.6799529083464995,0.5925925925925926,6.05316162109375,11.689427375793457,4.0,1.0,0.956893487593842,0.04310651240615804,0.04305737228498183,5.1351167513090574e-05,0.04300602111746874,2.708163598879621,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
O=C(Nc1ccc2c(N3CCOCC3)ncnc2c1)c1cccc(Br)c1,413.275,412.053487884,26.0,3.481200000000003,104.66520000000001,67.35000000000001,1.0,5.0,6.0,7.0,3.0,4.0,3.0,1.0,0.21052631578947367,0.0,0.0,0.0,0.0,158.88064802664644,6.110794154871017,1.6048982027851444,16.931600432993154,7.389778235519159,3.539236554846286,0.6153846153846154,6.007836818695068,11.447347640991211,4.0,1.0,0.9609573356918102,0.03904266430818981,0.03895649423428496,8.966303126529168e-05,0.03886683120301967,3.463904106414714,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
