smiles,mol_weight,exact_mol_weight,heavy_atom_count,carbon_atom_count,heteroatom_count,oxygen_nitrogen_count,logp,molar_refractivity,tpsa,hbd,hba,total_hbond_donors_acceptors,rotatable_bonds,ring_count,aromatic_ring_count,aliphatic_ring_count,fused_aromatic_ring_count,aromatic_atom_fraction,carbon_heavy_atom_fraction,fraction_csp3,formal_charge,positive_formal_atom_count,negative_formal_atom_count,basic_center_count,tertiary_amine_count,quaternary_ammonium_count,aromatic_linker_count,longest_alkyl_chain,adamantane_like_present,most_basic_pka,num_basic_sites,base_protonated_fraction_ph74,pka_features_available,mw_gt_500,mw_ge_300,mw_lt_300,logp_ge_3,logp_le_3,tpsa_gt_75,tpsa_le_75,hba_ge_3,hba_le_2,hbd_le_3,hbd_ge_4,oxygen_nitrogen_ge_4,oxygen_nitrogen_le_3,basic_center_present,cationic_center_present,tertiary_amine_present,most_basic_pka_gt_8,most_basic_pka_lt_8,aromatic_ring_count_ge_2,aromatic_linker_present,long_alkyl_chain_ge_6,bulky_hydrophobic_moiety_present,hydrophobic_large_molecule,aromatic_basic_combo_present,pgp_flowchart_high_likelihood
C[C@H](N)[C@H](O)c1ccccc1,151.20899999999997,151.099714036,11.0,9.0,2.0,2.0,1.0672000000000001,45.05120000000002,46.25,2.0,2.0,4.0,2.0,1.0,1.0,0.0,0.0,0.5454545454545454,0.8181818181818182,0.3333333333333333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,8.835041046142578,1.0,0.9645761725764063,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CNC(=O)Oc1ccccc1OC(C)C,209.24499999999998,209.10519334,15.0,11.0,4.0,4.0,2.192,57.28970000000004,47.56,1.0,3.0,4.0,3.0,1.0,1.0,0.0,0.0,0.4,0.7333333333333333,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCNC(=O)Oc1ccccc1[N+](=O)[O-],210.18899999999996,210.0640568,15.0,9.0,6.0,6.0,1.7031,52.797100000000015,81.47,1.0,4.0,5.0,3.0,1.0,1.0,0.0,0.0,0.4,0.6,0.2222222222222222,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C=CCOc1ccccc1OC[C@H](O)CNC(C)C,265.35299999999995,265.167793596,19.0,15.0,4.0,4.0,1.9890999999999999,76.77450000000005,50.72,2.0,4.0,6.0,9.0,1.0,1.0,0.0,0.0,0.3157894736842105,0.7894736842105263,0.4666666666666667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,8.963860511779785,1.0,0.9734268636760381,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C[C@H](N)[C@H](O)c1ccc(O)c(O)c1,183.207,183.089543276,13.0,9.0,4.0,4.0,0.4784,48.38080000000002,86.71000000000001,4.0,4.0,8.0,2.0,1.0,1.0,0.0,0.0,0.46153846153846156,0.6923076923076923,0.3333333333333333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,8.800333976745605,1.0,0.9617418015077396,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(C)NC[C@H](O)c1cc(O)cc(O)c1,211.261,211.120843404,15.0,11.0,4.0,4.0,1.1291999999999998,57.870100000000036,72.72,4.0,4.0,8.0,4.0,1.0,1.0,0.0,0.0,0.4,0.7333333333333333,0.45454545454545453,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,9.011391639709473,1.0,0.9761158534842527,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(=O)Oc1cc(C(F)(F)F)ccc1C(=O)O,248.15599999999998,248.029643364,17.0,10.0,7.0,4.0,2.3289,49.71230000000001,63.60000000000001,1.0,3.0,4.0,2.0,1.0,1.0,0.0,0.0,0.35294117647058826,0.5882352941176471,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,266.33799999999997,263.847003052,12.0,6.0,6.0,1.0,4.6592,53.15680000000001,20.23,1.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCN(CC)CC(=O)Nc1c(C)cccc1C,234.343,234.173213324,17.0,14.0,3.0,3.0,2.5837400000000006,72.33370000000005,32.34,1.0,2.0,3.0,5.0,1.0,1.0,0.0,0.0,0.35294117647058826,0.8235294117647058,0.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,7.599278450012207,2.0,0.6127426547991183,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COCCCNCc1cc(OC)c(OC)c(OC)c1,269.34099999999995,269.162708216,19.0,14.0,5.0,5.0,1.8384999999999996,74.29770000000005,48.95,1.0,5.0,6.0,9.0,1.0,1.0,0.0,0.0,0.3157894736842105,0.7368421052631579,0.5714285714285714,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,8.599716186523438,1.0,0.9406125622629578,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
