smiles,mol_weight,exact_mol_weight,heavy_atom_count,heteroatom_count,logp,tpsa,hbd,hba,total_hbond_donors_acceptors,rotatable_bonds,ring_count,aromatic_ring_count,aliphatic_ring_count,fraction_csp3,formal_charge,amide_bond_count,primary_amide_count,lactam_count,gamma_lactam_count,nitrile_count,aldehyde_count,ketone_count,michael_acceptor_count,electrophilic_warhead_count,carbamate_count,urea_count,sulfonamide_count,polar_amide_like_group_count,branched_sp3_carbon_count,small_aliphatic_carbocycle_count,bridgehead_atom_count,spiro_atom_count,has_electrophilic_warhead,p1_glutamine_mimic_present,s1_hbond_proxy_present,p2_hydrophobic_sidechain_present,p2_hydrophobic_proxy_score,p3_p4_polar_substituent_present,mpro_structural_motif_count,rotatable_bonds_le_10,tpsa_le_140,logp_lt_5,mol_weight_le_500,hbd_le_5,hba_le_10,total_hbond_donors_acceptors_le_12,aromatic_ring_count_le_3,fraction_csp3_ge_0p4,mpro_physchem_rule_pass_count,mpro_physchem_window_pass,mpro_design_rule_pass_count
C[C@@H]1CCNC[C@@H]1CO,129.203,129.1153641,9.0,2.0,0.22429999999999983,32.26,2.0,2.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,1.0,9.0
N#CCC(=O)N1CCC(C(N)=O)CC1,195.22199999999995,195.100776656,14.0,5.0,-0.37602,87.19,1.0,3.0,4.0,2.0,1.0,0.0,1.0,0.6666666666666666,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,1.0,12.0
C[C@H]1CNCC[C@H]1CO,129.203,129.1153641,9.0,2.0,0.22429999999999983,32.26,2.0,2.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,1.0,9.0
C[C@H]1CC[C@@H](CO)CN1,129.203,129.1153641,9.0,2.0,0.3667999999999999,32.26,2.0,2.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,1.0,9.0
COC(=O)[C@@H]1CCCN(S(C)(=O)=O)[C@@H]1C,235.305,235.087829024,15.0,6.0,0.21950000000000025,63.68,0.0,4.0,4.0,2.0,1.0,0.0,1.0,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,1.0,10.0
C[C@@H]1CNC[C@@H](CO)C1,129.20299999999997,129.1153641,9.0,2.0,0.22429999999999983,32.26,2.0,2.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,1.0,9.0
CC(=O)N1CCC(C#N)CC1,152.19699999999997,152.094963004,11.0,3.0,0.76848,44.1,0.0,2.0,2.0,0.0,1.0,0.0,1.0,0.75,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,1.0,11.0
COC(=O)[C@@H]1[C@H](C)CCCN1S(C)(=O)=O,235.30499999999998,235.087829024,15.0,6.0,0.2194999999999998,63.68,0.0,4.0,4.0,2.0,1.0,0.0,1.0,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,1.0,10.0
C[C@@H]1NCCC[C@@H]1CO,129.203,129.1153641,9.0,2.0,0.36679999999999985,32.26,2.0,2.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,1.0,9.0
COC(=O)C1CCN(C(=O)NC(C)(C)C)CC1,242.319,242.163042564,17.0,5.0,1.3794999999999995,58.64,1.0,3.0,4.0,1.0,1.0,0.0,1.0,0.8333333333333334,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,1.0,11.0
