smiles,mol_weight,exact_mol_weight,heavy_atom_count,heteroatom_count,logp,tpsa,hbd,hba,total_hbond_donors_acceptors,rotatable_bonds,ring_count,aromatic_ring_count,aliphatic_ring_count,heterocycle_ring_count,aromatic_heterocycle_ring_count,fraction_csp3,formal_charge,positive_formal_atom_count,negative_formal_atom_count,abs_formal_charge,stereocenter_count,most_basic_pka,most_acidic_pka,num_basic_sites,num_acidic_sites,neutral_fraction_ph74,charged_fraction_ph74,base_protonated_fraction_ph74,acid_deprotonated_fraction_ph74,net_charge_proxy_ph74,estimated_logd_ph74,has_amphoteric_sites,ionizable_center_present,pka_features_available,pains_filter_available,pains_alert_count,pains_alert_present,michael_acceptor_count,aldehyde_count,epoxide_ring_count,aziridine_ring_count,alkyl_halide_count,acyl_halide_count,sulfonyl_halide_count,isocyanate_count,isothiocyanate_count,anhydride_count,reactive_alert_site_count,reactive_alert_present,catechol_ring_count,hydroxamate_count,beta_dicarbonyl_count,metal_chelator_alert_count,metal_chelator_alert_present,ester_count,phenol_count,metabolic_lability_alert_count,metabolic_lability_alert_present,aromatic_or_heterocycle_present,mol_weight_lt_500,logp_le_5,logp_in_1_3,estimated_logd_le_5,estimated_logd_in_1_3,tpsa_le_140,hbd_le_5,hba_le_10,rotatable_bonds_le_10,basic_ionization_ok,acidic_ionization_ok,formal_charge_zero_or_plus_one,formal_charge_abs_le_1,fraction_csp3_ge_0p3,stereocenter_count_ge_1,aromatic_ring_count_ge_1,aromatic_ring_count_1_3,ring_count_4_7,pains_alert_absent,reactive_alert_absent,metal_chelator_alert_absent,metabolic_lability_alert_absent,druglike_physchem_pass_count,druglike_physchem_window_pass,ionization_window_pass,liability_alert_absent_pass,sarscov2_vitro_design_rule_pass_count
CCN(CC)CCNC(=O)c1cc(Br)c(N)cc1OC,344.2530000000001,343.089539044,20.0,6.0,2.1115,67.59,2.0,4.0,6.0,7.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,9.066176414489746,13.385157585144043,2.0,3.0,0.021113273141514025,0.978886726858486,0.9788867050111755,1.0347655594235977e-06,0.978885670245616,0.43605556618808516,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,13.0
C=CCOc1ccccc1OCC(O)CNC(C)C,265.35299999999995,265.167793596,19.0,4.0,1.9890999999999999,50.72,2.0,4.0,6.0,9.0,1.0,1.0,0.0,0.0,0.0,0.4666666666666667,0.0,0.0,0.0,0.0,1.0,8.963860511779785,13.844025611877441,1.0,1.0,0.026573126764860917,0.9734268732351391,0.9734268636760381,3.597279906898364e-07,0.9734265039480474,0.41354265929663003,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,13.0
O=C(O)c1ccccc1OP(=O)(O)O,218.10099999999997,217.998024574,14.0,7.0,0.8562999999999998,104.06,3.0,3.0,6.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0011279582977295,0.0,3.0,3.9914232707882746e-07,0.9999996008576729,0.0,0.9999996008576729,-0.9999996008576729,-5.5425722149820675,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,6.0,1.0,0.0,1.0,12.0
CS(=O)(=O)c1ccc([C@@H](O)[C@@H](CF)NC(=O)C(Cl)Cl)cc1,358.21799999999996,357.000462508,21.0,9.0,1.3815,83.47,2.0,4.0,6.0,6.0,1.0,1.0,0.0,0.0,0.0,0.4166666666666667,0.0,0.0,0.0,0.0,2.0,0.0,10.905268669128418,0.0,2.0,0.9996876829656361,0.0003123170343638515,0.0,0.00031231703436386933,-0.00031231703436386933,1.3813643412499992,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,6.0,1.0,1.0,0.0,12.0
NC(=O)Nc1ccc([As](=O)(O)O)cc1,260.08099999999996,259.977828268,14.0,7.0,-1.2617999999999998,112.65,4.0,2.0,6.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9266867637634277,10.158848762512207,1.0,3.0,0.9979250459789633,0.0020749540210367456,0.0003361559080800592,0.0017393828167669902,-0.001403226908686931,-1.2627020772899782,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,12.0
CC(C)(C)NC[C@H](O)c1ccc(O)c(CO)c1,239.315,239.152143532,17.0,4.0,1.3059999999999998,72.72,4.0,4.0,8.0,4.0,1.0,1.0,0.0,0.0,0.0,0.5384615384615384,0.0,0.0,0.0,0.0,1.0,9.4834623336792,9.846593856811523,1.0,3.0,0.008154896490699374,0.9918451035093007,0.991815941019753,0.0035633283701891625,0.9882526126495639,-0.7825815470459474,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,6.0,1.0,1.0,1.0,12.0
Cc1ccccc1OCC(O)CO,182.219,182.094294308,13.0,3.0,0.7270199999999998,49.69,2.0,3.0,5.0,4.0,1.0,1.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,1.0,0.0,13.510239601135254,0.0,2.0,0.9999992241816242,7.758183757644588e-07,0.0,7.75818375758974e-07,-7.75818375758974e-07,0.7270196630662296,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,13.0
C/C=C/C(=O)N(CC)c1ccccc1C,203.28500000000003,203.131014164,15.0,2.0,2.9240200000000014,20.310000000000002,0.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.3076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.9240200000000014,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,6.0,1.0,1.0,0.0,12.0
CCCNC(C)(C)COC(=O)c1ccccc1,235.327,235.157228912,17.0,3.0,2.621600000000001,38.33,1.0,3.0,4.0,6.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,9.123475074768066,14.0,1.0,0.0,0.01855206221477057,0.9814479377852294,0.9814479377852294,0.0,0.9814479377852294,0.8899921920489835,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,6.0,1.0,1.0,1.0,12.0
CC(C)(N)Cc1ccccc1,149.237,149.12044948,11.0,1.0,1.9664,26.02,1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,10.318328857421875,14.0,1.0,0.0,0.0012054447470642993,0.9987945552529357,0.9987945552529357,0.0,0.9987945552529357,-0.952452691213544,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,6.0,1.0,0.0,1.0,13.0
