smiles,mol_weight,exact_mol_weight,heavy_atom_count,carbon_atom_count,heteroatom_count,oxygen_nitrogen_count,logp,molar_refractivity,tpsa,hbd,hba,total_hbond_donors_acceptors,rotatable_bonds,ring_count,aromatic_ring_count,aliphatic_ring_count,fused_ring_count,fused_aromatic_ring_count,aromatic_atom_fraction,fraction_csp3,formal_charge,positive_formal_atom_count,negative_formal_atom_count,halogen_count,fluorine_count,chlorine_count,bromine_count,iodine_count,basic_center_count,basic_heterocycle_count,tertiary_amine_count,quaternary_ammonium_count,most_basic_pka,num_basic_sites,neutral_fraction_ph74,charged_fraction_ph74,base_protonated_fraction_ph74,estimated_logd_ph74,combined_logp_pka_sq,min_basic_center_distance,min_basic_to_aromatic_distance,methanesulfonamide_count,thiazole_count,quinoline_isoquinoline_like_count,aryl_guanidine_count,phenyl_piperazine_count,structural_alert_count,property_window_violation_count,herg_risk_alert_count,logp_lt_4,estimated_logd_lt_3,combined_logp_pka_sq_lt_110,most_basic_pka_le_8,tpsa_gt_75,hbd_ge_2,hba_ge_5,mw_le_500,aromatic_ring_count_le_3,fused_bicyclic_aromatic_absent,rotatable_bonds_gt_5,num_basic_sites_le_2,basic_center_count_le_2,multiple_halogens_present,positive_charge_present_ph74,tertiary_amine_present,basic_heterocycle_present,quaternary_ammonium_present,cation_pi_proxy_present,short_basic_center_distance_present,long_basic_to_aromatic_distance_present,methanesulfonamide_present,thiazole_present,quinoline_isoquinoline_like_present,aryl_guanidine_present,phenyl_piperazine_present,formal_charge_abs_le_1,low_planarity_proxy,herg_property_window_pass,herg_structural_alert_present,pka_features_available
CC(C)Nc1cccnc1N1CCN(C(=O)C2=CC3=C[C@H](NS(C)(=O)=O)C=CC3=N2)CC1,456.5720000000002,456.194359756,32.0,22.0,10.0,9.0,1.3030000000000008,126.29720000000006,107.00000000000001,2.0,7.0,9.0,6.0,4.0,1.0,3.0,2.0,0.0,0.1875,0.4090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,6.971065998077393,5.0,0.6954014455034697,0.3045985544965303,0.271375104690853,1.1452355890989345,50.29357014955075,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
O=C1C=CC[C@@H]2[C@H]3CCCN4CCC[C@H](CN12)[C@H]34,246.35399999999996,246.173213324,18.0,15.0,3.0,3.0,1.6477,70.06700000000005,23.550000000000004,0.0,2.0,2.0,0.0,4.0,0.0,4.0,4.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,9.633286476135254,1.0,0.005810090202945761,0.9941899097970542,0.9941899097970542,-0.5881171250386719,95.51512362129037,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
O=C(c1ccc(OCC[NH+]2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,474.60200000000015,474.1733557960899,34.0,28.0,6.0,5.0,4.658100000000006,135.37479999999996,71.2,3.0,5.0,8.0,7.0,5.0,4.0,1.0,2.0,2.0,0.6176470588235294,0.25,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.717157363891602,1.0,0.0432153138403048,0.9567846861596951,0.9540370518075816,3.2937376713015674,97.68672811684964,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Cc1cc2c(s1)Nc1ccccc1N=C2N1CCNCC1,298.4150000000001,298.125217576,21.0,16.0,5.0,4.0,3.0970200000000023,89.42040000000003,39.660000000000004,2.0,5.0,7.0,0.0,4.0,2.0,2.0,3.0,0.0,0.5238095238095238,0.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,9.025702476501465,3.0,0.023127845869393433,0.9768721541306066,0.9768721505281918,1.4611551844091029,91.05483807472469,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,398.48200000000014,398.211804324,29.0,22.0,7.0,6.0,3.3349400000000013,113.28860000000003,77.23,3.0,3.0,6.0,7.0,3.0,2.0,1.0,2.0,0.0,0.3793103448275862,0.36363636363636365,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,9.142932891845703,3.0,0.017748398062953037,0.982251601937047,0.9822463548995787,1.5840991605564239,94.71504666839404,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,448.39400000000006,447.14803246400004,30.0,23.0,7.0,5.0,4.859300000000005,123.23670000000006,44.81,1.0,4.0,5.0,7.0,4.0,2.0,2.0,2.0,0.0,0.4,0.43478260869565216,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,7.694855213165283,3.0,0.3365001998605362,0.6634998001394639,0.6634996681656544,4.386285326504435,82.82359324157699,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
C[NH+](C)CCC1C=Nc2ccc(Cn3cncn3)cc21,270.36,270.17132206009,20.0,15.0,5.0,5.0,0.6605000000000001,78.75370000000004,47.510000000000005,1.0,4.0,5.0,5.0,3.0,2.0,1.0,2.0,0.0,0.55,0.4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,9.653501510620117,3.0,0.005547312286874995,0.994452687713125,0.994452687713125,-1.595417384752315,93.62635166554489,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
[NH3+]CCCC[C@H]([NH2+][C@H](CCc1ccccc1)C(=O)[O-])C(=O)N1CCC[C@H]1C(=O)[O-],405.4950000000003,405.22637109199997,29.0,21.0,8.0,8.0,-3.177199999999994,100.61950000000004,144.82,2.0,5.0,7.0,12.0,2.0,1.0,1.0,0.0,0.0,0.20689655172413793,0.5714285714285714,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,10.700307846069336,2.0,2.4072966443245905e-09,0.9999999975927033,0.9994994186101631,-11.79567038955247,124.59118784065295,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
NCC[C@H](Oc1ccc(C(F)(F)F)cc1)c1ccccc1,295.304,295.118398792,21.0,16.0,5.0,2.0,4.174300000000002,74.92640000000004,35.25,1.0,2.0,3.0,5.0,2.0,2.0,0.0,0.0,0.0,0.5714285714285714,0.25,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.29189395904541,1.0,0.012664003211326103,0.9873359967886739,0.9873359967886739,2.276871011982305,103.7640738361446,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
CNCC[C@H](Oc1ccc(C(F)(F)F)cc1)c1ccccc1,309.33099999999996,309.134048856,22.0,17.0,5.0,2.0,4.435000000000003,79.79870000000004,21.259999999999998,1.0,2.0,3.0,6.0,2.0,2.0,0.0,0.0,0.0,0.5454545454545454,0.29411764705882354,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.972113609313965,1.0,0.0026713125351756073,0.9973286874648244,0.9973286874648244,1.8617247020841732,119.11227483706482,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
